GEO_ID,B21001I_001E,B21001I_001M,B21001I_002E,B21001I_002M,B21001I_003E,B21001I_003M,B21001I_004E,B21001I_004M,B21001I_005E,B21001I_005M,B21001I_006E,B21001I_006M,B21001I_007E,B21001I_007M,B21001I_008E,B21001I_008M,B21001I_009E,B21001I_009M,B21001I_010E,B21001I_010M,B21001I_011E,B21001I_011M,B21001I_012E,B21001I_012M,B21001I_013E,B21001I_013M,B21001I_014E,B21001I_014M,B21001I_015E,B21001I_015M,B21001I_016E,B21001I_016M,B21001I_017E,B21001I_017M,B21001I_018E,B21001I_018M,B21001I_019E,B21001I_019M,B21001I_020E,B21001I_020M,B21001I_021E,B21001I_021M,B21001I_022E,B21001I_022M,B21001I_023E,B21001I_023M,B21001I_024E,B21001I_024M,B21001I_025E,B21001I_025M,B21001I_026E,B21001I_026M,B21001I_027E,B21001I_027M,B21001I_028E,B21001I_028M,B21001I_029E,B21001I_029M,B21001I_030E,B21001I_030M,B21001I_031E,B21001I_031M,B21001I_032E,B21001I_032M,B21001I_033E,B21001I_033M,NAME,B21001I_001MA,B21001I_001EA,B21001I_002MA,B21001I_002EA,B21001I_003MA,B21001I_003EA,B21001I_004MA,B21001I_004EA,B21001I_005MA,B21001I_005EA,B21001I_006EA,B21001I_006MA,B21001I_007MA,B21001I_007EA,B21001I_008MA,B21001I_008EA,B21001I_009MA,B21001I_009EA,B21001I_010EA,B21001I_010MA,B21001I_011EA,B21001I_011MA,B21001I_012MA,B21001I_012EA,B21001I_013MA,B21001I_013EA,B21001I_014MA,B21001I_014EA,B21001I_015EA,B21001I_015MA,B21001I_016MA,B21001I_016EA,B21001I_017MA,B21001I_017EA,B21001I_018MA,B21001I_018EA,B21001I_019MA,B21001I_019EA,B21001I_020EA,B21001I_020MA,B21001I_021EA,B21001I_021MA,B21001I_022MA,B21001I_022EA,B21001I_023MA,B21001I_023EA,B21001I_024MA,B21001I_024EA,B21001I_025MA,B21001I_025EA,B21001I_026MA,B21001I_026EA,B21001I_027EA,B21001I_027MA,B21001I_028EA,B21001I_028MA,B21001I_029EA,B21001I_029MA,B21001I_030EA,B21001I_030MA,B21001I_031MA,B21001I_031EA,B21001I_032EA,B21001I_032MA,B21001I_033EA,B21001I_033MA,state
0400000US01,112381,2212,61698,2100,33365,2314,740,493,32625,2287,22242,1884,1359,609,20883,1782,3745,760,1150,447,2595,661,1399,525,412,283,987,435,947,369,167,138,780,365,50683,1605,26152,1529,650,458,25502,1521,17928,1341,705,551,17223,1406,3936,925,90,139,3846,909,1838,595,0,184,1838,595,829,405,0,184,829,405,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26236,813,12562,816,6098,818,339,274,5759,874,4460,612,680,461,3780,703,1605,307,676,358,929,353,259,187,90,84,169,161,140,171,51,86,89,145,13674,373,6785,642,602,373,6183,686,4544,533,262,247,4282,562,1360,334,0,143,1360,334,687,228,0,143,687,228,298,351,0,143,298,351,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1266546,849,632706,910,284566,1193,8552,1800,276014,2100,236835,935,17630,2469,219205,2655,62782,511,10554,1265,52228,1335,30741,491,7525,984,23216,1060,17782,526,8046,1089,9736,935,633840,510,264462,967,1553,724,262909,1244,240205,809,1981,872,238224,1083,67800,302,417,237,67383,373,36071,665,167,154,35904,644,25302,606,135,170,25167,661,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,117715,1309,62077,1564,32607,1782,459,378,32148,1763,23862,1886,1125,507,22737,1863,3615,745,406,282,3209,692,1661,621,220,162,1441,583,332,231,85,97,247,210,55638,1133,25816,1614,172,191,25644,1634,23378,1453,273,235,23105,1404,4147,874,0,184,4147,874,1895,730,16,28,1879,727,402,288,0,184,402,288,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9725155,2457,4882593,2576,2150682,2523,45937,3564,2104745,4093,1890400,1383,68493,3963,1821907,4023,483840,971,49991,3221,433849,3306,219173,783,42564,2565,176609,2607,138498,874,37060,1962,101438,2170,4842562,1040,1989675,1246,10256,2231,1979419,2572,1847910,939,7858,1629,1840052,1596,524230,742,1932,593,522298,977,273086,980,826,364,272260,1043,207661,1057,1462,462,206199,1148,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,702593,1206,356024,1660,156763,2056,5684,1356,151079,2320,136418,2194,10935,1746,125483,2963,35797,930,7259,1125,28538,1372,18072,758,5275,889,12797,1014,8974,708,4650,696,4324,771,346569,1298,144563,1377,1731,863,142832,1624,129948,1240,2726,892,127222,1618,38350,983,493,371,37857,990,20399,827,324,200,20075,855,13309,668,288,177,13021,664,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,343879,373,169636,601,77529,722,1199,597,76330,886,65813,602,3918,1100,61895,1358,15495,508,2232,607,13263,863,7318,415,1304,483,6014,520,3481,187,545,340,2936,344,174243,453,72922,697,480,315,72442,753,68243,573,325,277,67918,633,17876,678,0,193,17876,678,9849,630,0,193,9849,630,5353,129,0,193,5353,129,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49578,229,25946,349,12093,394,235,215,11858,478,10294,358,1212,462,9082,590,2225,317,427,290,1798,294,814,283,47,73,767,291,520,206,229,162,291,146,23632,259,10906,545,346,382,10560,688,9422,545,100,118,9322,568,1607,160,0,182,1607,160,976,298,0,182,976,298,721,371,0,182,721,371,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47597,83,24627,82,12191,82,285,336,11906,351,9193,2,221,245,8972,245,1969,4,377,309,1592,309,917,218,41,67,876,210,357,218,94,154,263,231,22970,5,10930,4,59,98,10871,98,7776,3,357,248,7419,248,2293,3,0,197,2293,3,1208,-555555555,0,197,1208,2,763,-555555555,68,113,695,113,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,*****,null,null,null,null,null,11
0400000US12,3334119,2430,1628388,3095,596385,2270,13622,1840,582763,3004,645942,2566,38086,3461,607856,4241,185315,1561,18462,2209,166853,2462,116972,1703,15306,2193,101666,2260,83774,2151,13024,2003,70750,1950,1705731,1686,552523,2207,3727,1158,548796,2536,656181,2089,4814,1257,651367,2472,218132,1690,1490,574,216642,1844,149557,1800,660,403,148897,1783,129338,1298,200,248,129138,1332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
