GEO_ID,C19101G_001E,C19101G_001M,C19101G_002E,C19101G_002M,C19101G_003E,C19101G_003M,C19101G_004E,C19101G_004M,C19101G_005E,C19101G_005M,C19101G_006E,C19101G_006M,C19101G_007E,C19101G_007M,C19101G_008E,C19101G_008M,C19101G_009E,C19101G_009M,C19101G_010E,C19101G_010M,C19101G_011E,C19101G_011M,NAME,C19101G_001MA,C19101G_001EA,C19101G_002MA,C19101G_002EA,C19101G_003EA,C19101G_003MA,C19101G_004EA,C19101G_004MA,C19101G_005EA,C19101G_005MA,C19101G_006MA,C19101G_006EA,C19101G_007MA,C19101G_007EA,C19101G_008EA,C19101G_008MA,C19101G_009EA,C19101G_009MA,C19101G_010EA,C19101G_010MA,C19101G_011MA,C19101G_011EA,state
0400000US06,247291,6603,17339,1908,9609,1374,23664,2378,22183,2379,29131,2350,41251,2554,34066,2791,38403,2851,17313,2486,14332,1903,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27644,2457,1412,499,671,346,3321,889,2010,741,4408,1186,5928,1358,3818,831,3387,775,1467,558,1222,480,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13691,1992,984,475,790,518,971,426,807,402,1635,659,2882,787,1982,749,1934,759,1093,533,613,315,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3087,883,428,453,0,182,322,210,280,321,519,479,710,434,250,237,348,305,0,182,230,193,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1869,553,91,109,0,197,236,189,110,182,385,300,175,147,271,243,215,158,141,170,245,239,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,71557,4098,5160,1320,3701,953,10206,1667,8988,1882,11920,2039,12591,1661,9687,1508,5117,1204,2828,885,1359,557,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,29745,2940,3177,1122,1164,581,3894,1074,4210,1271,3340,871,6020,1209,2948,986,2348,746,1369,510,1275,678,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50360,3041,2656,641,1172,378,3457,918,3340,750,6381,1272,9911,1408,8064,1265,9656,1365,3603,762,2120,571,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6641,1184,708,454,332,280,685,387,816,427,868,454,1479,612,751,517,615,408,286,222,101,107,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,37917,2918,2197,717,1878,746,4170,1000,3951,1105,5245,1088,6826,1121,4607,1017,5691,1035,1730,631,1622,520,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,16198,1614,1623,633,1165,451,2434,712,1738,555,2227,619,3318,772,1530,508,1358,487,652,517,153,182,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7780,1499,776,480,519,325,928,442,803,387,1296,563,1410,482,785,360,1218,649,0,151,45,68,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12894,1708,1026,488,519,260,2346,767,1110,421,2339,863,2293,570,1415,522,1437,458,128,122,281,260,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,13603,1601,2523,647,589,288,1804,657,901,403,1379,500,2844,809,1996,836,1254,448,22,30,291,273,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,12032,1509,1084,544,330,230,1606,470,1927,792,1570,554,2571,788,1175,480,1257,586,340,253,172,178,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3754,730,299,176,271,241,541,405,149,112,486,318,1099,392,676,300,221,183,12,20,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,27450,2730,1002,480,737,434,1586,741,1922,714,2543,668,6170,1694,3870,914,5473,1050,2111,641,2036,602,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,27992,2770,2442,612,1063,580,3905,1090,2782,796,3739,953,3978,857,3502,1055,3344,913,852,412,2385,945,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,33605,2278,3831,810,1856,585,4240,1008,4071,921,5247,899,5628,859,3392,714,3452,785,1143,378,745,385,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,15871,1874,1500,448,491,269,1541,566,1431,562,2305,646,3180,946,1936,558,2087,720,764,416,636,322,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,4689,1040,330,268,27,42,730,377,428,290,893,451,1141,431,375,314,470,308,25,49,270,258,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,18231,1944,2356,835,1242,461,2263,749,2336,665,2698,790,2915,873,1699,493,1716,597,363,238,643,375,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4544,797,300,209,368,296,595,294,677,344,823,334,944,360,184,134,343,224,109,95,201,169,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,5842,1083,716,537,563,417,594,314,882,333,814,435,1038,493,537,282,527,260,45,54,126,137,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,16191,2180,929,502,336,253,1141,505,2349,1082,3164,843,3406,1067,1992,641,1800,584,499,320,575,330,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3209,798,94,95,188,171,89,104,236,217,623,369,303,239,463,292,921,421,135,113,157,136,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,35843,2311,2426,700,1638,551,3227,996,3269,744,4211,902,5917,1249,4541,1142,5367,1001,3471,768,1776,494,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,10169,1352,1219,529,401,265,1107,453,1051,460,1612,559,1932,634,1109,421,1081,501,436,220,221,201,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,84739,3539,7787,1074,5192,1251,9029,1416,8210,1504,10641,1447,14466,1978,9510,1225,11055,1515,4627,822,4222,926,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,32398,2475,4037,1128,2148,739,4287,823,3114,840,4996,968,5684,1318,3820,1012,2391,652,1036,453,885,396,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1402,488,106,115,26,41,256,261,170,114,200,188,196,141,297,225,142,124,0,141,9,15,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,35109,2929,5377,1398,2389,684,5594,1059,3484,899,5941,1292,4984,1050,3001,747,2335,721,796,377,1208,502,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,51619,2343,4848,829,2969,674,6049,987,5253,919,9029,943,9405,1076,7400,1049,4855,777,1025,298,786,323,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,23940,2778,2073,768,1202,505,2909,865,2706,840,3022,958,5699,1354,2472,743,2872,748,377,227,608,305,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,33681,2836,4110,973,2230,685,3666,762,4441,1021,4313,1007,5491,949,3008,835,3783,1056,1165,461,1474,594,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,3727,774,452,329,419,358,729,346,263,189,432,299,481,282,429,256,240,164,126,161,156,194,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,12121,1885,595,403,514,354,1500,630,1390,646,2531,683,1757,722,1791,737,1708,662,142,173,193,180,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2105,635,423,263,7,13,292,239,150,112,551,404,398,252,123,130,59,68,0,147,102,79,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,17128,2305,1782,821,1760,730,2715,951,2179,669,2455,650,3013,1091,1366,511,1058,518,353,226,447,267,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,96908,4707,6811,1403,4502,881,10851,1670,10863,1387,13808,1756,15470,2017,10793,1980,14945,1920,4930,1031,3935,1154,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,9112,1550,322,195,644,404,1311,574,1062,530,1439,514,1933,940,1273,419,733,315,281,216,114,132,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,1681,470,258,216,122,123,251,193,117,95,210,147,259,140,122,142,292,214,24,34,26,44,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,37435,3140,1762,691,922,453,2079,508,3234,927,5294,1300,7962,1441,4393,1001,6074,1009,3328,742,2387,764,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,49463,2944,4159,1160,1849,691,3964,957,4322,998,7555,1285,8950,1395,5801,1139,8159,1444,2470,682,2234,704,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,5758,1119,636,322,294,221,760,343,831,316,826,414,890,422,1002,654,414,283,76,105,29,51,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,14334,1849,2228,718,875,461,1135,447,1070,420,2657,770,3067,794,1898,611,795,363,336,289,273,206,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,2443,625,0,185,219,212,187,248,230,184,517,299,506,304,355,213,342,219,87,137,0,185,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,104630,4423,26925,2590,10181,1551,18315,1878,14741,1843,15859,1962,11682,1773,4204,1066,1652,650,318,308,753,493,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,12168,1420,743,410,868,507,2197,790,2096,784,1463,507,1699,474,836,406,1364,460,552,438,350,224,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8837,1386,294,188,491,326,942,563,711,404,1065,489,2097,610,1070,549,1196,559,784,559,187,140,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,27974,2407,2016,785,1198,560,3703,850,3458,768,3759,926,4262,1021,3795,858,3896,894,1263,458,624,349,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,9869,1327,657,342,475,308,1181,466,1576,559,1547,662,1719,571,1535,664,803,432,143,161,233,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
