GEO_ID,C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,NAME,C15002A_001EA,C15002A_001MA,C15002A_002EA,C15002A_002MA,C15002A_003MA,C15002A_003EA,C15002A_004EA,C15002A_004MA,C15002A_005MA,C15002A_005EA,C15002A_006EA,C15002A_006MA,C15002A_007EA,C15002A_007MA,C15002A_008MA,C15002A_008EA,C15002A_009MA,C15002A_009EA,C15002A_010EA,C15002A_010MA,C15002A_011EA,C15002A_011MA,state
0400000US06,15989024,31004,7877008,18613,1292890,15237,1640517,16663,2361149,16727,2582452,17963,8112016,17058,1259949,15266,1684959,16304,2654740,22030,2512368,19384,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2987154,8671,1475380,5323,125254,5333,324683,7647,441400,7903,584043,8020,1511774,4609,109282,4881,318739,7083,498731,9296,585022,9114,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1999459,6355,951885,4356,84201,4495,266318,6164,223148,5146,378218,6543,1047574,3458,86330,4770,279977,6061,276042,6879,405225,6734,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,453976,2553,217615,1685,25630,2368,68253,3136,56696,2892,67036,3095,236361,1306,21944,2251,73769,2975,68002,3389,72646,3664,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,186873,3041,94428,1758,3674,1517,2659,765,7245,1236,80850,2005,92445,1612,2859,819,4727,1188,6437,1063,78422,1909,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10787943,13361,5202642,8069,667337,16224,1498161,18715,1495209,19489,1541935,16267,5585301,8422,619944,13664,1704123,20411,1759447,15344,1501787,17171,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4096502,9571,1991313,6384,286431,9299,557947,9370,517942,9330,628993,11231,2105189,5450,266214,7980,601511,10142,599848,10944,637616,10247,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,265475,2097,144825,1418,5793,1056,32119,2631,50426,2755,56487,2724,120650,1263,4346,1015,24008,2339,41179,2670,51117,2465,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,942667,3756,466000,2511,46509,3454,128416,4949,162722,5827,128353,5340,476667,2479,39307,3502,134910,5297,185544,5839,116906,5528,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6467463,12418,3131391,7435,323073,7953,864391,12056,897656,13591,1046271,11719,3336072,6922,318470,7749,924559,14526,992165,11190,1100878,11359,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3722271,5422,1797538,3623,211661,6303,653885,9108,503894,9515,428098,8610,1924733,3048,214775,6276,683498,9678,567230,9988,459230,8148,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1910689,3590,925883,2284,78176,3395,317316,5633,291885,4851,238506,4777,984806,1970,66645,2914,307141,5758,345430,5972,265590,5239,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1638537,4057,795028,2716,74104,4142,227204,5770,245758,6297,247962,5774,843509,2218,68791,3350,224014,5605,282924,5123,267780,4787,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2637142,3556,1270048,2251,219484,5999,458096,8342,320023,7629,272445,5805,1367094,2133,201680,5210,453306,5754,404272,7050,307836,6379,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1997253,5271,972832,3554,143326,5552,335952,8403,247689,7565,245865,7433,1024421,2912,124646,4934,350790,6956,283929,7719,265056,6272,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,914289,1098,438208,774,40797,2534,162143,4133,118487,3818,116781,3978,476081,761,32792,2248,157694,4241,145252,4230,140343,4511,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2428799,7258,1171805,4106,108331,4529,301531,6852,272070,6758,489873,7176,1256994,4076,101976,4944,323971,7555,327006,7090,504041,8265,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,3784350,7085,1794635,4410,152723,6271,486162,8644,417544,9572,738206,9745,1989715,4048,152409,5526,503111,8932,525122,8478,809073,10290,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,5435562,4959,2635661,3470,267085,6470,818049,9351,836005,10502,714522,9922,2799901,2575,252173,5733,876040,9559,930601,10228,741087,9230,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3200106,3941,1563502,2694,105549,3617,433113,6536,506972,8058,517868,8262,1636604,2084,83662,3868,426701,7363,561937,7697,564304,8382,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1212838,3756,586207,2570,90571,4641,179141,5387,175695,6224,140800,5567,626631,2423,78944,4247,190291,6754,206366,7242,151030,5363,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
