GEO_ID,B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,NAME,B27001I_001MA,B27001I_001EA,B27001I_002MA,B27001I_002EA,B27001I_003EA,B27001I_003MA,B27001I_004EA,B27001I_004MA,B27001I_005EA,B27001I_005MA,B27001I_006MA,B27001I_006EA,B27001I_007MA,B27001I_007EA,B27001I_008EA,B27001I_008MA,B27001I_009EA,B27001I_009MA,B27001I_010EA,B27001I_010MA,B27001I_011EA,B27001I_011MA,B27001I_012MA,B27001I_012EA,B27001I_013MA,B27001I_013EA,B27001I_014EA,B27001I_014MA,B27001I_015EA,B27001I_015MA,B27001I_016EA,B27001I_016MA,B27001I_017MA,B27001I_017EA,B27001I_018MA,B27001I_018EA,B27001I_019EA,B27001I_019MA,B27001I_020EA,B27001I_020MA,B27001I_021EA,B27001I_021MA,B27001I_022EA,B27001I_022MA,B27001I_023MA,B27001I_023EA,B27001I_024MA,B27001I_024EA,B27001I_025MA,B27001I_025EA,B27001I_026EA,B27001I_026MA,B27001I_027EA,B27001I_027MA,B27001I_028MA,B27001I_028EA,state
0400000US06,14376295,4669,1640432,8809,1527490,10285,112942,7412,3137829,8857,2761310,17173,376519,14581,1809976,2810,1087483,13578,722493,13159,2271257,2559,1297751,14305,973506,14276,2063484,2739,1258258,13138,805226,13306,1630698,2309,1045927,12096,584771,12054,1002097,1606,687120,8146,314977,7919,487234,1413,455220,3302,32014,3056,333288,1969,321555,2639,11733,1733,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1068242,2003,129808,2807,116558,3305,13250,2439,251531,2859,207526,5447,44005,4644,127842,2274,77774,3362,50068,3429,166467,3069,92061,4295,74406,4318,149711,2481,91756,4382,57955,4246,110336,2007,73929,3808,36407,3169,73447,1454,57933,2602,15514,2116,37827,1100,36539,1137,1288,621,21273,981,20587,1102,686,486,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,502192,969,55898,1442,53500,1679,2398,960,110097,1443,103741,1957,6356,1304,62803,1253,43011,2651,19792,2254,83478,1707,56009,3097,27469,3087,72888,1301,53236,2767,19652,2586,59023,1322,44984,2101,14039,1943,33124,864,25910,1362,7214,1089,16649,910,16056,906,593,447,8232,389,7860,578,372,418,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77897,321,10389,514,9915,724,474,402,18491,521,16439,1008,2052,895,9598,831,6541,1135,3057,1005,13060,1008,7531,1098,5529,1007,11152,1064,7496,1537,3656,1087,8436,1032,6260,979,2176,713,3781,349,2943,414,838,417,1790,459,1570,449,220,263,1200,415,1024,394,176,247,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62399,177,7549,599,7255,658,294,327,7498,599,7227,682,271,358,7862,87,6875,523,987,507,15131,111,12619,883,2512,883,10271,49,8707,584,1564,586,6632,66,5389,651,1243,657,4240,47,3676,373,564,367,2125,218,2125,218,0,197,1091,227,1038,247,53,87,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4435694,3504,386818,4743,352073,5716,34745,4249,753963,4915,624343,8080,129620,7554,479422,3134,265227,6838,214195,6772,652803,3533,336785,7458,316018,7543,680981,3824,381947,8810,299034,8556,610289,3442,367754,7443,242535,7663,400503,2774,247525,5434,152978,5390,264732,2616,248679,4206,16053,3056,206183,2178,200795,2259,5388,1238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,887307,4199,132780,3632,115531,4157,17249,3291,204756,4106,157373,5725,47383,4710,100009,3901,45389,3824,54620,3778,168071,4337,57644,4634,110427,5547,138748,3867,61150,4468,77598,5118,81091,4242,43384,3466,37707,3665,35541,2081,19465,2057,16076,1898,15468,2248,13763,2163,1705,839,10843,1503,8612,1491,2231,1168,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124623,1036,19557,842,19209,902,348,376,28040,842,27779,864,261,191,15436,889,13875,1062,1561,604,20477,1177,18220,1326,2257,834,14864,1089,13037,1025,1827,854,11069,902,9990,779,1079,549,9195,389,7887,692,1308,534,3830,388,3739,384,91,152,2155,383,2155,383,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,181769,647,25319,1511,23084,1370,2235,1005,48462,1522,40864,2361,7598,1734,23265,2345,12149,1689,11116,2167,28153,2129,12295,1908,15858,2194,25304,2283,12163,1984,13141,2072,15927,1884,9305,1492,6622,1441,9027,915,5737,863,3290,783,4436,883,4245,877,191,231,1876,678,1876,678,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2083268,2442,253345,3369,245131,4018,8214,2034,478570,3329,455698,4696,22872,3602,242253,2759,146573,4835,95680,4358,351991,3014,186312,6187,165679,5775,319023,2052,192462,5537,126561,5297,217741,1977,145301,4081,72440,3996,127811,1348,86325,3442,41486,3269,59533,1298,55055,1630,4478,1215,33001,1094,31514,1221,1487,589,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
