GEO_ID,C16004_001E,C16004_001M,C16004_002E,C16004_002M,C16004_003E,C16004_003M,C16004_004E,C16004_004M,C16004_005E,C16004_005M,C16004_006E,C16004_006M,C16004_007E,C16004_007M,C16004_008E,C16004_008M,C16004_009E,C16004_009M,C16004_010E,C16004_010M,C16004_011E,C16004_011M,C16004_012E,C16004_012M,C16004_013E,C16004_013M,C16004_014E,C16004_014M,C16004_015E,C16004_015M,C16004_016E,C16004_016M,C16004_017E,C16004_017M,C16004_018E,C16004_018M,C16004_019E,C16004_019M,C16004_020E,C16004_020M,C16004_021E,C16004_021M,C16004_022E,C16004_022M,C16004_023E,C16004_023M,C16004_024E,C16004_024M,C16004_025E,C16004_025M,C16004_026E,C16004_026M,C16004_027E,C16004_027M,C16004_028E,C16004_028M,C16004_029E,C16004_029M,C16004_030E,C16004_030M,C16004_031E,C16004_031M,C16004_032E,C16004_032M,C16004_033E,C16004_033M,C16004_034E,C16004_034M,C16004_035E,C16004_035M,C16004_036E,C16004_036M,C16004_037E,C16004_037M,C16004_038E,C16004_038M,C16004_039E,C16004_039M,C16004_040E,C16004_040M,C16004_041E,C16004_041M,C16004_042E,C16004_042M,C16004_043E,C16004_043M,NAME,C16004_001EA,C16004_001MA,C16004_002MA,C16004_002EA,C16004_003MA,C16004_003EA,C16004_004EA,C16004_004MA,C16004_005MA,C16004_005EA,C16004_006EA,C16004_006MA,C16004_007EA,C16004_007MA,C16004_008MA,C16004_008EA,C16004_009EA,C16004_009MA,C16004_010MA,C16004_010EA,C16004_011EA,C16004_011MA,C16004_012EA,C16004_012MA,C16004_013MA,C16004_013EA,C16004_014MA,C16004_014EA,C16004_015EA,C16004_015MA,C16004_016EA,C16004_016MA,C16004_017EA,C16004_017MA,C16004_018EA,C16004_018MA,C16004_019MA,C16004_019EA,C16004_020EA,C16004_020MA,C16004_021EA,C16004_021MA,C16004_022EA,C16004_022MA,C16004_023EA,C16004_023MA,C16004_024MA,C16004_024EA,C16004_025MA,C16004_025EA,C16004_026EA,C16004_026MA,C16004_027EA,C16004_027MA,C16004_028EA,C16004_028MA,C16004_029EA,C16004_029MA,C16004_030MA,C16004_030EA,C16004_031MA,C16004_031EA,C16004_032EA,C16004_032MA,C16004_033EA,C16004_033MA,C16004_034EA,C16004_034MA,C16004_035MA,C16004_035EA,C16004_036MA,C16004_036EA,C16004_037EA,C16004_037MA,C16004_038EA,C16004_038MA,C16004_039EA,C16004_039MA,C16004_040EA,C16004_040MA,C16004_041MA,C16004_041EA,C16004_042MA,C16004_042EA,C16004_043EA,C16004_043MA,state
0400000US06,35504620,2553,6702496,2897,3643760,23951,2390180,20825,1927112,20154,463068,11708,205337,9290,178579,9000,26758,3192,408846,8696,315401,8521,93445,4876,54373,6166,41644,5032,12729,2879,24202731,3400,13133965,38336,7183412,27769,3672750,25976,3510662,27661,1125461,23354,802240,19849,323221,12000,2518800,18764,1341938,19035,1176862,17220,241093,12341,156789,9175,84304,6836,4599393,2464,3003782,13776,728249,7114,246250,6832,481999,8028,292720,9583,135301,5964,157419,6617,537387,6301,142163,5850,395224,8229,37255,3805,15129,1972,22126,3071,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4850587,1857,894312,2284,719915,8443,138188,6999,116803,6623,21385,2419,15149,1963,12822,1905,2327,878,12432,1928,8434,1697,3998,1129,8628,2404,6877,2396,1751,912,3345336,2070,2771187,13019,393489,8773,210274,7908,183215,7160,79632,5490,63270,4346,16362,2703,68397,3966,37013,3240,31384,2929,32631,4734,22857,4029,9774,2105,610939,1661,533964,2941,46671,2119,29201,2140,17470,1751,18514,2585,13006,2146,5508,1148,9691,1087,2264,643,7427,1016,2099,706,1293,504,806,397,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3397277,984,599696,1056,470869,5951,76741,3721,64012,3756,12729,2045,33500,3121,29163,3035,4337,1133,11976,1702,9014,1480,2962,874,6610,2665,4622,1647,1988,1855,2265557,1657,1723843,9715,279965,4955,153217,6285,126748,5960,175135,7882,119334,6382,55801,4409,60777,3520,32736,2620,28041,2870,25837,4636,17587,3316,8250,2562,532024,1152,447268,3370,25236,1092,6654,1170,18582,1186,51880,3345,27184,2105,24696,2723,5223,732,1946,526,3277,645,2417,629,1686,534,731,264,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,860907,333,148735,513,127218,2050,15404,1755,11156,1733,4248,1253,4137,1018,2841,833,1296,802,1157,591,1080,586,77,111,819,579,641,561,178,251,571359,665,491795,4252,42520,2763,21679,3042,20841,2668,19042,2719,14891,2488,4151,1131,13121,1763,7911,1315,5210,1303,4881,1407,3885,1149,996,538,140813,562,130499,1356,3061,698,2023,719,1038,345,5317,1055,3309,847,2008,591,1643,574,696,385,947,413,293,281,293,281,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,593321,267,70450,4,58321,1403,8303,1082,6328,1038,1975,780,1803,708,1482,602,321,307,614,351,493,329,121,121,1409,650,1363,646,46,76,450970,316,372560,4591,35985,2858,20206,2125,15779,2230,20746,2897,16384,2238,4362,1313,8847,1637,5837,1274,3010,899,12832,3178,8028,1775,4804,2307,71901,147,64006,1167,2904,439,1388,663,1516,561,3010,903,2170,694,840,615,984,357,290,245,694,321,997,558,635,489,362,296,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18247223,3003,2930628,3674,2086057,13069,649599,9894,533275,10830,116324,6370,141449,6975,118602,6179,22847,2946,36033,3713,28963,3599,7070,1363,17490,3806,14974,3482,2516,1169,11807768,4222,8254806,22482,2620806,15829,1474873,16859,1145933,15645,639281,17163,397632,12792,241649,8980,212199,7346,116708,6219,95491,6170,80676,7176,59119,5673,21557,3223,3508827,3914,2815886,9695,463071,5123,121679,5914,341392,6024,179366,7786,95903,4896,83463,5673,36013,2564,14528,2109,21485,2298,14491,2082,8706,1519,5785,1298,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9248840,3638,1824642,4576,1557729,9831,188706,6859,148230,7780,40476,4241,35343,4315,29171,3794,6172,1436,28787,3155,21426,2536,7361,1664,14077,3249,11896,2879,2181,1219,6284842,4758,5385801,15071,511840,7673,234584,8449,277256,8695,184887,10644,131937,8959,52950,5176,148526,7938,73996,4923,74530,5499,53788,5734,39381,4562,14407,3092,1139356,3711,1068166,4142,25614,2491,12046,1712,13568,1786,25220,2684,15112,2179,10108,1696,15520,1591,3717,978,11803,1626,4836,1408,2005,759,2831,1208,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1303300,333,213868,402,174653,3847,3693,1165,2953,1083,740,384,1855,805,1679,754,176,175,33325,3207,21028,2728,12297,2014,342,261,69,81,273,210,879009,817,654077,8251,18570,2728,12741,2032,5829,1442,14915,2576,12732,2300,2183,760,189973,7553,86821,4739,103152,6068,1474,635,647,462,827,509,210423,784,147986,3367,1374,479,1067,378,307,263,2956,796,2260,669,696,433,58084,3080,18455,1822,39629,2825,23,38,0,177,23,38,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1481992,1847,311016,1857,275218,3555,30325,3264,23819,3141,6506,1615,3177,1515,3013,1536,164,155,1851,753,1398,629,453,349,445,258,425,259,20,36,959944,1619,852019,5619,78084,4378,41248,3503,36836,3444,14299,2840,10331,1972,3968,1416,11876,1484,6801,1470,5075,1078,3666,1236,3316,1210,350,207,211032,1315,200102,1302,5112,913,2254,676,2858,817,3684,766,2720,697,964,397,1023,485,358,254,665,482,1111,376,890,299,221,199,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12061228,2147,2249024,2964,1701779,9640,391670,7626,311776,8929,79894,4920,94728,6068,81330,5188,13398,2305,39725,3207,31513,2869,8212,1811,21122,3970,17691,3683,3431,1303,8116492,2685,6193175,16914,1105272,10354,562078,12804,543194,12240,487296,14592,316378,12619,170918,8456,250949,8201,141303,6372,109646,5877,79800,7320,54565,5120,25235,3743,1695712,2158,1437505,5611,87496,2416,24800,2135,62696,2631,117007,5477,55012,3745,61995,4142,41900,2053,14164,1856,27736,2240,11804,2290,4760,1071,7044,2061,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
