GEO_ID,B07408_001E,B07408_001M,B07408_002E,B07408_002M,B07408_003E,B07408_003M,B07408_004E,B07408_004M,B07408_005E,B07408_005M,B07408_006E,B07408_006M,B07408_007E,B07408_007M,B07408_008E,B07408_008M,B07408_009E,B07408_009M,B07408_010E,B07408_010M,B07408_011E,B07408_011M,B07408_012E,B07408_012M,B07408_013E,B07408_013M,B07408_014E,B07408_014M,B07408_015E,B07408_015M,B07408_016E,B07408_016M,B07408_017E,B07408_017M,B07408_018E,B07408_018M,B07408_019E,B07408_019M,B07408_020E,B07408_020M,B07408_021E,B07408_021M,B07408_022E,B07408_022M,B07408_023E,B07408_023M,B07408_024E,B07408_024M,B07408_025E,B07408_025M,B07408_026E,B07408_026M,B07408_027E,B07408_027M,B07408_028E,B07408_028M,B07408_029E,B07408_029M,B07408_030E,B07408_030M,NAME,B07408_001MA,B07408_001EA,B07408_002EA,B07408_002MA,B07408_003EA,B07408_003MA,B07408_004EA,B07408_004MA,B07408_005MA,B07408_005EA,B07408_006MA,B07408_006EA,B07408_007MA,B07408_007EA,B07408_008EA,B07408_008MA,B07408_009EA,B07408_009MA,B07408_010MA,B07408_010EA,B07408_011EA,B07408_011MA,B07408_012MA,B07408_012EA,B07408_013EA,B07408_013MA,B07408_014EA,B07408_014MA,B07408_015MA,B07408_015EA,B07408_016MA,B07408_016EA,B07408_017MA,B07408_017EA,B07408_018MA,B07408_018EA,B07408_019EA,B07408_019MA,B07408_020MA,B07408_020EA,B07408_021MA,B07408_021EA,B07408_022MA,B07408_022EA,B07408_023MA,B07408_023EA,B07408_024EA,B07408_024MA,B07408_025EA,B07408_025MA,B07408_026MA,B07408_026EA,B07408_027MA,B07408_027EA,B07408_028MA,B07408_028EA,B07408_029MA,B07408_029EA,B07408_030EA,B07408_030MA,state
0400000US06,30252741,25257,11064713,46121,13957592,55654,2969450,31671,725128,16076,1535858,13957,25767221,49029,8905727,50785,12426131,48127,2482920,27506,558436,13791,1394007,13789,3099476,40372,1448636,23065,1088402,26309,335512,10889,124900,7075,102026,5622,909954,20979,485475,11502,265063,12591,102377,6270,29298,3113,27741,3005,476090,14989,224875,8789,177996,9867,48641,4124,12494,2507,12084,1794,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4085714,12300,1252482,14762,2072332,21038,510202,12618,69593,4311,181105,5635,3346119,15594,892551,13917,1831466,19081,410926,10944,47765,3372,163411,5495,388154,11866,189181,9035,123237,7806,53459,3894,12597,2032,9680,1276,218140,8672,111592,6035,65890,5123,29883,3532,5806,1338,4969,1163,133301,7750,59158,4231,51739,4369,15934,2210,3425,1170,3045,975,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2936955,7731,993829,14114,1412565,16743,313880,9231,40120,3418,176561,5023,2590091,12429,816423,14601,1308751,15616,271331,8327,30944,2834,162642,4952,211206,9322,100751,6064,64789,5543,28857,2849,7092,1578,9717,1520,56617,4818,31840,3654,15384,2562,6689,1457,888,470,1816,666,79041,5045,44815,3665,23641,2825,7003,1493,1196,953,2386,856,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,734064,5171,236739,5867,351029,8668,86798,5162,13932,2139,45566,2908,645448,6911,189167,6046,326311,8779,75883,4848,11582,1977,42505,2619,61700,5817,34518,4545,15465,2619,7858,1553,1928,815,1931,779,6513,1597,3333,1088,1547,675,1211,723,158,195,264,209,20403,2903,9721,1955,7706,1918,1846,657,264,262,866,404,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,532590,7332,296449,8481,147102,6429,51568,3657,12088,1831,25383,1813,427184,4788,225072,6847,125451,5320,43466,3527,9572,1573,23623,1768,53286,4602,39125,3999,8823,1681,3761,902,908,458,669,375,0,184,0,184,0,184,0,184,0,184,0,184,52120,5468,32252,3945,12828,2417,4341,1077,1608,805,1091,634,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15790650,23069,4943935,32750,7221164,44116,2089340,26912,403537,12064,1132674,15348,13508469,37145,3910914,34450,6512779,42027,1755714,23685,300578,11168,1028484,14262,1432141,30009,627831,20205,454329,15474,216781,9644,69684,4961,63516,4492,487834,16323,248115,10289,128921,8589,71122,5719,19843,2714,19833,2745,362206,13624,157075,6574,125135,8506,45723,3583,13432,2472,20841,2272,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7773243,15252,2572895,23072,3668985,32713,891030,17947,202278,8800,438055,9566,6600020,23252,2006400,22557,3302896,31536,738150,16790,151391,7969,401183,9603,590633,21758,281200,12466,182764,10524,79530,6302,27079,3138,20060,2630,377830,13444,195644,9309,103245,8056,50951,3889,16637,2592,11353,1675,204760,9891,89651,5520,80080,7094,22399,2905,7171,1376,5459,1145,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1124524,6709,379184,7969,550628,9221,108244,4765,15861,1797,70607,3390,966521,7582,309473,6857,490207,9473,89534,4481,12085,1667,65222,3259,103843,6841,44967,4466,38779,4259,13475,1997,2943,1024,3679,926,5465,1648,2809,1018,1523,945,674,430,28,48,431,401,48695,4112,21935,2300,20119,2821,4561,861,805,380,1275,734,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1232088,6851,319330,8327,678212,12934,154585,6137,15322,1957,64639,4016,1022251,9500,229495,8420,603340,11125,122026,5952,10263,1815,57127,3759,117117,7087,49459,4765,40564,4513,19722,2866,3315,861,4057,933,45749,4396,21179,3188,14973,2583,6423,1292,841,407,2333,818,46971,5048,19197,2679,19335,2990,6414,1519,903,444,1122,401,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10346950,13116,3578335,23998,4929720,34723,1037170,16146,186395,8154,615330,10810,8956954,23066,2852779,24370,4516359,31500,886946,15663,140113,6384,560757,10280,876883,18563,448579,13164,259341,9817,99195,4755,34017,3182,35751,2634,277975,10135,155531,6348,73371,5978,30190,2696,7852,1311,11031,1721,235138,9376,121446,6132,80649,5233,20839,2615,4413,1136,7791,1610,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5209055,11405,1562655,18517,2593993,26634,665237,13321,74678,4136,312492,6662,4444483,19439,1194851,17630,2371740,26048,547729,12406,50396,3468,279767,6343,446235,12217,210189,8561,124192,7196,74790,4708,15831,2183,21233,2032,196218,8546,101307,5824,54195,4874,27438,2512,4737,1411,8541,1466,122119,7327,56308,5486,43866,4496,15280,1989,3714,1103,2951,765,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
