GEO_ID,C15010H_001E,C15010H_001M,C15010H_002E,C15010H_002M,C15010H_003E,C15010H_003M,C15010H_004E,C15010H_004M,C15010H_005E,C15010H_005M,C15010H_006E,C15010H_006M,NAME,C15010H_001EA,C15010H_001MA,C15010H_002EA,C15010H_002MA,C15010H_003MA,C15010H_003EA,C15010H_004EA,C15010H_004MA,C15010H_005EA,C15010H_005MA,C15010H_006EA,C15010H_006MA,state
0400000US06,4507806,27039,1774322,18559,301792,7806,756451,11421,369589,9224,1305652,17939,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1113355,13860,420905,9085,90460,4885,220799,6189,118667,5978,262524,7320,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,750706,10247,265000,5834,64621,3501,143493,5647,93446,4005,184146,6819,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,135452,5338,45769,3092,11331,1657,28693,2537,19139,2048,30520,2336,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,150683,2373,77037,3261,4423,880,12779,1778,4550,906,51894,2965,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2502779,23989,779484,14572,220708,8056,578787,11013,400500,10392,523300,10223,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1225107,15103,370000,9561,107349,5355,297867,8486,189491,6573,260400,8127,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,102559,3993,41573,2877,7404,1339,17836,2098,10455,1338,25291,1799,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,239515,8821,82045,5266,26071,2934,39700,3131,41429,3040,50270,3480,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2046494,16542,624224,12008,174105,6609,460030,11131,306765,7671,481370,10075,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,870767,13672,244835,7939,104548,4930,177001,6121,165117,6505,179266,6575,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,498321,7512,139339,4713,46245,2684,102107,3945,107038,4069,103592,4149,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,501625,8238,143082,4648,48739,2895,110453,4310,99504,3942,99847,3662,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,572804,9572,163859,5761,60631,3477,114695,4896,106109,4212,127510,4601,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,494913,10123,134467,5371,64737,3985,103463,5491,84668,4692,107578,5090,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,254884,6984,79902,3991,27624,2342,38357,2780,42791,3195,66210,3030,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,954935,11435,395900,7830,70502,3949,159546,5578,107583,4706,221404,6234,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1509607,16113,568999,10519,122791,4791,274450,8261,160072,4947,383295,10269,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1427150,14698,445297,9371,149370,5822,308100,7856,238621,5670,285762,6587,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1065874,12629,327193,6645,103260,4346,224333,7096,165874,5739,245214,5706,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,288189,9145,67390,3413,37703,3405,66151,4314,63775,3635,53170,3901,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,924741,12211,259024,6667,89090,4125,203394,6577,170519,6110,202714,5947,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
