GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001EA,C15010I_001MA,C15010I_002MA,C15010I_002EA,C15010I_003MA,C15010I_003EA,C15010I_004EA,C15010I_004MA,C15010I_005EA,C15010I_005MA,C15010I_006EA,C15010I_006MA,state
0400000US06,872029,16061,295813,9218,63285,4116,188568,7072,78910,5713,245453,9220,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,73354,3963,27050,2661,6615,1277,16407,1943,7342,1154,15940,1770,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48355,3662,15806,1814,3948,1041,11517,1659,4570,1083,12514,2094,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6482,1337,2076,722,574,312,1614,705,787,572,1431,684,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14267,1833,6760,1527,628,457,1336,499,604,432,4939,1099,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,612959,13631,213765,8264,59209,4197,163821,6636,79332,4999,96832,5663,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,63013,4905,21748,2825,4193,1372,18039,2743,5757,1366,13276,2132,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13288,1699,4380,1071,931,445,2412,770,1387,541,4178,1172,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7426,1572,2882,979,767,451,1749,738,655,359,1373,659,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,142659,5786,44811,3466,11865,2190,35486,3302,20909,2780,29588,2959,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,24713,2722,8265,1571,2418,813,4508,1171,2960,857,6562,1277,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7336,1228,2327,608,453,352,1614,532,1241,601,1701,504,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,17603,1858,5397,1081,1816,639,4917,1039,2772,843,2701,728,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,10563,1469,4545,1045,728,402,1997,761,1284,507,2009,707,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20747,2380,7451,1315,2626,740,4364,1149,2050,707,4256,1072,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2449,712,543,261,453,322,507,360,118,93,828,412,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
