GEO_ID,B17005_001E,B17005_001M,B17005_002E,B17005_002M,B17005_003E,B17005_003M,B17005_004E,B17005_004M,B17005_005E,B17005_005M,B17005_006E,B17005_006M,B17005_007E,B17005_007M,B17005_008E,B17005_008M,B17005_009E,B17005_009M,B17005_010E,B17005_010M,B17005_011E,B17005_011M,B17005_012E,B17005_012M,B17005_013E,B17005_013M,B17005_014E,B17005_014M,B17005_015E,B17005_015M,B17005_016E,B17005_016M,B17005_017E,B17005_017M,B17005_018E,B17005_018M,B17005_019E,B17005_019M,B17005_020E,B17005_020M,B17005_021E,B17005_021M,B17005_022E,B17005_022M,B17005_023E,B17005_023M,NAME,B17005_001EA,B17005_001MA,B17005_002EA,B17005_002MA,B17005_003EA,B17005_003MA,B17005_004MA,B17005_004EA,B17005_005MA,B17005_005EA,B17005_006MA,B17005_006EA,B17005_007EA,B17005_007MA,B17005_008MA,B17005_008EA,B17005_009MA,B17005_009EA,B17005_010MA,B17005_010EA,B17005_011MA,B17005_011EA,B17005_012EA,B17005_012MA,B17005_013EA,B17005_013MA,B17005_014EA,B17005_014MA,B17005_015MA,B17005_015EA,B17005_016MA,B17005_016EA,B17005_017EA,B17005_017MA,B17005_018EA,B17005_018MA,B17005_019EA,B17005_019MA,B17005_020MA,B17005_020EA,B17005_021MA,B17005_021EA,B17005_022EA,B17005_022MA,B17005_023EA,B17005_023MA,state
0400000US06,29183845,11595,4391974,43899,1941721,26010,1029209,16571,686532,14287,342677,9752,912512,16607,2450253,26737,976168,15126,649733,13181,326435,9883,1474085,21919,24791871,44622,12322231,26212,9185876,28215,8373768,29224,812108,15527,3136355,21506,12469640,27327,7672484,31236,7014879,31819,657605,11758,4797156,26770,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3961966,4341,492197,12616,219585,6650,127275,5520,95201,4857,32074,3037,92310,5068,272612,8906,127958,6231,97904,5290,30054,3078,144654,6563,3469769,12534,1732109,7719,1358704,8943,1274252,8884,84452,4614,373405,7516,1737660,8657,1150332,9121,1082857,10221,67475,4605,587328,7047,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2789067,3050,268832,10252,112905,5575,52177,3629,28794,2350,23383,2478,60728,3889,155927,6911,67359,4396,43338,3667,24021,2417,88568,4702,2520235,10608,1223475,5855,943047,7032,863369,8281,79678,4741,280428,5864,1296760,7390,866670,8160,805841,8603,60829,3554,430090,6527,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,709544,1650,75419,5344,29324,2703,13926,1832,9938,1568,3988,1014,15398,2117,46095,3742,18647,2193,12689,1794,5958,1299,27448,2713,634125,5605,307281,3029,221418,3682,203476,3813,17942,2535,85863,3068,326844,3965,212038,4368,198998,4017,13040,2138,114806,3341,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,498785,1162,83453,5906,35475,3383,13548,2400,7467,1749,6081,1353,21927,2981,47978,3631,20472,2073,12301,1702,8171,1479,27506,2800,415332,5883,196051,3397,157549,3603,146195,4127,11354,1757,38502,2511,219281,3981,163329,4187,152273,4298,11056,2012,55952,3379,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15395375,9252,2335703,32301,1006553,17257,506176,13758,313112,11254,193064,8941,500377,9912,1329150,23205,550929,13798,357247,12719,193682,8934,778221,16682,13059672,34161,6364585,19303,4350356,19766,3967945,22036,382411,10637,2014229,17145,6695087,23127,3924608,24765,3617920,23902,306688,11826,2770479,17808,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7413190,7532,1233230,22981,509160,11866,261870,9689,167465,6968,94405,6647,247290,10668,724070,15050,304126,9328,206279,8060,97847,5314,419944,11081,6179960,24971,3008976,15321,2231606,15522,2053839,16146,177767,7311,777370,12695,3170984,15237,1964560,15831,1813108,15869,151452,7384,1206424,14486,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1064543,2893,109609,6322,44731,3617,21121,2121,14607,1798,6514,1506,23610,2868,64878,3986,24392,2578,18577,2346,5815,1182,40486,3098,954934,6472,472636,4161,343911,4735,322619,5000,21292,1938,128725,4176,482298,3876,305510,5477,289975,5206,15535,1773,176788,4432,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1189498,2178,169773,8287,74977,4430,40393,3701,29629,3107,10764,1835,34584,3212,94796,5402,45057,3667,34660,3383,10397,1801,49739,3789,1019725,8414,512345,5293,374891,5800,353149,5702,21742,2587,137454,4244,507380,5913,308963,6444,290507,5941,18456,2510,198417,5658,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9900652,5402,1286554,20579,540839,14053,286253,10131,176633,7405,109620,5365,254586,9079,745715,12273,336848,8800,222507,7364,114341,5346,408867,9663,8614098,21372,4236960,14241,3201631,13736,2946745,15108,254886,7628,1035329,12137,4377138,12807,2853098,16332,2655836,16016,197262,6856,1524040,12666,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
