GEO_ID,C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,NAME,C17016_001MA,C17016_001EA,C17016_002MA,C17016_002EA,C17016_003EA,C17016_003MA,C17016_004EA,C17016_004MA,C17016_005EA,C17016_005MA,C17016_006MA,C17016_006EA,C17016_007MA,C17016_007EA,C17016_008EA,C17016_008MA,C17016_009EA,C17016_009MA,state
0400000US06,8585787,27380,1111400,15617,193140,6226,388673,11006,529587,10809,7474387,28093,4120073,25049,1542701,18477,1811613,16245,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,23356,2832,51717,4114,43534,3574,1159657,11072,681902,10444,236481,7619,241274,5823,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,6693,1212,27367,2870,36864,2869,831445,8840,477488,6908,173746,6361,180211,4917,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,2642,861,6922,1300,8835,1467,207194,4348,115773,3933,37229,2608,54192,2851,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,1994,692,4791,971,8905,1239,96803,3781,59428,3231,16206,1953,21169,2059,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,101602,5676,190235,8972,288952,10226,4017433,24594,2074371,20396,677534,11459,1265528,14137,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,71929,5133,117493,5671,172398,8020,2044406,15943,1226998,14476,318775,10008,498633,9070,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,4790,1135,9436,1504,12288,1536,282651,5838,155034,4499,51100,3112,76517,2983,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,8901,1703,20088,2339,18569,2377,358350,6909,185845,6173,80752,4569,91753,3873,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,59532,4410,122784,5428,157279,5184,2781425,15435,1626007,14075,513175,9506,642243,8840,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1648172,14329,186201,5877,31200,2779,77288,4685,77713,4142,1461971,13691,847711,12905,263113,6680,351147,6497,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796744,7245,70337,3702,13724,1794,29065,2590,27548,2272,726407,7311,443704,7154,130701,4307,152002,4157,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,727171,6574,67828,3618,16345,2068,27261,2444,24222,2173,659343,7039,408552,6932,113721,4080,137070,4211,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1140771,10522,169148,5700,27263,2837,50872,3865,91013,4378,971623,10148,538475,8832,158791,5612,274357,5655,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1125659,9109,174766,6579,37248,3172,56991,4113,80527,4097,950893,9486,548763,9118,154758,6794,247372,5632,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,346950,5393,34019,2499,4390,968,12852,2069,16777,1803,312931,5166,162065,4732,68738,3430,82128,3219,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1437113,10814,104724,5338,14839,2004,39239,3323,50646,3626,1332389,10662,841148,10829,224961,6794,266280,6021,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1598867,12256,135819,5457,13614,1622,46076,3302,76129,4579,1463048,11274,821004,10219,319408,8348,322636,6927,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2482612,15037,312684,7523,43332,3379,119903,4083,149449,4954,2169928,15432,1128899,12874,416789,8225,624240,7247,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1374436,9338,104285,4782,15702,1800,43583,3234,45000,3118,1270151,9399,756097,8882,264894,7018,249160,4557,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,747620,9723,143510,6988,27372,2687,44608,3999,71530,4373,604110,8871,338882,8239,93961,5001,171267,4680,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1517231,12741,177919,6713,27937,2489,64122,3645,85860,4490,1339312,11908,772631,10424,231004,6640,335677,6575,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,259650,5083,26547,2218,5019,1296,11281,1628,10247,1181,233103,5160,122858,4069,51856,2488,58389,2352,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
