GEO_ID,B17013_001E,B17013_001M,B17013_002E,B17013_002M,B17013_003E,B17013_003M,B17013_004E,B17013_004M,B17013_005E,B17013_005M,B17013_006E,B17013_006M,B17013_007E,B17013_007M,B17013_008E,B17013_008M,B17013_009E,B17013_009M,B17013_010E,B17013_010M,B17013_011E,B17013_011M,B17013_012E,B17013_012M,B17013_013E,B17013_013M,B17013_014E,B17013_014M,B17013_015E,B17013_015M,B17013_016E,B17013_016M,B17013_017E,B17013_017M,B17013_018E,B17013_018M,B17013_019E,B17013_019M,B17013_020E,B17013_020M,B17013_021E,B17013_021M,B17013_022E,B17013_022M,B17013_023E,B17013_023M,B17013_024E,B17013_024M,B17013_025E,B17013_025M,B17013_026E,B17013_026M,B17013_027E,B17013_027M,B17013_028E,B17013_028M,B17013_029E,B17013_029M,B17013_030E,B17013_030M,B17013_031E,B17013_031M,B17013_032E,B17013_032M,B17013_033E,B17013_033M,B17013_034E,B17013_034M,B17013_035E,B17013_035M,NAME,B17013_001MA,B17013_001EA,B17013_002MA,B17013_002EA,B17013_003MA,B17013_003EA,B17013_004EA,B17013_004MA,B17013_005EA,B17013_005MA,B17013_006EA,B17013_006MA,B17013_007MA,B17013_007EA,B17013_008MA,B17013_008EA,B17013_009EA,B17013_009MA,B17013_010EA,B17013_010MA,B17013_011EA,B17013_011MA,B17013_012MA,B17013_012EA,B17013_013MA,B17013_013EA,B17013_014MA,B17013_014EA,B17013_015EA,B17013_015MA,B17013_016EA,B17013_016MA,B17013_017EA,B17013_017MA,B17013_018MA,B17013_018EA,B17013_019MA,B17013_019EA,B17013_020EA,B17013_020MA,B17013_021EA,B17013_021MA,B17013_022EA,B17013_022MA,B17013_023MA,B17013_023EA,B17013_024MA,B17013_024EA,B17013_025EA,B17013_025MA,B17013_026EA,B17013_026MA,B17013_027EA,B17013_027MA,B17013_028EA,B17013_028MA,B17013_029MA,B17013_029EA,B17013_030EA,B17013_030MA,B17013_031EA,B17013_031MA,B17013_032EA,B17013_032MA,B17013_033EA,B17013_033MA,B17013_034MA,B17013_034EA,B17013_035MA,B17013_035EA,state
0400000US06,8585787,27380,1111400,15617,471618,9445,99624,4790,167939,6072,160853,5647,43202,2957,639782,12282,136835,5712,54999,3460,59035,3807,18978,2147,3823,869,502947,10630,153495,5913,254968,7718,77097,4424,17387,1772,7474387,28093,5632481,27118,2146240,19267,2432468,20316,879337,14998,174436,6129,1841906,20764,622453,12792,306349,10029,244701,8410,55790,3466,15613,2372,1219453,15928,573598,11922,509501,10609,108945,5440,27409,2460,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,47192,3409,12554,1834,15886,2003,14609,2202,4143,1118,71415,4599,14582,2108,6363,1273,6046,1427,1387,553,786,587,56833,4188,22669,2808,24501,2522,7452,1483,2211,833,1159657,11072,927878,11729,445652,8780,366213,9176,103009,5425,13004,1642,231779,6532,77714,4051,48733,3144,25445,2549,2621,737,915,666,154065,5615,81580,4308,60109,3809,10462,1373,1914,634,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,20201,2445,6229,1145,8666,1611,5012,1184,294,243,50723,3321,6295,1400,3463,1127,2277,748,555,397,0,193,44428,3185,16825,2136,21663,2420,5115,1093,825,485,831445,8840,640675,8470,277717,6210,283675,6583,71358,4056,7925,1326,190770,6524,56922,3897,33814,3134,20409,2449,2241,805,458,332,133848,5347,67878,3897,57420,3807,7333,1320,1217,510,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,5984,1260,1969,614,1279,535,2242,939,494,395,12415,1677,2028,630,973,475,875,452,180,134,0,182,10387,1632,4009,820,4787,1112,1418,678,173,196,207194,4348,157476,4530,74653,3261,62255,3172,17901,2181,2667,930,49718,3535,14233,2110,7655,1559,5745,1145,833,448,0,182,35485,2747,16888,2142,16253,1933,2100,785,244,248,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,2274,745,674,319,1018,495,483,517,99,160,13416,1415,1422,584,643,409,593,363,186,177,0,197,11994,1395,4026,833,5838,1053,1550,608,580,363,96803,3781,59875,3094,31656,2147,22711,2176,4700,1060,808,481,36928,2435,7956,1249,5475,960,2047,743,245,214,189,224,28972,2078,14009,1733,11618,1367,2694,688,651,428,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,226660,7825,85151,4699,82941,5086,48163,4095,10405,1757,354129,9725,64598,4050,31610,2687,27165,3149,5033,1310,790,587,289531,9091,102594,6258,145110,6926,34449,3520,7378,1358,4017433,24594,3092960,22883,1638830,16756,1139691,17041,281393,9355,33046,3315,924473,14572,259303,9265,147995,6745,97177,5765,12636,1875,1495,600,665170,10080,353821,7465,267300,9460,38480,3112,5569,1338,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,120443,6072,34053,3129,45147,4397,33836,3296,7407,1454,241377,8503,35701,2570,14970,2065,15665,2268,4302,1290,764,414,205676,8198,67177,5024,101169,6069,31431,4067,5899,1432,2044406,15943,1572943,17075,695538,10871,665523,13028,187549,7186,24333,2874,471463,11691,130717,5897,76768,4133,44959,3436,7666,1731,1324,1019,340746,10111,173208,6966,142153,6162,21486,2556,3899,1218,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,11141,1234,3734,974,3330,814,2963,880,1114,519,15373,1789,2744,832,1154,548,1295,633,159,134,136,161,12629,1647,4182,854,6000,1362,1831,682,616,364,282651,5838,217886,6168,87126,3318,91558,3659,29519,2425,9683,1198,64765,3503,20825,1895,10329,1431,8175,1356,1424,419,897,441,43940,2948,19377,1870,16378,1711,5719,1137,2466,762,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,22630,2412,6631,1617,8206,1459,5914,1247,1879,729,24928,2647,3868,953,2377,828,1249,524,47,62,195,196,21060,2486,8426,1692,10424,1724,2088,823,122,161,358350,6909,299595,6422,146847,4621,103635,5231,40864,3083,8249,1659,58755,4228,20466,2715,10707,1803,8648,1630,903,559,208,277,38289,3132,22761,2690,13336,2115,1665,612,527,310,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,111903,5129,30994,2448,37895,2825,34739,2723,8275,1413,227692,6957,36832,3216,17943,2316,14340,1822,3549,930,1000,528,190860,6302,68212,3851,89036,4564,25482,2996,8130,1373,2781425,15435,2177526,18209,945767,10423,902529,13277,289789,7035,39441,3155,603899,11431,183297,6670,101749,4835,69140,4299,10316,1606,2092,689,420602,9957,210546,7064,176090,6060,27443,2256,6523,1058,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
