GEO_ID,C12002C_001E,C12002C_001M,C12002C_002E,C12002C_002M,C12002C_003E,C12002C_003M,C12002C_004E,C12002C_004M,C12002C_005E,C12002C_005M,C12002C_006E,C12002C_006M,NAME,C12002C_001MA,C12002C_001EA,C12002C_002EA,C12002C_002MA,C12002C_003EA,C12002C_003MA,C12002C_004MA,C12002C_004EA,C12002C_005MA,C12002C_005EA,C12002C_006EA,C12002C_006MA,state
0400000US06,226509,8685,90471,4646,87321,5298,8620,1678,10077,1203,30020,2614,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36743,2851,15681,1919,13865,1968,1141,509,1430,476,4626,1055,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,8486,1557,3795,883,3165,1037,141,149,356,359,1029,415,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2339,529,488,289,1415,530,22,41,166,100,248,202,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2049,779,1121,558,295,165,258,263,141,118,234,222,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,43446,3613,14669,2582,17648,1926,2089,828,2087,703,6953,1427,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,17688,2721,6320,1874,7358,1761,605,324,492,362,2913,846,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3051,748,906,535,785,330,225,245,330,313,805,535,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15952,1547,7104,944,4847,899,195,165,371,181,3435,858,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,20978,2801,6821,1507,9598,1541,986,673,1115,471,2458,663,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,12732,1924,3631,925,5163,999,224,227,1010,315,2704,896,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,6148,1127,2936,654,1664,525,304,244,327,409,917,440,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19601,2178,7483,1423,8141,1211,340,267,729,285,2908,645,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,6727,1417,2158,632,2717,945,184,191,354,319,1314,590,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21195,2093,6614,1233,10280,1554,499,272,1116,424,2686,863,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6560,832,2079,480,2349,669,100,108,382,165,1650,505,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,14998,2251,5866,1288,4846,987,505,419,1575,720,2206,777,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,11180,1894,5615,1350,2653,703,855,400,469,325,1588,640,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,45179,2338,16914,1666,18397,1893,1009,337,1935,511,6924,950,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41851,1630,21061,1456,11104,1238,849,307,1663,395,7174,975,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9304,1077,4121,735,3111,738,700,518,388,184,984,510,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,21841,2156,6003,1443,8901,1527,679,494,954,447,5304,1143,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,46676,1667,19772,1283,17449,1422,1226,580,3044,751,5185,848,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
