GEO_ID,B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,NAME,B21001G_001MA,B21001G_001EA,B21001G_002EA,B21001G_002MA,B21001G_003MA,B21001G_003EA,B21001G_004MA,B21001G_004EA,B21001G_005EA,B21001G_005MA,B21001G_006EA,B21001G_006MA,B21001G_007MA,B21001G_007EA,B21001G_008MA,B21001G_008EA,B21001G_009MA,B21001G_009EA,B21001G_010EA,B21001G_010MA,B21001G_011EA,B21001G_011MA,B21001G_012MA,B21001G_012EA,B21001G_013MA,B21001G_013EA,B21001G_014MA,B21001G_014EA,B21001G_015MA,B21001G_015EA,B21001G_016MA,B21001G_016EA,B21001G_017EA,B21001G_017MA,B21001G_018MA,B21001G_018EA,B21001G_019MA,B21001G_019EA,B21001G_020MA,B21001G_020EA,B21001G_021EA,B21001G_021MA,B21001G_022EA,B21001G_022MA,B21001G_023MA,B21001G_023EA,B21001G_024MA,B21001G_024EA,B21001G_025MA,B21001G_025EA,B21001G_026EA,B21001G_026MA,B21001G_027MA,B21001G_027EA,B21001G_028MA,B21001G_028EA,B21001G_029MA,B21001G_029EA,B21001G_030MA,B21001G_030EA,B21001G_031EA,B21001G_031MA,B21001G_032EA,B21001G_032MA,B21001G_033MA,B21001G_033EA,state
0400000US06,960034,19692,469272,11329,223755,7487,7801,1339,215954,7273,157778,5227,17070,2142,140708,5003,49700,3400,9882,1557,39818,3423,22794,2010,6845,1174,15949,1564,15245,1862,7066,1169,8179,1341,490762,12594,225459,7916,1728,565,223731,7875,163598,7291,2219,677,161379,7278,53542,2517,758,365,52784,2489,28405,2083,259,210,28146,2064,19758,2006,537,414,19221,1989,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,94532,4635,47854,3060,24039,2431,1241,561,22798,2448,16508,2130,2828,888,13680,1916,4583,938,1432,498,3151,791,1597,546,721,351,876,379,1127,450,623,341,504,329,46678,3344,22768,2567,142,146,22626,2547,15844,1710,598,425,15246,1633,4578,942,312,321,4266,867,1886,652,20,48,1866,651,1602,448,80,97,1522,443,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48174,3823,22497,2473,10814,1774,299,274,10515,1742,7961,1647,812,382,7149,1560,2417,746,485,330,1932,698,1031,437,558,314,473,344,274,210,102,105,172,176,25677,2720,12674,1908,336,282,12338,1896,9122,1540,111,147,9011,1537,2328,671,46,80,2282,668,1033,431,0,193,1033,431,520,261,0,193,520,261,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,255504,9509,124319,6799,55226,4835,2869,958,52357,4730,38996,3104,5934,1182,33062,2976,16122,2015,4205,1000,11917,1758,9000,1295,3816,972,5184,883,4975,1107,1931,741,3044,843,131185,5581,54164,3247,969,555,53195,3179,42736,3381,1366,575,41370,3401,16699,2293,489,370,16210,2310,9869,1639,127,132,9742,1624,7717,1474,309,271,7408,1405,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,97960,7127,44990,4152,20191,2941,1495,696,18696,2902,17504,2335,2767,946,14737,2204,4193,840,1103,424,3090,710,1854,567,854,377,1000,520,1248,699,904,632,344,240,52970,4448,24922,3025,737,499,24185,2985,17139,2680,933,421,16206,2660,5532,1096,76,75,5456,1092,3477,1242,0,208,3477,1242,1900,657,0,208,1900,657,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,198085,8123,99797,4864,44081,2530,2971,944,41110,2534,36659,3106,4626,1205,32033,2953,11458,1312,3253,948,8205,1264,5327,799,2622,592,2705,641,2272,574,1259,452,1013,384,98288,4967,42617,2591,1032,566,41585,2513,33294,2190,616,303,32678,2149,11091,1324,197,150,10894,1349,7222,1216,51,65,7171,1207,4064,835,64,106,4000,835,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21175,2512,9651,1301,4990,1137,399,357,4591,1124,2636,796,406,274,2230,783,1224,399,419,291,805,343,768,392,457,289,311,209,33,40,15,30,18,29,11524,2110,4649,1110,193,237,4456,1084,4371,1320,0,187,4371,1320,1214,466,0,187,1214,466,1064,606,0,187,1064,606,226,217,0,187,226,217,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,134609,7297,63955,4395,30799,2796,861,380,29938,2700,22196,2405,2166,816,20030,2421,5528,932,1427,442,4101,833,4103,755,1456,527,2647,621,1329,444,414,215,915,389,70654,4717,34262,3019,445,385,33817,2944,24484,2504,992,360,23492,2484,6287,1164,0,179,6287,1164,3189,781,75,88,3114,765,2432,573,0,179,2432,573,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
