GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001MA,B18101A_001EA,B18101A_002MA,B18101A_002EA,B18101A_003EA,B18101A_003MA,B18101A_004MA,B18101A_004EA,B18101A_005MA,B18101A_005EA,B18101A_006MA,B18101A_006EA,B18101A_007MA,B18101A_007EA,B18101A_008EA,B18101A_008MA,B18101A_009EA,B18101A_009MA,B18101A_010MA,B18101A_010EA,state
0400000US06,23319074,57106,5305246,28557,164312,5717,5140934,28737,14706878,34790,1214678,20043,13492200,37877,3306950,8240,1198052,11951,2108898,12529,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4309161,16465,974636,8517,33089,2615,941547,8716,2786653,9299,228644,8120,2558009,11809,547872,2221,173714,4636,374158,4537,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2767976,10845,561815,5306,19797,2162,542018,5354,1747255,7265,134153,5804,1613102,8662,458906,1424,144427,3759,314479,3902,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,630463,3977,124251,1867,5108,1305,119143,2189,392237,2919,39934,3136,352303,4129,113975,828,36158,1922,77817,1976,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,247082,4182,27728,1322,810,389,26918,1381,194906,3240,6221,1242,188685,3484,24448,523,6450,1064,17998,1088,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14548616,22981,2709860,11373,103592,5748,2606268,12231,8776852,15960,866160,16196,7910692,24161,3061904,4482,1008314,15336,2053590,15497,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5894862,16440,1344347,8845,53228,4703,1291119,9387,3708494,10938,379377,10639,3329117,15597,842021,2777,313571,6030,528450,6393,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317832,3553,46684,1464,2061,670,44623,1416,217870,2997,19925,1961,197945,3598,53278,812,17263,1426,36015,1544,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1440665,6931,376463,3402,16704,2324,359759,3903,863367,4171,94645,5659,768722,7117,200835,1125,70251,3197,130584,2878,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9252473,24570,2038330,12527,72191,4525,1966139,12665,5862572,14067,465667,10897,5396905,18137,1351571,3705,457838,6953,893733,7033,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5441679,9648,1248320,5486,56174,3757,1192146,6609,3404487,6819,372041,8367,3032446,9905,788872,1936,281213,5872,507659,5768,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2777986,5820,627919,3187,22611,2242,605308,3918,1714718,3928,155168,5389,1559550,6494,435349,1396,139045,3484,296304,3432,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2424219,7446,584214,4012,21510,1789,562704,4227,1491333,4752,148946,5105,1342387,7031,348672,1253,121411,3701,227261,3564,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3779919,6212,846481,2992,46530,3202,799951,4204,2378754,4279,369803,9357,2008951,9918,554684,1168,234119,4965,320565,4852,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2841531,7054,622107,3320,36906,3740,585201,5267,1790209,5777,229987,8137,1560222,9605,429215,1952,175810,4492,253405,4867,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1251757,1313,242171,861,17222,2608,224949,2691,793472,1241,105648,4629,687824,4663,216114,609,76491,2679,139623,2739,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3367675,12768,688699,5305,25284,2242,663415,5607,2147070,8556,173153,6470,1973917,9836,531906,1821,168396,4661,363510,4700,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5263433,12399,1029695,5037,44753,3759,984942,6297,3398845,8451,292173,8360,3106672,10934,834893,1952,274605,6986,560288,7146,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7776033,8758,1660890,4696,74955,3117,1585935,5657,4885678,5327,538041,9288,4347637,10448,1229465,1859,431055,6793,798410,7048,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4552775,6763,991552,3488,33972,2730,957580,4364,2891200,4175,223245,6482,2667955,8248,670023,1333,208999,4505,461024,4614,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1733153,4587,383122,2390,20255,2709,362867,3405,1060031,3236,148120,6992,911911,7297,290000,1371,123630,3890,166370,3713,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4902560,6612,1084905,3335,51944,4110,1032961,5537,3051142,4494,371190,10398,2679952,10698,766513,1681,285783,6546,480730,6417,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,883608,2210,182880,1042,6978,1453,175902,1808,554012,1779,52555,3064,501457,3444,146716,625,52082,2333,94634,2401,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1612138,5204,382218,2829,13429,1642,368789,3045,995788,3293,81490,4158,914298,4751,234132,841,78625,2264,155507,2247,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1901940,12417,413311,6392,15521,2186,397790,6892,1196890,7881,130993,6097,1065897,9227,291739,1935,103135,3890,188604,4365,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1228024,2626,248865,1549,13033,1770,235832,2242,796421,1951,76201,4222,720220,4238,182738,690,57222,2660,125516,2644,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6052797,20722,1284808,9617,40733,2496,1244075,9487,3775696,13931,278949,7752,3496747,15706,992293,3125,320255,6611,672038,6689,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1476088,13627,336429,6692,14214,2230,322215,6403,898423,8935,116481,5089,781942,9432,241236,2625,94778,3745,146458,3430,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12621962,31170,2536172,12492,91812,4963,2444360,12812,8025946,21205,663725,13145,7362221,24468,2059844,4950,679764,9735,1380080,10296,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6690865,18352,1431772,8540,55553,4050,1376219,9241,4193612,10956,446493,12950,3747119,17575,1065481,2164,375394,7601,690087,7659,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,613304,1542,127784,683,4355,986,123429,1202,393871,1342,31121,2444,362750,2672,91649,383,29613,1510,62036,1591,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9429527,7887,2050397,4768,97173,5594,1953224,8249,5911293,5528,664443,12062,5246850,12931,1467837,2371,508843,7464,958994,7525,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
