GEO_ID,B14003_001E,B14003_001M,B14003_002E,B14003_002M,B14003_003E,B14003_003M,B14003_004E,B14003_004M,B14003_005E,B14003_005M,B14003_006E,B14003_006M,B14003_007E,B14003_007M,B14003_008E,B14003_008M,B14003_009E,B14003_009M,B14003_010E,B14003_010M,B14003_011E,B14003_011M,B14003_012E,B14003_012M,B14003_013E,B14003_013M,B14003_014E,B14003_014M,B14003_015E,B14003_015M,B14003_016E,B14003_016M,B14003_017E,B14003_017M,B14003_018E,B14003_018M,B14003_019E,B14003_019M,B14003_020E,B14003_020M,B14003_021E,B14003_021M,B14003_022E,B14003_022M,B14003_023E,B14003_023M,B14003_024E,B14003_024M,B14003_025E,B14003_025M,B14003_026E,B14003_026M,B14003_027E,B14003_027M,B14003_028E,B14003_028M,B14003_029E,B14003_029M,B14003_030E,B14003_030M,B14003_031E,B14003_031M,B14003_032E,B14003_032M,B14003_033E,B14003_033M,B14003_034E,B14003_034M,B14003_035E,B14003_035M,B14003_036E,B14003_036M,B14003_037E,B14003_037M,B14003_038E,B14003_038M,B14003_039E,B14003_039M,B14003_040E,B14003_040M,B14003_041E,B14003_041M,B14003_042E,B14003_042M,B14003_043E,B14003_043M,B14003_044E,B14003_044M,B14003_045E,B14003_045M,B14003_046E,B14003_046M,B14003_047E,B14003_047M,B14003_048E,B14003_048M,B14003_049E,B14003_049M,B14003_050E,B14003_050M,B14003_051E,B14003_051M,B14003_052E,B14003_052M,B14003_053E,B14003_053M,B14003_054E,B14003_054M,B14003_055E,B14003_055M,B14003_056E,B14003_056M,B14003_057E,B14003_057M,NAME,B14003_001MA,B14003_001EA,B14003_002MA,B14003_002EA,B14003_003MA,B14003_003EA,B14003_004EA,B14003_004MA,B14003_005MA,B14003_005EA,B14003_006MA,B14003_006EA,B14003_007MA,B14003_007EA,B14003_008EA,B14003_008MA,B14003_009MA,B14003_009EA,B14003_010MA,B14003_010EA,B14003_011MA,B14003_011EA,B14003_012MA,B14003_012EA,B14003_013EA,B14003_013MA,B14003_014MA,B14003_014EA,B14003_015MA,B14003_015EA,B14003_016MA,B14003_016EA,B14003_017MA,B14003_017EA,B14003_018EA,B14003_018MA,B14003_019EA,B14003_019MA,B14003_020MA,B14003_020EA,B14003_021MA,B14003_021EA,B14003_022MA,B14003_022EA,B14003_023EA,B14003_023MA,B14003_024EA,B14003_024MA,B14003_025MA,B14003_025EA,B14003_026MA,B14003_026EA,B14003_027MA,B14003_027EA,B14003_028MA,B14003_028EA,B14003_029MA,B14003_029EA,B14003_030MA,B14003_030EA,B14003_031MA,B14003_031EA,B14003_032EA,B14003_032MA,B14003_033EA,B14003_033MA,B14003_034EA,B14003_034MA,B14003_035MA,B14003_035EA,B14003_036MA,B14003_036EA,B14003_037EA,B14003_037MA,B14003_038EA,B14003_038MA,B14003_039EA,B14003_039MA,B14003_040MA,B14003_040EA,B14003_041MA,B14003_041EA,B14003_042MA,B14003_042EA,B14003_043EA,B14003_043MA,B14003_044EA,B14003_044MA,B14003_045MA,B14003_045EA,B14003_046MA,B14003_046EA,B14003_047MA,B14003_047EA,B14003_048EA,B14003_048MA,B14003_049EA,B14003_049MA,B14003_050MA,B14003_050EA,B14003_051MA,B14003_051EA,B14003_052MA,B14003_052EA,B14003_053MA,B14003_053EA,B14003_054EA,B14003_054MA,B14003_055MA,B14003_055EA,B14003_056MA,B14003_056EA,B14003_057MA,B14003_057EA,state
0400000US06,36575440,13562,18170043,10939,4600391,18743,157817,6815,1130340,11917,1185265,12572,747114,4594,369755,6566,544764,9879,283370,7560,181966,6622,718353,13974,110012,4569,122633,5787,104285,5998,60350,3578,46484,3508,100976,5323,100240,5300,73373,4580,12851299,20184,280728,7891,43839,3571,16573,2287,18398,1836,153661,5865,867420,9442,2429517,10171,9041163,9132,18405397,9910,4564197,18436,147801,6573,1081760,11864,1124983,12451,711208,4772,367995,5528,568710,8506,311629,9664,250111,7065,795311,15851,107108,4732,120836,5511,105393,5436,61218,2993,57089,4085,124517,6753,117970,5593,101180,5191,13045889,18801,267354,6922,37082,3067,15621,1728,15598,1930,109962,4521,711007,9392,2231592,11468,9657673,9396,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4989990,4419,2499423,3938,604370,6618,19812,2343,162102,4193,150170,4701,90012,1790,50874,2580,65205,3982,39966,2979,26229,2206,91767,4336,14867,1728,16589,1846,14892,1541,7062,1016,5180,1120,7937,1392,13019,1900,12221,1919,1803286,7351,35936,2534,8858,1607,2995,883,3331,770,21059,1903,115037,4069,341150,4516,1274920,3941,2490567,3924,596143,6958,17369,1646,148900,5068,152314,4749,85825,1922,45344,2709,67632,3558,42617,3026,36142,2677,102766,5189,15858,1895,17141,2109,16368,2074,7459,1341,7259,1777,11522,1444,12980,2157,14179,1509,1791658,6416,35561,2863,6046,1172,1820,749,2428,885,16584,1795,97988,3505,306832,3957,1324399,3655,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3479966,3754,1691291,3008,374495,5641,14887,1705,96296,3551,105874,4069,66725,1597,30354,1869,32000,2696,17821,2184,10538,1683,90129,4298,12840,1817,12044,1837,11483,1452,6878,1083,11904,1420,18555,2264,8815,1408,7610,1105,1226667,5412,13304,1810,3115,936,1940,724,1773,729,13704,1646,68735,2757,189740,2477,934356,2582,1788675,2886,385260,5382,16581,1847,89569,3712,104759,3697,64353,1695,28256,2315,36650,2742,22990,2662,22102,2327,105073,4592,12439,1627,12119,1602,10062,1600,6814,1229,16906,1881,20745,2128,12684,1579,13304,1700,1298342,5782,12638,1625,3059,936,1283,543,1550,513,8084,1650,53710,2879,180559,2988,1037459,3733,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882536,1884,426504,1669,92968,3271,2007,649,23656,2173,24804,2271,15001,736,9089,1211,10594,1719,4840,1195,2977,773,20135,1831,3230,733,3835,982,4179,811,2103,538,1234,580,2174,769,2028,697,1352,485,313401,2856,5022,1166,1133,512,980,567,493,294,3207,957,20746,1560,49890,1564,231930,1120,456032,1698,97795,2869,2991,752,21720,1898,22315,1881,14335,756,10325,1022,13007,1467,6752,1159,6350,1216,25168,2409,2467,652,5184,1281,3935,895,2126,712,1065,450,3881,975,2454,680,4056,922,333069,3236,5912,1296,1515,680,903,556,518,340,2904,924,15334,1669,47884,1550,258099,1842,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608482,1577,287374,1284,42975,2110,4128,833,12062,1387,9000,1452,6267,505,2693,862,3549,1070,3155,889,2121,700,31575,2787,1925,727,2614,810,2777,904,1351,427,4393,1340,9881,1991,5975,1097,2659,839,212824,2580,2174,621,641,368,55,92,328,263,3014,853,14847,1533,55636,1500,136129,1118,321108,1108,49079,2538,4130,815,12332,1358,9185,1285,6663,440,4233,990,3539,825,5087,1185,3910,961,36108,2806,1702,615,2253,782,2499,768,1513,494,7638,1591,9996,1470,6997,1378,3510,840,235921,2872,1102,433,490,319,358,288,62,105,1660,625,17897,1386,62028,1687,152324,1228,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18689114,8594,9124852,8024,1919401,16911,62177,4630,476264,11384,499558,11618,310170,4088,156792,5232,217297,7850,120091,6307,77052,5583,372823,11024,52656,4053,67179,4607,60919,4495,34404,2503,28151,3127,46896,4002,42874,3813,39744,3439,6832628,15894,114506,4972,25111,3354,8977,1653,11536,2071,69964,4303,407912,7804,1035511,7321,5159111,8680,9564262,8927,1971053,17592,54376,4830,447962,10354,483442,10490,302795,4252,160633,4932,256807,8282,141867,6562,123171,5929,424731,12981,52875,4407,71553,4947,58928,4630,30590,2823,26232,2442,61931,4959,54072,4506,68550,4739,7168478,16703,105301,5598,23176,2572,7597,2039,10467,1896,51439,3624,328794,7937,986602,7881,5655102,8161,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9540591,7214,4656643,7601,1168735,13769,44237,3603,318448,8239,320562,7977,182678,4162,91550,4740,109865,5683,57721,5106,43674,3902,194597,8419,28652,2329,34466,3126,33179,2992,19621,2436,13647,2133,22802,3028,19949,2750,22281,2874,3293311,12024,74623,3890,13092,1922,5715,1581,6438,1447,52409,3253,233537,6838,590677,7287,2316820,6574,4883948,7224,1215414,14216,41183,3712,292252,7513,319242,7329,173939,4098,92385,4582,131968,5353,82371,5400,82074,4597,219098,8586,30792,2730,34895,3134,31802,3357,16439,1847,15496,1787,28170,3504,24918,2583,36586,3611,3449436,14387,72264,4558,9604,1943,5467,1254,6803,1450,39264,3320,189267,6373,574265,8052,2552502,6988,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1340261,2178,674887,1805,131465,3621,4916,1094,36564,2085,31678,1912,18968,1082,8251,1315,13545,1624,8986,1266,8557,1454,38655,2926,5418,995,6120,1027,8790,1284,4346,788,1686,670,4372,986,3851,1026,4072,905,504767,3283,9110,1271,1472,654,647,315,992,466,8530,1380,39092,2008,93086,1544,351838,1860,665374,1899,126986,3184,3397,900,31627,2040,31901,2471,17780,1038,8056,1031,14031,1556,10519,1581,9675,1368,38965,3107,5683,1163,6281,1275,8621,1251,5166,903,2153,522,4040,1008,3130,724,3891,856,499423,3035,8437,1298,1410,656,570,287,935,488,5349,934,28046,1775,79736,1813,374940,1774,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1529311,2426,765110,3376,198408,3973,2807,863,52668,3602,60968,3253,30167,1480,13531,1443,15155,1813,15004,2000,8108,1579,27283,3305,3838,1103,5699,1485,2568,877,2149,701,1057,484,5940,1458,4090,843,1942,755,539419,4377,17822,1995,3101,868,675,353,1375,583,8835,1485,35568,2710,89034,2777,383009,1976,764201,3281,196489,5225,4224,1146,47249,2891,55714,3097,32387,1764,11620,1489,15958,2172,13688,1832,15649,2442,32184,3141,4641,1073,5564,1333,2937,738,1729,672,3717,824,6389,1282,2454,721,4753,1215,535528,4458,13987,1661,4275,1022,1053,541,738,341,6489,1389,33931,2445,86159,2623,388896,3095,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12403972,7323,6078195,6392,1411598,10820,61702,4029,352676,7743,393905,8609,241698,3056,111488,3184,137204,5133,69036,3808,43889,3408,302744,9212,35095,3062,56947,3241,46833,3046,22118,1868,27868,2072,52397,4168,38565,3175,22921,2538,4363853,11741,80171,4600,17240,2175,7563,1498,9364,1701,47708,3075,263544,5547,786991,6383,3151272,5439,6325777,6371,1421582,10780,53071,3563,344238,6758,375513,6894,230673,2820,113106,4397,141704,5495,87783,4742,75494,3598,342178,8717,34025,2799,57071,3517,45279,3289,23183,1786,31402,2446,62655,3859,50545,3351,38018,2448,4562017,10823,78680,4003,14088,2247,5229,1230,5406,1061,29210,2637,235023,6294,749168,5390,3445213,5399,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
