GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001EA,C15002I_001MA,C15002I_002EA,C15002I_002MA,C15002I_003MA,C15002I_003EA,C15002I_004MA,C15002I_004EA,C15002I_005MA,C15002I_005EA,C15002I_006EA,C15002I_006MA,C15002I_007EA,C15002I_007MA,C15002I_008MA,C15002I_008EA,C15002I_009MA,C15002I_009EA,C15002I_010MA,C15002I_010EA,C15002I_011MA,C15002I_011EA,state
0400000US06,7905528,1580,3946544,1448,1638102,16740,1000200,14933,911408,14272,396834,10685,3958984,1006,1566971,15220,919625,11778,997193,13452,475195,10539,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,575388,2173,291986,1898,98801,4038,87353,4359,72409,4110,33423,2631,283402,1604,84869,4160,75024,3807,83578,4271,39931,2657,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,279596,1235,136401,1144,40375,3203,44940,3435,28183,3076,22903,2411,143195,785,39043,2683,42223,3186,36477,2706,25452,2236,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40068,853,20907,759,7483,1366,6265,1223,3664,864,3495,901,19161,535,5289,1158,5160,1162,5725,1085,2987,813,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,39716,-555555555,20573,-555555555,6147,1382,4173,1016,2706,725,7547,1290,19143,-555555555,6089,969,3575,991,2759,868,6720,1150,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,2854264,2882,1380279,2709,346940,12114,416769,11917,333668,11660,282902,8874,1473985,2345,325362,9897,416070,10854,402496,11696,330057,9723,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,461851,4553,250375,3659,107597,5466,70350,4831,41978,3927,30450,2848,211476,3063,83683,4612,51380,4034,43850,3577,32563,3336,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,66395,588,33810,539,3909,1064,12992,1789,11430,1295,5479,1031,32585,249,3808,1001,9082,1370,11886,1533,7809,1353,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,87136,2366,46652,1654,20901,2140,11828,1707,11034,2044,2889,915,40484,1576,13399,1799,11308,1721,11240,1884,4537,1122,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1122220,2766,580054,2230,232046,6229,171009,6264,112709,4783,64290,3728,542166,1772,199645,6000,144195,5804,119957,4776,78369,3704,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
