GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001EA,B08503_001MA,B08503_002EA,B08503_002MA,B08503_003MA,B08503_003EA,B08503_004EA,B08503_004MA,B08503_005MA,B08503_005EA,B08503_006EA,B08503_006MA,B08503_007EA,B08503_007MA,state
0400000US06,41.2,0.2,41.6,0.1,39.3,0.3,37.5,0.4,33.0,0.8,37.0,0.8,47.7,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41.4,0.2,41.9,0.2,37.3,0.8,36.8,1.9,30.4,1.2,35.7,1.4,47.6,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.4,0.2,45.3,0.2,38.2,1.3,37.4,1.8,27.5,1.9,35.9,3.6,50.2,0.9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,43.5,0.6,44.0,0.6,40.3,1.8,39.3,2.8,25.9,3.6,41.5,9.3,47.5,3.3,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41.7,0.4,44.3,0.5,43.6,1.2,39.3,0.8,30.7,0.7,35.4,2.8,41.8,3.5,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,42.9,0.2,43.2,0.2,39.8,0.6,37.9,1.7,36.1,1.2,39.9,1.0,48.7,0.5,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.6,0.2,42.0,0.2,37.9,0.6,37.3,2.0,29.2,1.9,37.0,2.5,45.5,0.8,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,41.9,0.4,42.2,0.5,42.0,1.1,41.8,2.8,32.8,2.1,39.1,2.0,45.5,3.5,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,41.0,0.5,41.2,0.5,38.8,1.5,43.2,6.1,35.1,4.5,37.8,3.7,46.2,2.8,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42.0,0.1,42.9,0.2,38.9,0.5,37.6,0.6,32.0,0.8,38.8,1.2,47.0,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42.3,0.2,42.9,0.2,38.0,0.9,38.9,3.7,29.9,2.5,36.1,2.2,47.4,1.0,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42.2,0.2,42.8,0.3,38.3,0.9,35.4,4.0,31.8,2.1,39.8,2.3,48.4,1.1,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42.1,0.2,42.5,0.2,36.7,1.0,36.5,3.7,31.0,2.8,41.1,2.8,47.4,1.6,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41.8,0.2,42.3,0.3,38.1,1.0,37.4,2.1,29.3,2.1,38.0,3.4,48.3,1.1,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41.5,0.3,41.9,0.3,38.1,1.1,35.7,2.7,36.6,2.1,38.1,3.6,49.2,0.8,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,45.2,0.3,45.9,0.4,41.1,1.0,43.1,10.3,28.4,1.8,38.4,3.6,51.8,1.1,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42.8,0.2,43.7,0.2,38.7,0.8,35.4,0.8,30.3,1.5,35.4,2.4,48.8,0.7,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,43.1,0.1,44.8,0.2,39.1,0.8,35.2,0.6,29.4,0.9,35.8,1.5,48.6,0.7,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,42.9,0.1,43.4,0.2,39.6,0.6,35.5,1.7,28.1,0.8,36.1,1.9,48.1,0.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42.3,0.2,42.7,0.2,39.1,0.6,38.3,1.1,33.9,1.2,36.1,1.5,47.2,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,42.1,0.3,42.4,0.3,38.7,1.1,46.7,4.0,35.7,5.8,43.9,1.9,47.7,2.1,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,42.2,0.2,42.5,0.3,39.8,0.9,38.9,1.9,32.8,2.0,39.6,2.2,46.0,0.8,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,43.3,0.4,44.0,0.5,37.9,2.3,31.4,1.6,41.4,2.7,36.3,3.5,49.2,1.7,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,42.0,0.2,42.2,0.3,37.8,1.0,41.7,10.4,36.1,3.8,37.1,2.8,50.6,0.7,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,41.3,0.3,41.5,0.3,38.8,0.9,39.4,2.3,38.2,4.6,41.4,1.8,48.4,2.0,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,45.2,0.3,45.6,0.4,41.5,2.2,48.8,7.9,26.9,2.4,41.3,4.5,49.5,1.5,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
