GEO_ID,B27001F_001E,B27001F_001M,B27001F_002E,B27001F_002M,B27001F_003E,B27001F_003M,B27001F_004E,B27001F_004M,B27001F_005E,B27001F_005M,B27001F_006E,B27001F_006M,B27001F_007E,B27001F_007M,B27001F_008E,B27001F_008M,B27001F_009E,B27001F_009M,B27001F_010E,B27001F_010M,B27001F_011E,B27001F_011M,B27001F_012E,B27001F_012M,B27001F_013E,B27001F_013M,B27001F_014E,B27001F_014M,B27001F_015E,B27001F_015M,B27001F_016E,B27001F_016M,B27001F_017E,B27001F_017M,B27001F_018E,B27001F_018M,B27001F_019E,B27001F_019M,B27001F_020E,B27001F_020M,B27001F_021E,B27001F_021M,B27001F_022E,B27001F_022M,B27001F_023E,B27001F_023M,B27001F_024E,B27001F_024M,B27001F_025E,B27001F_025M,B27001F_026E,B27001F_026M,B27001F_027E,B27001F_027M,B27001F_028E,B27001F_028M,NAME,B27001F_001EA,B27001F_001MA,B27001F_002MA,B27001F_002EA,B27001F_003MA,B27001F_003EA,B27001F_004EA,B27001F_004MA,B27001F_005EA,B27001F_005MA,B27001F_006EA,B27001F_006MA,B27001F_007EA,B27001F_007MA,B27001F_008MA,B27001F_008EA,B27001F_009MA,B27001F_009EA,B27001F_010EA,B27001F_010MA,B27001F_011EA,B27001F_011MA,B27001F_012EA,B27001F_012MA,B27001F_013MA,B27001F_013EA,B27001F_014MA,B27001F_014EA,B27001F_015EA,B27001F_015MA,B27001F_016EA,B27001F_016MA,B27001F_017EA,B27001F_017MA,B27001F_018EA,B27001F_018MA,B27001F_019MA,B27001F_019EA,B27001F_020MA,B27001F_020EA,B27001F_021EA,B27001F_021MA,B27001F_022EA,B27001F_022MA,B27001F_023EA,B27001F_023MA,B27001F_024MA,B27001F_024EA,B27001F_025MA,B27001F_025EA,B27001F_026EA,B27001F_026MA,B27001F_027EA,B27001F_027MA,B27001F_028EA,B27001F_028MA,state
0400000US06,4859487,55756,527053,11474,488256,12221,38797,3660,1019563,23024,876327,22344,143236,8848,649505,12216,364835,11284,284670,9184,824947,13444,447860,12542,377087,9972,739250,13795,422186,10700,317064,10087,557253,10625,333986,9075,223267,8021,324122,7308,206037,6808,118085,5365,132885,5705,120976,5327,11909,2408,84909,4140,81095,3984,3814,979,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,216596,13074,21540,3187,19320,3336,2220,934,46793,4475,34566,4292,12227,2554,25500,3245,13652,2073,11848,2114,36374,3756,17589,2524,18785,2448,34077,3135,18111,2132,15966,2700,25931,2949,15303,2573,10628,1918,15587,1915,12417,1840,3170,965,7525,1339,7404,1329,121,114,3269,657,3269,657,0,189,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,157628,10858,13400,2342,12553,2149,847,601,33690,4105,31560,3973,2130,841,18605,2451,10769,1781,7836,1617,29640,3242,17358,2491,12282,2252,27765,3111,17927,2357,9838,2417,19831,2713,11995,2237,7836,1768,8290,1447,5828,1231,2462,784,5361,1098,5231,1100,130,213,1046,394,1046,394,0,193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22976,4012,2347,878,2080,907,267,326,4918,1244,4475,1236,443,438,3026,1159,1878,991,1148,685,4133,1280,1391,527,2742,1178,4218,1446,3083,1359,1135,807,2719,994,2046,914,673,478,689,366,403,271,286,260,584,569,538,562,46,80,342,263,166,153,176,247,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28232,4279,3457,1000,3212,1072,245,313,3310,923,3088,841,222,346,4015,783,3475,850,540,366,6612,1559,5072,1238,1540,863,5756,1201,4356,978,1400,599,2587,949,1978,858,609,476,1851,638,1642,631,209,200,597,524,597,524,0,197,47,83,47,83,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,453707,22955,42233,4786,38461,4600,3772,1128,84162,7246,66809,7243,17353,2630,63866,5580,32636,4226,31230,4458,75305,5797,34897,4271,40408,4576,70991,6071,37194,4142,33797,4502,59992,5189,33176,3662,26816,3351,36030,3929,21915,3052,14115,2509,13918,2317,13198,2250,720,497,7210,1427,6934,1409,276,271,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,291028,14394,39167,4449,32675,3613,6492,2005,68707,6302,50232,5607,18475,3145,33022,4126,13708,2526,19314,2983,62267,4282,21926,3195,40341,4018,47639,4723,19738,3470,27901,4024,25778,2841,14123,2221,11655,2346,9618,1769,4441,1312,5177,1560,3424,1070,2627,984,797,476,1406,727,871,598,535,581,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13958,2531,1670,607,1670,607,0,177,1735,890,1649,857,86,137,1643,743,1403,711,240,320,3105,932,2737,1048,368,395,2607,977,2044,767,563,688,1282,470,844,427,438,362,1319,446,1005,363,314,286,427,341,427,341,0,177,170,149,170,149,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45905,6392,5462,1376,5219,1422,243,233,11312,2516,9507,2393,1805,946,6705,1823,2334,911,4371,1631,7109,1692,3026,1224,4083,1148,7477,1554,2685,949,4792,1373,4432,1090,2184,938,2248,748,2142,816,964,498,1178,591,786,404,786,404,0,187,480,338,480,338,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,727359,24729,81083,5653,78951,5853,2132,1223,164626,8344,156259,7860,8367,2578,80026,4929,43837,3840,36189,3883,133213,7276,66363,5623,66850,5350,122954,5713,69374,4706,53580,4665,78931,4805,51299,4082,27632,3055,42006,2963,28853,3084,13153,2232,15322,1791,14435,1758,887,571,9198,1480,8846,1444,352,314,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
