GEO_ID,C15002C_001E,C15002C_001M,C15002C_002E,C15002C_002M,C15002C_003E,C15002C_003M,C15002C_004E,C15002C_004M,C15002C_005E,C15002C_005M,C15002C_006E,C15002C_006M,C15002C_007E,C15002C_007M,C15002C_008E,C15002C_008M,C15002C_009E,C15002C_009M,C15002C_010E,C15002C_010M,C15002C_011E,C15002C_011M,NAME,C15002C_001EA,C15002C_001MA,C15002C_002MA,C15002C_002EA,C15002C_003MA,C15002C_003EA,C15002C_004EA,C15002C_004MA,C15002C_005EA,C15002C_005MA,C15002C_006EA,C15002C_006MA,C15002C_007MA,C15002C_007EA,C15002C_008MA,C15002C_008EA,C15002C_009EA,C15002C_009MA,C15002C_010EA,C15002C_010MA,C15002C_011EA,C15002C_011MA,state
0400000US06,181610,7139,88509,4700,22987,2476,26065,2392,27717,2505,11740,1487,93101,3919,20248,2177,23103,2117,35703,2375,14047,1761,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29823,2530,16540,2000,3503,963,5287,1227,5165,1171,2585,797,13283,1168,2369,653,3256,662,5300,808,2358,647,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,6543,1309,3743,967,810,480,1077,481,1581,702,275,207,2800,662,552,337,678,382,1017,499,553,258,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2177,428,1172,439,114,120,415,352,474,332,169,173,1005,427,74,67,562,415,290,248,79,83,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1588,627,779,423,40,69,231,226,309,250,199,200,809,535,108,114,108,187,471,366,122,118,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,33914,2983,17988,2234,2939,964,5136,1349,6214,1158,3699,1184,15926,1973,2546,949,4729,1097,5780,1203,2871,879,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,14167,1749,7826,1280,1658,672,2364,822,2083,633,1721,639,6341,1288,1220,595,1736,857,1992,684,1393,536,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,2267,660,1298,623,10,21,205,197,860,556,223,144,969,392,329,330,127,101,341,221,172,128,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,12083,1510,6185,1164,1378,613,1724,583,2517,671,566,290,5898,833,738,366,1774,448,2258,568,1128,381,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,17077,2283,7807,1237,2073,644,1922,458,2883,780,929,388,9270,1445,2047,635,2122,641,3671,840,1430,543,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,10594,1693,5007,1069,1359,563,1996,658,1234,446,418,238,5587,1000,1545,581,1702,545,1779,595,561,301,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,4674,940,2363,505,418,260,959,313,897,384,89,87,2311,838,413,411,836,440,902,411,160,140,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,14389,1583,7293,986,580,319,2300,526,3167,636,1246,431,7096,1122,1044,446,1478,426,3449,865,1125,365,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,5209,1225,2792,857,676,439,770,374,895,561,451,258,2417,678,457,371,978,460,757,384,225,185,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,17179,2190,9007,1844,4012,1236,3001,832,1388,535,606,424,8172,1060,2235,662,2703,610,1923,556,1311,471,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
