B20005_039E,B20005_039M,B20005_040E,B20005_040M,B20005_041E,B20005_041M,B20005_042E,B20005_042M,B20005_043E,B20005_043M,B20005_044E,B20005_044M,B20005_045E,B20005_045M,B20005_046E,B20005_046M,B20005_047E,B20005_047M,B20005_048E,B20005_048M,B20005_049E,B20005_049M,B20005_050E,B20005_050M,B20005_051E,B20005_051M,B20005_052E,B20005_052M,B20005_053E,B20005_053M,B20005_054E,B20005_054M,B20005_055E,B20005_055M,B20005_056E,B20005_056M,B20005_057E,B20005_057M,B20005_058E,B20005_058M,B20005_059E,B20005_059M,B20005_060E,B20005_060M,B20005_061E,B20005_061M,B20005_062E,B20005_062M,B20005_063E,B20005_063M,B20005_064E,B20005_064M,B20005_065E,B20005_065M,B20005_066E,B20005_066M,B20005_067E,B20005_067M,B20005_068E,B20005_068M,B20005_069E,B20005_069M,B20005_070E,B20005_070M,B20005_071E,B20005_071M,B20005_072E,B20005_072M,B20005_073E,B20005_073M,B20005_074E,B20005_074M,B20005_075E,B20005_075M,B20005_076E,B20005_076M,B20005_077E,B20005_077M,B20005_078E,B20005_078M,B20005_079E,B20005_079M,B20005_080E,B20005_080M,B20005_081E,B20005_081M,B20005_082E,B20005_082M,B20005_083E,B20005_083M,B20005_084E,B20005_084M,B20005_085E,B20005_085M,B20005_086E,B20005_086M,B20005_087E,B20005_087M,B20005_088E,B20005_088M,B20005_089E,B20005_089M,B20005_090E,B20005_090M,B20005_091E,B20005_091M,B20005_092E,B20005_092M,B20005_093E,B20005_093M,B20005_094E,B20005_094M,B20005_095E,B20005_095M,GEO_ID,B20005_001E,B20005_001M,B20005_002E,B20005_002M,B20005_003E,B20005_003M,B20005_004E,B20005_004M,B20005_005E,B20005_005M,B20005_006E,B20005_006M,B20005_007E,B20005_007M,B20005_008E,B20005_008M,B20005_009E,B20005_009M,B20005_010E,B20005_010M,B20005_011E,B20005_011M,B20005_012E,B20005_012M,B20005_013E,B20005_013M,B20005_014E,B20005_014M,B20005_015E,B20005_015M,B20005_016E,B20005_016M,B20005_017E,B20005_017M,B20005_018E,B20005_018M,B20005_019E,B20005_019M,B20005_020E,B20005_020M,B20005_021E,B20005_021M,B20005_022E,B20005_022M,B20005_023E,B20005_023M,B20005_024E,B20005_024M,B20005_025E,B20005_025M,B20005_026E,B20005_026M,B20005_027E,B20005_027M,B20005_028E,B20005_028M,B20005_029E,B20005_029M,B20005_030E,B20005_030M,B20005_031E,B20005_031M,B20005_032E,B20005_032M,B20005_033E,B20005_033M,B20005_034E,B20005_034M,B20005_035E,B20005_035M,B20005_036E,B20005_036M,B20005_037E,B20005_037M,B20005_038E,B20005_038M,B20005_039MA,B20005_039EA,B20005_040MA,B20005_040EA,B20005_041EA,B20005_041MA,B20005_042EA,B20005_042MA,B20005_043EA,B20005_043MA,B20005_044MA,B20005_044EA,B20005_045MA,B20005_045EA,B20005_046EA,B20005_046MA,B20005_047EA,B20005_047MA,B20005_048EA,B20005_048MA,B20005_049MA,B20005_049EA,B20005_050MA,B20005_050EA,B20005_051MA,B20005_051EA,B20005_052EA,B20005_052MA,B20005_053EA,B20005_053MA,B20005_054EA,B20005_054MA,B20005_055EA,B20005_055MA,B20005_056EA,B20005_056MA,B20005_057MA,B20005_057EA,B20005_058MA,B20005_058EA,B20005_059MA,B20005_059EA,B20005_060EA,B20005_060MA,B20005_061EA,B20005_061MA,B20005_062EA,B20005_062MA,B20005_063MA,B20005_063EA,B20005_064MA,B20005_064EA,B20005_065EA,B20005_065MA,B20005_066EA,B20005_066MA,B20005_067EA,B20005_067MA,B20005_068MA,B20005_068EA,B20005_069MA,B20005_069EA,B20005_070MA,B20005_070EA,B20005_071EA,B20005_071MA,B20005_072EA,B20005_072MA,B20005_073EA,B20005_073MA,B20005_074MA,B20005_074EA,B20005_075MA,B20005_075EA,B20005_076EA,B20005_076MA,B20005_077EA,B20005_077MA,B20005_078EA,B20005_078MA,B20005_079MA,B20005_079EA,B20005_080MA,B20005_080EA,B20005_081EA,B20005_081MA,B20005_082EA,B20005_082MA,B20005_083EA,B20005_083MA,B20005_084MA,B20005_084EA,B20005_085MA,B20005_085EA,B20005_086EA,B20005_086MA,B20005_087EA,B20005_087MA,B20005_088EA,B20005_088MA,B20005_089MA,B20005_089EA,B20005_090MA,B20005_090EA,B20005_091EA,B20005_091MA,B20005_092EA,B20005_092MA,B20005_093EA,B20005_093MA,B20005_094MA,B20005_094EA,B20005_095MA,B20005_095EA,NAME,B20005_001MA,B20005_001EA,B20005_002MA,B20005_002EA,B20005_003MA,B20005_003EA,B20005_004MA,B20005_004EA,B20005_005EA,B20005_005MA,B20005_006EA,B20005_006MA,B20005_007EA,B20005_007MA,B20005_008MA,B20005_008EA,B20005_009MA,B20005_009EA,B20005_010EA,B20005_010MA,B20005_011EA,B20005_011MA,B20005_012EA,B20005_012MA,B20005_013MA,B20005_013EA,B20005_014MA,B20005_014EA,B20005_015MA,B20005_015EA,B20005_016EA,B20005_016MA,B20005_017EA,B20005_017MA,B20005_018EA,B20005_018MA,B20005_019MA,B20005_019EA,B20005_020MA,B20005_020EA,B20005_021EA,B20005_021MA,B20005_022EA,B20005_022MA,B20005_023EA,B20005_023MA,B20005_024MA,B20005_024EA,B20005_025MA,B20005_025EA,B20005_026EA,B20005_026MA,B20005_027EA,B20005_027MA,B20005_028EA,B20005_028MA,B20005_029MA,B20005_029EA,B20005_030MA,B20005_030EA,B20005_031EA,B20005_031MA,B20005_032EA,B20005_032MA,B20005_033EA,B20005_033MA,B20005_034MA,B20005_034EA,B20005_035MA,B20005_035EA,B20005_036EA,B20005_036MA,B20005_037EA,B20005_037MA,B20005_038EA,B20005_038MA,state
156412,6742,138686,6122,86455,4496,93254,4280,51622,2771,63172,4099,80351,4392,54881,3870,85924,4350,120878,5226,15131954,8194,4602090,24176,275,176,4601815,24192,11199,1879,12188,1667,42865,3420,52413,4095,133480,5797,99155,4527,182585,7378,146007,7162,248503,7880,168908,7184,334924,7637,369234,10077,307323,10556,336317,9508,254243,7175,279331,8068,373572,7594,295240,7674,452239,9631,502089,10911,10529864,23302,6490265,31659,4039599,29793,632390,12541,439626,9865,452280,11652,331747,10233,440272,9760,197129,7012,231836,7862,127516,5617,191080,7342,92794,5213,159864,6888,145845,6239,90675,4833,84131,4666,49860,3335,64898,3650,77436,4121,68376,4393,92485,5193,69359,4025,0400000US06,29884983,9480,14753029,7078,6670589,30800,228,176,6670361,30784,16462,2028,12597,1787,43751,3560,45346,3946,150806,6948,115235,7023,234141,9677,193787,8932,320731,9900,211870,6773,421464,11010,465081,10583,372854,11063,418057,10063,296383,10017,386461,11109,527368,13140,417698,9640,719148,12007,1301121,15911,8082440,30568,4547454,25030,3534986,24516,517985,10545,332960,9224,357927,9701,262067,7790,373272,9457,167195,8155,213236,7371,112501,5904,182949,7212,83259,4663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
23800,2179,22288,2363,12934,1903,13590,2007,6549,1108,10621,1611,8415,1531,5250,1033,9591,1456,16014,1813,2047400,3629,737285,10028,81,135,737204,10016,1877,673,1746,591,5186,1079,8153,1485,25387,2778,13306,1679,25434,2632,19049,2578,34737,2530,25525,2377,58052,4141,73261,3877,69801,4838,59619,4199,45809,3268,50341,3272,64097,4094,45509,3011,55825,3484,54490,3075,1310115,11307,705474,10561,604641,10342,111115,5017,73521,4027,65835,4178,47515,3616,62888,4122,26639,2738,31530,2589,17497,1984,30508,2549,14504,2044,29698,2752,22905,2292,14427,1752,11366,1659,7939,1236,9420,1853,9289,1220,6221,1035,6370,1231,5454,1093,0400000US08,4085464,3556,2038064,3059,1047840,11252,200,177,1047640,11258,2653,685,1884,582,7930,1442,6127,1452,25752,2832,9981,2038,23491,2467,23213,2728,42826,3013,29034,2926,63416,3708,77727,4533,67872,3831,74439,4410,57073,4069,66870,4113,94206,4295,73524,5093,121550,4626,178072,5462,990224,11623,471709,8148,518515,11014,88183,4740,60412,3577,48748,3322,37597,3295,47623,3343,22255,2545,27227,3290,16182,1676,31087,3097,10149,1761,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
14829,1748,14065,1956,9230,1524,9690,1566,4940,1054,7826,1350,7676,1230,5383,1024,8533,1327,12493,1358,1501203,2421,513501,7254,155,197,513346,7266,980,424,1811,670,2975,743,2925,1042,6842,1243,6696,1469,10134,1527,10358,1291,20035,1995,12663,1814,39661,3647,40800,3181,37591,3210,44946,3320,26957,2372,40358,3548,48553,3143,39746,2719,62844,3629,56471,3366,987702,8066,538696,7826,449006,7032,65727,3360,49272,3134,42669,4305,30737,2990,44689,3347,21241,2173,26879,2651,15367,1721,28140,2676,11203,1615,22218,2084,18528,1968,11790,1762,12052,1708,6848,1144,8665,1468,9642,1403,7987,1227,10034,1349,5318,848,0400000US09,2893530,2554,1392327,2660,680818,8355,51,85,680767,8347,1475,507,1086,432,2151,717,2999,958,7031,1382,4585,1306,9083,1754,8812,1652,22293,2720,12731,1734,29722,3058,40079,3398,35204,3394,41520,3896,32774,3461,48044,3282,65607,3872,51207,3607,97112,4731,167252,5754,711509,9122,378941,7342,332568,7663,55811,3072,34307,2857,29927,2557,22837,2515,30318,2666,15225,2260,15332,1760,9268,1729,16709,2074,8169,1398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2995,1101,4063,1226,1852,683,2442,792,482,229,910,410,1500,581,829,689,1485,710,1781,569,382869,962,139358,3714,0,182,139358,3714,421,342,159,180,744,408,445,271,3399,882,2521,871,3298,877,2820,814,7732,1537,4255,919,12759,1888,12750,1745,13793,1831,14129,1839,8944,1510,8641,1462,11084,1595,11109,1517,11745,1468,8610,1079,243511,3761,141696,4019,101815,4297,18452,2139,11152,1810,12983,1714,7672,1360,10827,1622,4619,1156,7743,1434,2617,800,4221,853,3095,901,3296,714,3196,950,2255,637,1750,531,1504,479,2000,551,1622,585,831,296,1214,520,766,381,0400000US10,734481,1457,351612,1207,163254,4297,0,182,163254,4297,172,167,124,141,1496,711,1542,668,2648,859,2820,980,4432,1380,2261,718,6721,1370,3803,1076,10352,2090,9988,1722,9028,1619,12397,1850,10749,1925,14635,2137,17316,1961,11848,1623,18537,1896,22385,1961,188358,4254,107498,3405,80860,4181,14564,1594,10114,1578,9164,1635,5414,1171,7848,1344,2282,581,4934,1251,1846,665,4186,1245,2169,728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2209,890,3313,968,1375,680,894,441,2065,748,797,437,975,491,704,336,1346,530,2944,854,284196,747,123039,3873,0,197,123039,3873,188,201,691,407,295,179,963,456,1825,528,628,330,1268,601,2208,806,3448,998,1412,556,5897,1351,5769,1086,6947,1381,9128,1463,6438,1240,7433,1501,14412,2060,9142,1286,18369,2128,26578,1724,161157,4022,90657,3838,70500,3984,14996,2004,7892,1329,4656,1181,4333,1101,6580,1367,2608,763,3828,919,1380,532,2599,769,2091,696,2823,826,3309,943,1901,723,1778,568,886,369,2151,823,1594,532,1193,437,1445,511,2457,762,0400000US11,533647,871,249451,610,125614,3866,0,197,125614,3866,183,173,146,184,435,282,864,529,2064,808,853,420,2845,992,1109,573,3836,869,1605,672,4823,957,7705,1420,5751,1146,6772,1672,5522,1207,5644,1287,10730,1577,7403,1161,17122,1933,40202,2612,123837,3978,67827,3838,56010,3614,13781,1685,5611,1307,3954,992,2258,644,3933,909,1636,641,3374,885,1094,464,2455,722,1292,583,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
68000,4833,56982,3828,40717,3597,33794,3722,16805,2118,20997,2843,23462,2530,15288,2050,22655,2365,42934,3144,8145450,6716,2598254,19734,178,161,2598076,19764,6875,1241,4368,1099,23953,2623,29424,3646,83963,6018,72097,5660,139548,8108,102533,6099,188270,6806,113515,5645,279402,8298,282872,10284,237146,7845,209729,8633,136017,6524,142931,6251,168010,6875,113954,5852,147597,5961,115872,5630,5547196,21121,3681691,20999,1865505,19958,292747,8803,210164,8248,226318,8186,171138,7423,218471,7628,103988,5376,125905,6586,62663,4330,90421,5943,39827,3141,69987,5280,59876,4204,43351,3135,37130,3312,22484,1968,21977,2638,24852,2379,15202,1929,15647,2356,13357,2120,0400000US12,15784363,7462,7638913,5694,3203869,20802,100,115,3203769,20797,7551,1390,6202,1482,23599,2565,23817,2306,86888,5862,68794,5886,126315,6257,102432,6831,193697,7907,111783,5701,269505,11016,284940,8968,228323,8870,249062,8037,162856,8632,192211,7070,238811,8437,167770,6596,261424,8933,397789,10282,4435044,21364,2796173,22157,1638871,16918,257050,8548,176668,7629,176767,7680,132620,7626,193566,8151,85854,4893,108420,6351,54865,5118,79504,4923,31923,2957,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
30774,3356,26060,2208,17932,2219,13521,1860,8636,1523,12007,1583,13086,1795,8304,1851,10956,1725,16883,2000,3978453,5075,1361209,17011,111,135,1361098,17001,2359,1038,3140,855,16732,2265,17127,2451,51127,4003,39067,3555,69478,5266,47660,3957,91457,6512,53978,3699,138704,6972,137041,6983,101476,5619,103653,6671,72628,3720,81138,4936,103051,5243,74138,4841,85243,5165,71901,4256,2617244,17405,1688486,17615,928758,14222,175286,7835,114744,5887,113209,6073,81878,5184,109801,5675,50864,4190,50596,4515,23702,2309,33927,3023,17303,1989,35713,3690,25292,2973,18152,2337,18466,2577,11504,1701,11754,1793,15666,2025,8951,1787,6530,1312,5420,1124,0400000US13,7692523,6384,3714070,5597,1748254,15630,0,208,1748254,15630,5489,1214,2574,914,10984,1736,13871,2240,35607,2994,27623,3336,66394,5003,44705,4112,95168,6516,55201,4264,140856,7574,140496,6719,124404,6257,126087,6060,93219,5279,114334,6189,138111,6179,103570,5057,155978,6770,253583,8126,1965816,17115,1182867,15381,782949,14119,141097,7045,93529,5596,95480,5367,60679,4173,74081,4652,35328,4147,48976,3992,23653,2851,33687,3035,18280,2378,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
5924,1262,7206,1516,3501,813,4326,821,3004,923,1986,752,3233,1064,2069,727,2225,634,2697,678,559817,1050,203723,4578,0,177,203723,4578,473,288,516,263,1736,691,1843,640,6565,1330,4763,1046,4521,968,5654,1030,10780,1597,9402,1306,18585,1855,21155,2288,21069,1961,17626,2013,12146,1604,14666,1794,16653,1877,10050,1513,13997,1613,11523,1369,356094,4651,216902,4617,139192,4494,20519,1979,13547,1566,14400,1568,11798,1506,15322,2310,6177,1364,8288,1199,5796,1247,7797,1276,4120,834,6871,1444,5801,1254,2616,742,4790,1215,2242,678,2418,618,2741,734,1326,526,1667,693,956,372,0400000US15,1122846,1678,563029,1476,279662,5555,118,147,279544,5555,692,361,469,341,2407,744,2839,824,5211,1165,4354,1168,6512,1250,8589,1714,13633,1962,11923,1900,18848,2017,21295,2165,20141,2215,19916,1855,16463,2087,18617,1913,26952,2705,20770,2255,32020,2522,27893,2239,283367,5379,158522,4279,124845,5192,18814,2476,11371,1729,13059,1871,9426,1389,10359,1429,5716,1155,7405,1466,4216,958,5570,1013,2738,701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
5445,1174,5621,1415,4335,944,3841,854,1820,781,1893,704,2601,625,1556,615,1799,599,3141,797,612444,2468,183138,5944,66,111,183072,5948,446,235,980,474,2610,792,2647,866,8270,1626,7349,1506,7639,1677,8251,1548,14768,2034,10112,1570,20762,2041,20524,2223,14410,2140,13783,2002,9116,1544,10816,1836,11882,2070,6068,1500,8834,1699,3805,1005,429306,6444,232918,5959,196388,7145,43372,3780,23835,2271,22913,2056,17570,2267,21426,2749,10623,1951,13504,2177,6517,1096,8386,1741,3271,867,7533,1611,5171,1206,3140,835,1907,628,1636,792,1624,633,1792,648,385,285,1320,767,463,293,0400000US16,1216830,2078,604386,2357,275532,5688,0,187,275532,5688,675,312,654,367,1814,597,1552,618,7402,1426,3217,819,10338,1888,5537,1251,15319,2566,10709,1865,22345,2642,27087,2805,20363,2164,20655,1888,14576,1952,20616,2628,26267,2520,16845,1865,22464,2226,27097,2274,328854,5740,165570,4266,163284,5690,28816,3185,22359,2569,17454,1862,14239,1750,13573,1587,6587,1390,9882,1831,4931,1099,10308,1758,3083,764,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
46569,3541,42905,3201,25740,2608,31935,2513,16832,1751,19548,1991,22565,1990,15421,2012,21504,2123,26350,2838,5234912,4426,1831095,15466,205,205,1830890,15459,1811,555,3015,678,16019,1861,11828,1356,42700,3276,37703,3295,74851,3865,56833,3812,113307,5253,65880,3396,161061,5672,178121,6822,139395,5947,143374,6137,105082,5140,120381,4872,156510,5447,114096,4827,151900,5783,137023,5116,3403817,15873,2006726,14825,1397091,15383,249036,7091,165441,5403,161500,5988,108726,5466,148193,6110,72855,3913,90459,4566,50319,3051,66947,3618,26121,2490,55390,3554,43009,3177,27439,2786,27216,2671,16551,1955,19229,1802,22818,2443,13910,1660,19151,2045,12781,1538,0400000US17,10169058,5273,4934146,4433,2386766,14438,76,87,2386690,14443,3179,758,4205,1033,14484,1793,13479,2052,40994,3958,27713,2812,60228,4136,53367,4051,100952,4918,58126,4063,144469,6104,168458,7356,149751,5928,172039,5834,118777,5409,164973,5371,214659,7008,176583,6508,299248,8270,401006,6858,2547380,15417,1422737,12281,1124643,13905,195363,6677,128304,5429,118851,5666,77129,4021,114381,4482,49134,3168,64225,3599,29299,2767,57367,3233,21221,2399,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
