GEO_ID,C17020D_001E,C17020D_001M,C17020D_002E,C17020D_002M,C17020D_003E,C17020D_003M,C17020D_004E,C17020D_004M,C17020D_005E,C17020D_005M,C17020D_006E,C17020D_006M,C17020D_007E,C17020D_007M,C17020D_008E,C17020D_008M,C17020D_009E,C17020D_009M,NAME,C17020D_001EA,C17020D_001MA,C17020D_002EA,C17020D_002MA,C17020D_003MA,C17020D_003EA,C17020D_004MA,C17020D_004EA,C17020D_005MA,C17020D_005EA,C17020D_006EA,C17020D_006MA,C17020D_007EA,C17020D_007MA,C17020D_008EA,C17020D_008MA,C17020D_009MA,C17020D_009EA,state
0400000US06,5043907,18224,622673,20877,130681,8012,408157,14997,83835,4163,4421234,26760,876182,11388,2998081,16941,546971,5183,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,143812,4363,16690,3795,4748,2022,11168,2110,774,349,127122,4616,28920,2386,86978,2875,11224,901,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,143823,2378,8024,2133,1686,859,5982,1615,356,248,135799,3031,34764,1807,92196,2217,8839,515,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30260,1663,2005,1087,241,282,1582,858,182,154,28255,2067,6654,982,18989,1356,2612,322,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19257,1733,2311,790,63,79,2025,744,223,200,16946,1475,1933,593,13929,1149,1084,291,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,482890,7949,61662,8959,13621,3255,41362,5769,6679,1413,421228,12148,88775,5072,288830,7710,43623,2626,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,327699,5813,51121,6303,15213,2587,32723,4013,3185,926,276578,7721,65587,3639,192142,5241,18849,1443,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,524077,10326,38041,5082,7456,2347,22156,2905,8429,1451,486036,10722,70537,4356,304134,6743,111365,2062,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20037,2702,3097,1384,575,450,2522,1049,0,187,16940,2565,3047,979,13000,1995,893,387,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,604176,6542,74334,6748,14960,2890,52307,4690,7067,1372,529842,9188,117449,4633,360479,5671,51914,1882,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,102622,4148,22256,3113,4222,1386,17010,2207,1024,773,80366,4432,17795,2400,57757,3131,4814,1039,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,53965,2179,8996,2054,1413,753,7216,1516,367,255,44969,2454,11990,1198,30353,1810,2626,656,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,68995,2580,10091,2796,2277,1385,7776,1767,38,47,58904,3288,14670,1826,39610,2190,4624,803,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,53907,2961,6847,1722,1818,888,4804,1207,225,179,47060,3092,14125,1594,30567,2223,2368,481,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,70971,2613,16300,3410,3431,1351,11279,2296,1590,696,54671,3745,13379,1852,37546,2927,3746,789,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13830,1317,4064,1643,1722,822,2284,1046,58,109,9766,1629,1916,730,6916,1230,934,358,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,334034,4507,25885,4469,5796,2046,16098,3190,3991,1098,308149,6231,67550,3075,211498,3790,29101,1440,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,365689,4128,58398,6249,12252,2638,38958,4329,7188,1308,307291,6951,71744,2956,214687,5072,20860,1648,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,239255,4210,36952,4491,9863,2024,25032,2777,2057,689,202303,4723,49757,2478,136286,3284,16260,1058,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,222325,3420,35341,4200,13329,2101,20027,2521,1985,529,186984,5242,51924,2932,125488,3391,9572,888,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,23354,2461,4350,1465,1268,833,2951,915,131,135,19004,2310,3617,1064,13898,1870,1489,784,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,98604,3496,16777,2895,3268,1313,12740,2067,769,350,81827,3960,19049,2175,56660,2871,6118,606,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6217,1134,778,502,15,27,678,433,85,169,5439,1131,995,421,3625,925,819,411,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,35466,1774,5759,1396,1372,670,4058,936,329,275,29707,1952,7411,1042,20347,1345,1949,494,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
