GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001MA,B19019_001EA,B19019_002EA,B19019_002MA,B19019_003EA,B19019_003MA,B19019_004MA,B19019_004EA,B19019_005MA,B19019_005EA,B19019_006EA,B19019_006MA,B19019_007EA,B19019_007MA,B19019_008EA,B19019_008MA,state
0400000US06,58328,354,32590,454,65563,568,69950,840,75903,984,65848,1313,62743,1248,72595,1473,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,56765,594,31380,480,66233,1069,71856,1671,82081,2021,72374,2981,73401,3472,61663,5472,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67276,865,31807,784,74359,1686,86889,2891,104033,2769,100984,3376,94790,8922,99164,10575,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,58415,1593,31452,1612,63798,2480,71343,4258,85179,3111,86604,9386,64145,22866,80642,27690,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,66583,2040,47276,2231,98390,4488,74271,7342,109375,21838,80713,23672,71503,38878,81263,4260,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45040,345,25648,308,52736,583,55898,954,62811,1435,59904,1532,58868,2307,56456,2810,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,47209,378,26339,379,53626,891,56846,1241,67085,1520,60175,1957,54319,2884,52437,3325,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,66259,1628,33486,2470,67492,2946,82353,2578,83154,3286,95174,4879,96078,18428,112988,16770,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45489,929,24033,1247,51385,1870,52200,3336,61581,3964,58896,3967,62286,8024,68166,6300,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,55137,408,29791,564,62591,647,70502,944,80469,1226,77465,1931,65219,2373,67666,4370,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,46974,421,25177,533,52495,816,61474,914,70337,1109,67037,2376,64505,3892,60176,5836,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,50957,431,26006,519,58381,1186,65138,2015,73994,2438,71310,2707,72229,2978,71027,8639,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,50241,520,26976,678,57586,957,64702,2338,71924,2662,71466,2182,63535,8291,61589,8072,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
