GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001EA,C17001A_001MA,C17001A_002EA,C17001A_002MA,C17001A_003MA,C17001A_003EA,C17001A_004MA,C17001A_004EA,C17001A_005EA,C17001A_005MA,C17001A_006EA,C17001A_006MA,C17001A_007EA,C17001A_007MA,C17001A_008EA,C17001A_008MA,C17001A_009MA,C17001A_009EA,C17001A_010EA,C17001A_010MA,C17001A_011EA,C17001A_011MA,C17001A_012EA,C17001A_012MA,C17001A_013EA,C17001A_013MA,C17001A_014MA,C17001A_014EA,C17001A_015MA,C17001A_015EA,C17001A_016EA,C17001A_016MA,C17001A_017EA,C17001A_017MA,C17001A_018EA,C17001A_018MA,C17001A_019EA,C17001A_019MA,state
0400000US06,23208414,58056,3486527,51348,1616624,28856,586679,17875,930217,16649,99728,4612,1869903,29227,562843,15538,1118247,17493,188813,6252,19721887,70682,9928529,39214,2087446,21058,6469145,23437,1371938,6696,9793358,39238,1998899,19498,6148040,24695,1646419,8044,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4287901,16448,509464,19087,235223,9963,75919,6114,145527,6084,13777,1656,274241,11945,72594,6213,175518,7393,26129,2255,3778437,20398,1901029,11703,418352,6726,1248953,7453,233724,2137,1877408,12653,395084,6969,1208082,7777,274242,2527,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2731555,10653,216302,11575,91164,5564,25783,3306,56247,4100,9134,1417,125138,7558,29744,3654,77400,5012,17994,1848,2515253,13458,1237285,7727,259623,3929,788660,5905,189002,1687,1277968,8094,242168,3375,793024,6063,242776,2563,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,622842,4368,62583,6084,25686,2817,7631,1704,16129,1958,1926,611,36897,3990,8822,1929,22557,2833,5518,881,560259,5814,277822,3069,54667,1723,173711,2141,49444,752,282437,4000,50411,1919,174939,2885,57087,1149,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,236314,4267,19083,3646,9350,2129,815,623,8327,1892,208,148,9733,2016,735,483,8368,1710,630,362,217231,5070,106847,2885,12827,763,82980,2574,11040,376,110384,2833,13309,910,84505,2283,12570,584,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14478594,23644,2069349,32626,938067,15990,279158,9826,561020,11474,97889,4881,1131282,22867,262952,10649,688773,15977,179557,7257,12409245,35976,6133355,19457,1089796,10283,3756817,14775,1286742,5498,6275890,24796,1043012,11335,3735162,17216,1497716,7425,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5869835,16252,811800,26341,367785,12595,123280,6960,222108,8015,22397,2082,444015,16451,119202,8711,274777,10212,50036,3617,5058035,29576,2527213,16766,559913,8113,1617458,11225,349842,2701,2530822,16672,530750,8520,1580326,10218,419746,4089,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,332789,3157,37471,3984,18570,2183,4769,1212,12798,1642,1003,368,18901,2550,3235,1047,13888,1935,1778,543,295318,5314,161302,3113,18954,1407,116256,2291,26092,602,134016,3221,19384,1425,90227,2192,24405,740,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1431667,6996,216022,12622,98569,6419,36358,4155,54450,3698,7761,1584,117453,7724,36153,4160,69730,4515,11570,1655,1215645,12497,614572,6834,154829,3957,372926,3834,86817,1740,601073,8150,144582,4786,361804,4810,94687,1871,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9165273,23898,982123,26270,439115,14278,143929,7915,265096,8902,30090,2359,543008,14545,142047,7449,335040,8888,65921,3098,8183150,30715,4074237,16809,885664,8663,2629754,11188,558819,3213,4108913,17590,841201,9457,2570971,10328,696741,4418,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
