GEO_ID,B09010_001E,B09010_001M,B09010_002E,B09010_002M,B09010_003E,B09010_003M,B09010_004E,B09010_004M,B09010_005E,B09010_005M,B09010_006E,B09010_006M,B09010_007E,B09010_007M,B09010_008E,B09010_008M,B09010_009E,B09010_009M,B09010_010E,B09010_010M,B09010_011E,B09010_011M,B09010_012E,B09010_012M,B09010_013E,B09010_013M,NAME,B09010_001EA,B09010_001MA,B09010_002MA,B09010_002EA,B09010_003MA,B09010_003EA,B09010_004MA,B09010_004EA,B09010_005EA,B09010_005MA,B09010_006EA,B09010_006MA,B09010_007MA,B09010_007EA,B09010_008MA,B09010_008EA,B09010_009MA,B09010_009EA,B09010_010EA,B09010_010MA,B09010_011EA,B09010_011MA,B09010_012EA,B09010_012MA,B09010_013MA,B09010_013EA,state
0400000US06,9210932,3150,2456848,36012,2441768,35764,1131149,26267,267110,15357,1043509,25452,15080,2745,6754084,36201,6718344,36201,5016795,42243,546755,17124,1154794,25781,35740,4742,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1228115,1578,266847,12101,263590,12337,116346,8352,25088,4008,122156,9964,3257,1532,961268,12240,955127,12306,740970,11735,64207,5588,149950,8602,6141,1750,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,789621,1244,175401,7692,174791,7666,54273,4991,13966,2901,106552,5829,610,501,614220,7673,611562,7662,474860,9057,37537,4346,99165,6640,2658,1237,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,204351,440,68880,5289,68042,5317,26544,4380,7122,1922,34376,4507,838,760,135471,5242,134759,5248,101433,5281,10709,2056,22617,3072,712,519,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108948,429,44647,3578,44320,3562,7667,2283,1752,915,34901,3830,327,482,64301,3623,64201,3624,40662,2759,6223,1841,17316,2738,100,116,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3986392,2964,1327844,28647,1314711,28562,530202,22600,122901,9882,661608,22362,13133,3205,2658548,28361,2643129,28114,1891224,29305,194206,10315,557699,17533,15419,2743,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2489545,3758,825243,19538,822045,19876,295128,14137,70342,7092,456575,17135,3198,1187,1664302,19906,1656340,20112,1250731,22640,96224,8964,309385,12985,7962,1717,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301685,956,76489,5507,76220,5478,36287,4841,8145,2025,31788,3652,269,370,225196,5459,224655,5438,171993,6576,14106,2663,38556,4136,541,487,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,423632,1199,120637,8883,119417,9100,65547,7306,10149,2713,43721,5614,1220,906,302995,9154,302385,9082,246650,8476,19464,3640,36271,4682,610,387,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3058222,2458,836275,17202,828300,17194,314260,14178,80852,8129,433188,16561,7975,2367,2221947,17089,2208426,17253,1730011,18734,137117,7526,341298,12154,13521,2515,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
