C06003_012M,C06003_013E,C06003_013M,GEO_ID,C06003_001E,C06003_001M,C06003_002E,C06003_002M,C06003_003E,C06003_003M,C06003_004E,C06003_004M,C06003_005E,C06003_005M,C06003_006E,C06003_006M,C06003_007E,C06003_007M,C06003_008E,C06003_008M,C06003_009E,C06003_009M,C06003_010E,C06003_010M,C06003_011E,C06003_011M,C06003_012E,C06003_012MA,C06003_013MA,C06003_013EA,NAME,C06003_001EA,C06003_001MA,C06003_002EA,C06003_002MA,C06003_003MA,C06003_003EA,C06003_004MA,C06003_004EA,C06003_005EA,C06003_005MA,C06003_006EA,C06003_006MA,C06003_007MA,C06003_007EA,C06003_008EA,C06003_008MA,C06003_009MA,C06003_009EA,C06003_010EA,C06003_010MA,C06003_011EA,C06003_011MA,C06003_012EA,state
2341,163679,5759,0400000US01,4822023,-555555555,2336291,3772,2485732,3772,3385694,20754,1633380,12219,1752314,12692,1235686,19844,602716,11593,632970,11611,36964,3462,18250,2405,18714,null,null,null,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1574,52313,4402,0400000US02,731449,-555555555,381094,1702,350355,1702,295280,6705,153960,4314,141320,4481,367622,7475,194404,4635,173218,4746,16234,2019,8518,1521,7716,null,null,null,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3439,875927,16628,0400000US04,6553255,-555555555,3260687,2638,3292568,2638,2523007,24289,1284746,15322,1238261,15096,3081201,23733,1520390,16149,1560811,13681,73120,4615,37578,3048,35542,null,null,null,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2047,129165,5497,0400000US05,2949131,-555555555,1449265,3205,1499866,3205,1814554,17083,896907,9383,917647,11071,987189,18690,477251,10629,509938,11240,18223,2699,8077,1619,10146,null,null,null,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8707,10300832,51482,0400000US06,38041430,-555555555,18917773,4374,19123657,4374,20694070,56629,10411513,36162,10282557,33435,6592525,41084,3289007,25008,3303518,26784,454003,13620,234563,8351,219440,null,null,null,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3579,506358,13180,0400000US08,5187582,-555555555,2601370,3232,2586212,3232,2181348,21586,1096793,14685,1084555,12233,2419554,20406,1212126,13371,1207428,12151,80322,5664,41278,3484,39044,null,null,null,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4349,495421,13278,0400000US09,3590347,-555555555,1749806,1927,1840541,1927,1981537,18258,976518,11930,1005019,9582,983786,15094,467551,9111,516235,9368,129603,6199,62789,3697,66814,null,null,null,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1410,77497,4814,0400000US10,917092,-555555555,444691,881,472401,881,412055,8718,207268,4985,204787,6207,412709,9026,193090,5437,219619,6083,14831,2124,7699,1556,7132,null,null,null,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1170,90323,4771,0400000US11,632323,-555555555,299036,318,333287,318,234515,6396,112350,3931,122165,4193,297298,7566,137290,4250,160008,4645,10187,1765,4972,1290,5215,null,null,null,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
12215,3747136,32291,0400000US12,19317568,-555555555,9441001,6373,9876567,6373,6890682,39139,3456807,24902,3433875,25606,8052406,40532,3910961,25907,4141445,25990,627344,20236,306617,10778,320727,null,null,null,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
5040,940138,16649,0400000US13,9919945,-555555555,4851053,6551,5068892,6551,5490260,32428,2684399,22116,2805861,21201,3357206,33636,1627099,20489,1730107,22929,132341,7848,63385,5037,68956,null,null,null,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
2514,251866,9670,0400000US15,1392313,-555555555,701196,1123,691117,1123,754887,10015,383827,5900,371060,6353,342239,6882,188541,4413,153698,4132,43321,3913,23073,2473,20248,null,null,null,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
