GEO_ID,B27023_001E,B27023_001M,B27023_002E,B27023_002M,B27023_003E,B27023_003M,B27023_004E,B27023_004M,B27023_005E,B27023_005M,B27023_006E,B27023_006M,B27023_007E,B27023_007M,B27023_008E,B27023_008M,B27023_009E,B27023_009M,B27023_010E,B27023_010M,B27023_011E,B27023_011M,B27023_012E,B27023_012M,B27023_013E,B27023_013M,B27023_014E,B27023_014M,B27023_015E,B27023_015M,NAME,B27023_001MA,B27023_001EA,B27023_002MA,B27023_002EA,B27023_003EA,B27023_003MA,B27023_004EA,B27023_004MA,B27023_005MA,B27023_005EA,B27023_006MA,B27023_006EA,B27023_007MA,B27023_007EA,B27023_008MA,B27023_008EA,B27023_009EA,B27023_009MA,B27023_010EA,B27023_010MA,B27023_011EA,B27023_011MA,B27023_012EA,B27023_012MA,B27023_013MA,B27023_013EA,B27023_014MA,B27023_014EA,B27023_015EA,B27023_015MA,state
0400000US06,3940679,14190,2003802,10996,883272,11754,601215,10985,282057,8004,1120530,13653,539631,12752,580899,11078,1936877,8293,957136,11491,627548,12097,329588,9423,979741,12003,474346,8692,505395,9336,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,489799,5784,246708,4013,97094,4913,77209,4256,19885,2620,149614,4759,85225,3787,64389,4073,243091,3630,107582,4209,85087,4194,22495,2472,135509,4996,76254,4024,59255,3707,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,325760,4679,164909,3320,71717,3551,57790,3522,13927,1641,93192,3668,56616,3516,36576,3096,160851,2887,86105,3345,67630,3160,18475,2156,74746,3730,41994,3240,32752,2765,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,89929,2749,44013,2117,18029,2117,14837,2011,3192,957,25984,2253,14066,2047,11918,1507,45916,1564,24328,1703,18513,1549,5815,1218,21588,2086,10800,1695,10788,1677,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,84345,3126,36817,1953,17662,1954,15798,2079,1864,685,19155,1895,10714,1622,8441,1375,47528,1999,22123,1808,19540,1808,2583,759,25405,2163,16518,1853,8887,1482,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1762971,13230,879070,8734,369844,9585,250127,8412,119717,6877,509226,10285,210397,6838,298829,8571,883901,8341,435895,10132,287213,8896,148682,8573,448006,10433,192233,8428,255773,8269,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,960002,9271,470373,5816,185136,6716,137201,5995,47935,4558,285237,7570,141951,6183,143286,7043,489629,6629,226910,7167,162794,7284,64116,4392,262719,8008,123445,5951,139274,6593,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,123746,3121,62573,2509,22850,1982,18832,1936,4018,978,39723,2661,27706,2482,12017,1789,61173,1907,24858,1940,20524,1810,4334,936,36315,2098,25450,1891,10865,1580,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,148328,4065,73395,2616,28458,2990,24222,2538,4236,1315,44937,3164,25399,2672,19538,2607,74933,2764,31561,3002,25332,2745,6229,1409,43372,2845,22566,1905,20806,2633,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1221793,7923,613405,6934,262196,5957,211234,6167,50962,3364,351209,7508,196628,6621,154581,5105,608388,5525,291655,6910,222160,6686,69495,4055,316733,7444,170675,6681,146058,6241,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
