GEO_ID,C08007_001E,C08007_001M,C08007_002E,C08007_002M,C08007_003E,C08007_003M,C08007_004E,C08007_004M,C08007_005E,C08007_005M,C08007_006E,C08007_006M,C08007_007E,C08007_007M,C08007_008E,C08007_008M,C08007_009E,C08007_009M,NAME,C08007_001MA,C08007_001EA,C08007_002EA,C08007_002MA,C08007_003MA,C08007_003EA,C08007_004EA,C08007_004MA,C08007_005EA,C08007_005MA,C08007_006MA,C08007_006EA,C08007_007MA,C08007_007EA,C08007_008EA,C08007_008MA,C08007_009EA,C08007_009MA,state
0400000US06,16432358,41929,13547912,44984,2884446,28021,8992041,28301,7225403,28639,1766638,21252,7440317,30556,6322509,30789,1117808,14328,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2538793,15597,1664222,15627,874571,12920,1379413,9108,871987,10994,507426,9164,1159380,11180,792235,10075,367145,7513,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1728325,12264,1276899,12222,451426,8957,889917,7941,627910,8260,262007,6645,838408,7584,648989,7272,189419,5258,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,421883,5569,329100,6322,92783,4965,212811,4063,157491,4586,55320,3667,209072,4068,171609,4607,37463,2900,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,326143,6312,246634,6137,79509,3784,158512,4247,115456,3796,43056,2802,167631,4130,131178,4315,36453,2530,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8161313,33163,6636498,34051,1524815,25508,4265063,22027,3385099,20743,879964,17596,3896250,23174,3251399,24530,644851,15174,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4213128,24999,2468753,21450,1744375,19768,2234226,16807,1253778,15886,980448,16175,1978902,15634,1214975,14815,763927,12005,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,670355,7481,663758,7444,6597,1083,366971,5262,362591,5430,4380,953,303384,5182,301167,5197,2217,685,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,697765,7911,551206,8978,146559,6555,379789,4962,288384,6067,91405,4773,317976,6373,262822,6068,55154,3701,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5927604,21876,4330799,22009,1596805,14527,3094556,13251,2175484,14900,919072,9498,2833048,16063,2155315,15519,677733,10932,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
