GEO_ID,C22007_001E,C22007_001M,C22007_002E,C22007_002M,C22007_003E,C22007_003M,C22007_004E,C22007_004M,C22007_005E,C22007_005M,C22007_006E,C22007_006M,C22007_007E,C22007_007M,C22007_008E,C22007_008M,C22007_009E,C22007_009M,C22007_010E,C22007_010M,C22007_011E,C22007_011M,C22007_012E,C22007_012M,C22007_013E,C22007_013M,C22007_014E,C22007_014M,C22007_015E,C22007_015M,C22007_016E,C22007_016M,C22007_017E,C22007_017M,C22007_018E,C22007_018M,C22007_019E,C22007_019M,C22007_020E,C22007_020M,C22007_021E,C22007_021M,C22007_022E,C22007_022M,C22007_023E,C22007_023M,C22007_024E,C22007_024M,C22007_025E,C22007_025M,C22007_026E,C22007_026M,C22007_027E,C22007_027M,C22007_028E,C22007_028M,C22007_029E,C22007_029M,NAME,C22007_001EA,C22007_001MA,C22007_002EA,C22007_002MA,C22007_003EA,C22007_003MA,C22007_004MA,C22007_004EA,C22007_005MA,C22007_005EA,C22007_006EA,C22007_006MA,C22007_007EA,C22007_007MA,C22007_008EA,C22007_008MA,C22007_009EA,C22007_009MA,C22007_010MA,C22007_010EA,C22007_011MA,C22007_011EA,C22007_012EA,C22007_012MA,C22007_013EA,C22007_013MA,C22007_014EA,C22007_014MA,C22007_015MA,C22007_015EA,C22007_016MA,C22007_016EA,C22007_017EA,C22007_017MA,C22007_018EA,C22007_018MA,C22007_019EA,C22007_019MA,C22007_020MA,C22007_020EA,C22007_021MA,C22007_021EA,C22007_022MA,C22007_022EA,C22007_023EA,C22007_023MA,C22007_024EA,C22007_024MA,C22007_025EA,C22007_025MA,C22007_026MA,C22007_026EA,C22007_027MA,C22007_027EA,C22007_028EA,C22007_028MA,C22007_029EA,C22007_029MA,state
0400000US06,8585787,27380,982415,13806,410468,9222,51162,3276,163091,5238,196215,6740,571947,10855,124327,5795,22874,2293,70426,4236,31027,3109,447620,10282,146471,4977,213229,7006,87920,4298,7603372,27652,5693631,25849,724978,10880,1561968,18577,3406685,23033,1909741,21961,634961,11537,57008,3467,329184,10264,248769,6893,1274780,16472,170348,5317,660366,13146,444066,9690,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,128947,6207,51578,3066,6478,986,19674,2072,25426,2475,77369,5181,15726,2178,2141,570,10529,1782,3056,852,61643,4550,15029,1947,33736,3392,12878,1960,1149317,10664,923492,11351,108557,3292,231249,6442,583686,10329,225825,6580,76570,4205,5054,1169,40732,3415,30784,3325,149255,4973,12297,1672,84742,4270,52216,3390,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,105992,5162,31020,3013,5357,1052,9533,1647,16130,2003,74972,3923,12508,1902,2682,814,7570,1461,2256,984,62464,3264,17452,2043,33987,2713,11025,1606,796377,10099,629856,8964,72922,3174,149043,4733,407891,7234,166521,6406,50709,3766,3371,954,24532,2754,22806,2770,115812,5371,10523,1406,62336,4054,42953,2956,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,35153,2676,12421,1880,974,291,4456,1052,6991,1447,22732,2227,4107,1076,913,506,2403,998,791,351,18625,1928,4780,1072,9473,1542,4372,976,190440,4826,151039,4413,25461,1637,34685,2594,90893,3977,39401,3390,12154,1639,725,367,6866,1239,4563,1005,27247,2713,1917,578,13920,1855,11410,1875,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,25984,2303,3984,1077,346,253,1639,618,1999,727,22000,2173,2124,639,828,371,1036,452,260,227,19876,2202,6112,1136,9288,1487,4476,1021,86509,3485,58165,2893,5503,921,12953,1467,39709,2336,28344,2078,7254,1215,850,442,3165,756,3239,928,21090,1807,2624,684,10832,1428,7634,1252,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,776263,14820,320920,9722,53653,3704,117463,6036,149804,6965,455343,11429,88752,5282,22091,2365,48152,4511,18509,2246,366591,8794,101061,5877,196799,8060,68731,4895,3821959,24743,2998700,22672,683019,10100,778593,13867,1537088,18736,823259,13779,235149,9785,22015,2221,130687,7500,82447,5555,588110,9224,70876,4331,330262,9724,186972,5555,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,442004,11215,157341,7341,25067,2459,62978,4696,69296,4980,284663,8951,47082,3756,11645,1808,26241,2777,9196,1537,237581,8326,73387,4496,127961,5535,36233,3351,1964222,15950,1536045,17227,205386,6064,428627,10308,902032,13571,428177,11506,119336,6350,11998,1715,67358,5374,39980,3473,308841,8822,38528,3810,177996,7665,92317,5097,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,37155,2534,15760,1744,1800,487,4890,1024,9070,1329,21395,2006,4954,768,492,223,2514,666,1948,601,16441,1840,4118,1142,8336,1312,3987,856,272010,5657,213267,5760,26195,1804,52237,2909,134835,4984,58743,3394,18615,1783,1037,313,9369,1364,8209,1301,40128,2841,5033,1041,16697,1961,18398,1890,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,59090,4163,29600,2729,2310,647,10404,1515,16886,2194,29490,3515,5492,1468,1188,564,3026,884,1278,960,23998,3018,5830,1668,15238,2187,2930,732,346818,6903,292625,6145,45567,2654,74947,4124,172111,5520,54193,4000,18842,2665,1535,627,11112,1851,6195,1443,35351,2930,4294,1241,18617,2210,12440,2118,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,440306,8992,156579,5851,21897,2578,55036,3525,79646,4138,283727,7113,51100,3412,10272,1399,29425,2898,11403,1740,232627,7049,64219,3680,121481,5203,46927,2948,2680714,17200,2132850,17762,266612,4920,512646,8603,1353592,16362,547864,10705,169029,6920,13352,1725,86145,4478,69532,4129,378835,9132,40617,2744,202826,7143,135392,5693,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
