B24090_002E,B24090_002M,B24090_003E,B24090_003M,B24090_004E,B24090_004M,B24090_005E,B24090_005M,B24090_006E,B24090_006M,B24090_007E,B24090_007M,B24090_008E,B24090_008M,B24090_009E,B24090_009M,B24090_010E,B24090_010M,B24090_011E,B24090_011M,B24090_012E,B24090_012M,B24090_013E,B24090_013M,B24090_014E,B24090_014M,B24090_015E,B24090_015M,B24090_016E,B24090_016M,B24090_017E,B24090_017M,B24090_018E,B24090_018M,B24090_019E,B24090_019M,B24090_020E,B24090_020M,B24090_021E,B24090_021M,GEO_ID,B24090_001E,B24090_001M,B24090_002EA,B24090_002MA,B24090_003EA,B24090_003MA,B24090_004EA,B24090_004MA,B24090_005EA,B24090_005MA,B24090_006EA,B24090_006MA,B24090_007MA,B24090_007EA,B24090_008EA,B24090_008MA,B24090_009EA,B24090_009MA,B24090_010EA,B24090_010MA,B24090_011EA,B24090_011MA,B24090_012EA,B24090_012MA,B24090_013EA,B24090_013MA,B24090_014EA,B24090_014MA,B24090_015EA,B24090_015MA,B24090_016EA,B24090_016MA,B24090_017EA,B24090_017MA,B24090_018MA,B24090_018EA,B24090_019EA,B24090_019MA,B24090_020EA,B24090_020MA,B24090_021EA,B24090_021MA,NAME,B24090_001EA,B24090_001MA,state
6510256,29693,4945118,29527,4648382,28946,296736,7886,305279,7844,382045,9822,212772,6535,190148,7063,469966,10361,4928,1054,4554675,24508,3076569,23244,2973381,24201,103188,4687,437589,11754,437441,9187,256267,8148,109526,4918,232047,7083,5236,1076,0400000US06,11064931,39611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,06
1012533,11137,774425,11135,710884,10972,63541,3166,49227,3504,59621,3946,33678,2917,41791,3514,53068,3314,723,379,729366,10130,479534,9512,455932,9357,23602,2108,85598,4236,68538,3466,42262,3521,25289,2399,27430,2196,715,383,0400000US08,1741899,14366,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,08
670617,8201,513798,6551,481039,6404,32759,2443,39481,2481,33409,2260,28429,2192,12091,1694,42594,3364,815,466,509206,7377,339708,6483,331819,6537,7889,1163,71779,3699,44641,2747,26741,2386,8800,1198,17372,1882,165,198,0400000US09,1179823,11447,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,09
159390,4330,123705,4589,116480,4367,7225,1188,7978,1499,4091,973,11084,1662,6231,1404,5889,1202,412,420,138396,3698,91856,3844,89914,3809,1942,552,15440,1814,4440,857,18722,1718,4031,958,3907,930,0,182,0400000US10,297786,5911,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,10
121646,3716,63084,3718,59399,3643,3685,1091,19233,2298,6008,983,2774,755,24811,2449,5736,1027,0,197,121648,3837,52921,2965,50991,3055,1930,667,28593,2541,9096,1371,2532,750,24754,2317,3752,970,0,197,0400000US11,243294,5286,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,11
3137455,20523,2449695,22852,2195004,21616,254691,8171,126475,5189,220289,9006,84304,4532,98217,5474,156675,7971,1800,854,2573595,19659,1814864,20801,1724749,20104,90115,4495,237117,9051,251960,7949,119016,5163,60008,3959,88069,5396,2561,831,0400000US12,5711050,29624,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,12
1695974,15356,1316656,18333,1223605,17341,93051,5476,61344,4347,100056,6151,61876,4169,71587,4764,81093,5204,3362,1412,1344957,16793,912781,15779,880843,15635,31938,2327,108120,4788,134182,6072,98240,5337,52709,4576,37743,3146,1182,506,0400000US13,3040931,22698,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,13
245461,5807,161223,4800,151610,4693,9613,1555,13582,1858,10711,1556,15080,1373,31610,2708,12936,2136,319,295,198632,4635,119977,4478,114212,4038,5765,1280,20849,2003,4967,917,30717,2061,13556,1608,8557,1215,9,17,0400000US15,444093,7503,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,15
271680,5888,202519,5678,185389,5130,17130,2284,10938,1610,15013,1886,13295,1660,10688,1292,18661,2067,566,330,181909,5937,114346,4716,109526,4712,4820,1139,16897,1940,18697,2205,16445,1781,5355,1217,9926,1486,243,197,0400000US16,453589,8283,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,16
2359993,14089,1855549,15268,1737211,15286,118338,5205,129779,5918,138019,4900,70481,4104,62003,3938,102424,4343,1738,653,1816595,15444,1241510,12731,1204485,12898,37025,3474,237669,7702,148881,6630,92490,4357,43838,3393,50603,3057,1604,607,0400000US17,4176588,20851,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,17
