GEO_ID,C23002G_001E,C23002G_001M,C23002G_002E,C23002G_002M,C23002G_003E,C23002G_003M,C23002G_004E,C23002G_004M,C23002G_005E,C23002G_005M,C23002G_006E,C23002G_006M,C23002G_007E,C23002G_007M,C23002G_008E,C23002G_008M,C23002G_009E,C23002G_009M,C23002G_010E,C23002G_010M,C23002G_011E,C23002G_011M,C23002G_012E,C23002G_012M,C23002G_013E,C23002G_013M,C23002G_014E,C23002G_014M,C23002G_015E,C23002G_015M,C23002G_016E,C23002G_016M,C23002G_017E,C23002G_017M,C23002G_018E,C23002G_018M,C23002G_019E,C23002G_019M,C23002G_020E,C23002G_020M,C23002G_021E,C23002G_021M,C23002G_022E,C23002G_022M,C23002G_023E,C23002G_023M,C23002G_024E,C23002G_024M,C23002G_025E,C23002G_025M,C23002G_026E,C23002G_026M,C23002G_027E,C23002G_027M,NAME,C23002G_001MA,C23002G_001EA,C23002G_002MA,C23002G_002EA,C23002G_003EA,C23002G_003MA,C23002G_004EA,C23002G_004MA,C23002G_005EA,C23002G_005MA,C23002G_006MA,C23002G_006EA,C23002G_007MA,C23002G_007EA,C23002G_008EA,C23002G_008MA,C23002G_009EA,C23002G_009MA,C23002G_010EA,C23002G_010MA,C23002G_011MA,C23002G_011EA,C23002G_012MA,C23002G_012EA,C23002G_013MA,C23002G_013EA,C23002G_014EA,C23002G_014MA,C23002G_015EA,C23002G_015MA,C23002G_016MA,C23002G_016EA,C23002G_017MA,C23002G_017EA,C23002G_018MA,C23002G_018EA,C23002G_019EA,C23002G_019MA,C23002G_020EA,C23002G_020MA,C23002G_021MA,C23002G_021EA,C23002G_022MA,C23002G_022EA,C23002G_023MA,C23002G_023EA,C23002G_024EA,C23002G_024MA,C23002G_025EA,C23002G_025MA,C23002G_026MA,C23002G_026EA,C23002G_027MA,C23002G_027EA,state
0400000US06,1036145,22157,509311,12358,471272,12180,339203,9302,5234,1264,333969,9113,280527,8574,53442,4128,132069,6385,38039,2555,8456,1314,7617,1317,839,412,29583,2128,526834,13989,478671,14316,320079,10689,886,476,319193,10677,272724,9428,46469,3413,158592,7410,48163,2679,6262,951,5632,910,630,299,41901,2621,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,103368,5187,53125,3323,50401,3357,39203,3148,1527,732,37676,3031,32245,2924,5431,1368,11198,1554,2724,681,534,270,394,239,140,148,2190,631,50243,3669,46755,3601,32563,2775,244,253,32319,2752,28431,2468,3888,1040,14192,2022,3488,817,712,373,688,370,24,48,2776,702,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,53448,4025,24853,2597,23548,2586,16399,2374,147,190,16252,2333,14056,2299,2196,690,7149,1318,1305,498,309,232,309,232,0,193,996,424,28595,3008,27042,2909,19006,2331,118,101,18888,2335,15813,1965,3075,1022,8036,1476,1553,534,409,292,409,292,0,193,1144,434,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11540,2169,5484,1339,5071,1331,4013,1190,130,131,3883,1178,3000,1062,883,630,1058,479,413,221,69,110,69,110,0,182,344,166,6056,1456,5637,1430,4048,1220,0,182,4048,1220,3571,1100,477,374,1589,682,419,280,162,183,162,183,0,182,257,194,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,272528,10166,132666,7251,118691,7227,86662,5950,1403,616,85259,5842,71834,5425,13425,2063,32029,3399,13975,1717,3081,727,2781,735,300,239,10894,1613,139862,6150,122276,6145,82477,5086,774,594,81703,5010,71515,4287,10188,1630,39799,3284,17586,2008,1984,621,1477,537,507,275,15602,2054,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,108432,7502,50832,4427,47730,4330,34660,3601,1636,546,33024,3570,28550,3424,4474,1191,13070,1896,3102,773,453,323,360,265,93,138,2649,723,57600,4592,52223,4365,30574,3199,141,145,30433,3205,26310,3154,4123,1050,21649,3007,5377,1295,815,596,624,603,191,233,4562,1109,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,212125,8628,107676,4975,100077,4789,76962,4086,2271,689,74691,4143,66987,4089,7704,1384,23115,2172,7599,1048,2184,550,1907,523,277,230,5415,858,104449,5304,93163,4837,65883,3817,404,276,65479,3751,59933,3505,5546,1102,27280,2897,11286,1429,2182,732,2182,732,0,177,9104,1380,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23203,2630,10728,1424,9927,1392,7316,1154,54,78,7262,1151,6325,1131,937,391,2611,802,801,401,0,187,0,187,0,187,801,401,12475,2231,11185,2019,7054,1563,41,60,7013,1567,4731,1120,2282,1176,4131,969,1290,637,43,82,43,82,0,187,1247,626,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,146093,7973,70159,4821,64727,4826,45970,4032,207,199,45763,4036,38694,3599,7069,1257,18757,2085,5432,844,1026,366,1026,366,0,179,4406,820,75934,4879,70313,4718,49010,3762,396,323,48614,3697,41575,3187,7039,1468,21303,2171,5621,857,798,323,763,319,35,58,4823,829,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
