GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001EA,C27001I_001MA,C27001I_002MA,C27001I_002EA,C27001I_003EA,C27001I_003MA,C27001I_004MA,C27001I_004EA,C27001I_005EA,C27001I_005MA,C27001I_006EA,C27001I_006MA,C27001I_007MA,C27001I_007EA,C27001I_008EA,C27001I_008MA,C27001I_009MA,C27001I_009EA,C27001I_010EA,C27001I_010MA,state
0400000US06,14376295,4669,4778261,823,4288800,17293,489461,17305,8777512,4356,5376539,32491,3400973,32355,820522,1971,776775,3940,43747,3622,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1068242,2003,381339,508,324084,5788,57255,5777,627803,2227,393453,9117,234350,9254,59100,1057,57126,1337,1974,853,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,502192,969,165995,125,157241,1787,8754,1793,311316,1205,223150,6126,88166,6136,24881,994,23916,1055,965,600,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77897,321,28880,49,26354,1059,2526,1054,46027,456,30771,2256,15256,2277,2990,338,2594,463,396,322,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62399,177,15047,29,14482,496,565,496,44136,165,37266,1423,6870,1434,3216,51,3163,97,53,87,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4435694,3504,1140781,1901,976416,9677,164365,9631,2823998,3751,1599238,18633,1224760,19275,470915,2728,449474,4377,21441,3383,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,887307,4199,337536,3148,272904,6822,64632,6277,523460,3471,227032,9205,296428,9350,26311,2295,22375,2380,3936,1392,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124623,1036,47597,170,46988,465,609,435,71041,1023,63009,1847,8032,1788,5985,409,5894,433,91,152,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,181769,647,73781,412,63948,2335,9833,2342,101676,1269,51649,3528,50027,3651,6312,1055,6121,1086,191,231,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2083268,2442,731915,1031,700829,4536,31086,4381,1258819,2424,756973,12098,501846,12054,92534,1264,86569,1654,5965,1281,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,404255,1449,157988,2199,133357,3343,24631,2991,231337,2337,136247,5401,95090,4994,14930,1262,14232,1324,698,405,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,158920,1532,66215,1589,59300,2007,6915,1699,88314,1635,57146,2995,31168,2793,4391,1211,4266,1222,125,131,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,309941,901,125005,949,111017,2379,13988,2275,174696,1282,100964,4586,73732,4406,10240,979,9583,1097,657,569,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,129641,1819,48886,1275,42682,1810,6204,1631,76307,2032,40108,3139,36199,3088,4448,908,4236,934,212,209,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,201571,1207,60427,1158,54099,1851,6328,1572,126899,1517,64274,4330,62625,4380,14245,1054,13734,1124,511,371,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18325,698,6855,637,6598,625,257,162,10631,734,8136,1050,2495,974,839,305,839,305,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,504716,1309,162124,543,147680,2941,14444,2858,323358,1531,174598,6850,148760,6719,19234,833,16719,1023,2515,695,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,664043,1434,218000,701,214233,1508,3767,1404,414687,1401,369456,3421,45231,3437,31356,881,30606,974,750,383,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,449760,994,172838,568,163878,1895,8960,1721,254452,1364,180093,3519,74359,3523,22470,1138,22027,1098,443,280,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,260511,724,106605,959,91376,2187,15229,2010,146121,1188,90272,3891,55849,3785,7785,865,7117,874,668,403,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,73302,2374,27759,1528,24755,1720,3004,985,43294,2414,21137,2698,22157,2826,2249,964,2074,929,175,203,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,216480,1896,81548,1731,70305,3004,11243,2471,125485,2382,75429,3869,50056,3925,9447,1066,9193,1072,254,189,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,30754,513,10945,726,9749,786,1196,470,17952,871,11392,1320,6560,1178,1857,648,1766,636,91,89,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,176323,814,72377,925,62589,1987,9788,1871,99126,1087,55603,3688,43523,3583,4820,766,4154,812,666,495,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,744813,983,266107,155,203528,4623,62579,4625,445194,1351,244157,6912,201037,6892,33512,764,30014,1182,3498,1066,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,39783,950,14806,1127,13617,1425,1189,832,23044,883,15784,1782,7260,1759,1933,581,1933,581,0,181,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1627121,1524,479364,256,441077,4061,38287,4065,1043556,1614,640348,13242,403208,13412,104201,871,97246,1443,6955,1406,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,966000,1130,301902,206,278305,3695,23597,3711,571606,1202,387906,6840,183700,6749,92492,665,89759,1252,2733,1097,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3512361,2656,990031,1483,939815,6119,50216,6007,2252745,2990,1577063,15854,675682,15872,269585,1617,261583,2321,8002,1663,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,826914,2650,327007,2459,271904,5366,55103,5016,479569,3308,183705,7761,295864,7449,20338,1708,17624,1652,2714,1059,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,15713,769,6003,593,5132,523,871,456,9353,831,6769,924,2584,664,357,244,357,244,0,141,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,367579,1920,138960,1483,128813,2603,10147,2108,210646,2169,139466,4542,71180,4592,17973,1311,17523,1316,450,249,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,348757,1097,140052,549,117786,2392,22266,2426,197802,1790,89906,3984,107896,4002,10903,1028,9896,1061,1007,517,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
