GEO_ID,C15010G_001E,C15010G_001M,C15010G_002E,C15010G_002M,C15010G_003E,C15010G_003M,C15010G_004E,C15010G_004M,C15010G_005E,C15010G_005M,C15010G_006E,C15010G_006M,NAME,C15010G_001EA,C15010G_001MA,C15010G_002EA,C15010G_002MA,C15010G_003MA,C15010G_003EA,C15010G_004MA,C15010G_004EA,C15010G_005EA,C15010G_005MA,C15010G_006EA,C15010G_006MA,state
0400000US06,215367,8115,88599,5024,15209,2145,38688,2943,12658,1765,60213,4197,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,23320,2290,10914,1696,1311,453,4563,930,1487,560,5045,1156,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,10040,1544,5174,1236,908,480,1474,486,298,210,2186,690,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,1838,733,699,349,76,126,563,486,69,96,431,379,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4945,1032,2680,769,159,140,556,349,168,186,1382,476,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,52810,4308,18079,2139,4963,1219,13699,1891,6273,1496,9796,1650,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,22575,2213,8950,1507,1226,565,5630,1240,2121,611,4648,1246,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,33045,2528,12099,1498,2457,602,5782,1105,3643,869,9064,1474,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,2094,661,753,408,237,231,518,337,13,29,573,338,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,33607,3173,13846,1993,2720,864,6300,1292,2215,675,8526,1221,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,10412,1610,4102,1081,1046,484,1665,709,1028,504,2571,734,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3895,1046,1504,664,429,275,493,296,387,266,1082,434,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,6847,1130,2307,649,587,297,1293,460,975,449,1685,524,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
