GEO_ID,C05003I_001E,C05003I_001M,C05003I_002E,C05003I_002M,C05003I_003E,C05003I_003M,C05003I_004E,C05003I_004M,C05003I_005E,C05003I_005M,C05003I_006E,C05003I_006M,C05003I_007E,C05003I_007M,C05003I_008E,C05003I_008M,C05003I_009E,C05003I_009M,C05003I_010E,C05003I_010M,C05003I_011E,C05003I_011M,C05003I_012E,C05003I_012M,C05003I_013E,C05003I_013M,C05003I_014E,C05003I_014M,C05003I_015E,C05003I_015M,NAME,C05003I_001MA,C05003I_001EA,C05003I_002EA,C05003I_002MA,C05003I_003MA,C05003I_003EA,C05003I_004MA,C05003I_004EA,C05003I_005EA,C05003I_005MA,C05003I_006MA,C05003I_006EA,C05003I_007MA,C05003I_007EA,C05003I_008EA,C05003I_008MA,C05003I_009EA,C05003I_009MA,C05003I_010MA,C05003I_010EA,C05003I_011EA,C05003I_011MA,C05003I_012EA,C05003I_012MA,C05003I_013EA,C05003I_013MA,C05003I_014EA,C05003I_014MA,C05003I_015MA,C05003I_015EA,state
0400000US01,185441,3237,100396,2831,37529,2235,33509,2391,4020,1080,62867,2009,21733,2356,41134,2623,85045,2729,34315,2081,31344,2281,2971,975,50730,1605,21731,2348,28999,2125,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43686,509,22470,643,7692,450,7532,471,160,156,14778,453,10822,1069,3956,963,21216,555,7346,430,6941,549,405,339,13870,351,9830,1062,4040,1062,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1976104,-555555555,995887,986,359933,939,342518,2824,17415,2705,635954,281,377012,7411,258942,7432,980217,985,345811,938,327437,2767,18374,2418,634406,282,368658,7235,265748,7217,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,197865,944,103614,1836,41216,1617,37114,1988,4102,1339,62398,1498,21993,2383,40405,2454,94251,1764,38613,1581,34961,1830,3652,1113,55638,1133,22873,1766,32765,1943,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14537661,-555555555,7347254,1395,2442616,1298,2303670,7333,138946,7239,4904638,516,2338477,18170,2566161,18221,7190407,1392,2345113,1298,2212750,6865,132363,6814,4845294,519,2334242,17834,2511052,17731,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1088742,-555555555,554800,2024,195567,1577,184852,2538,10715,1802,359233,1331,227279,5313,131954,4976,533942,2025,186456,1695,176656,2269,9800,1720,347486,1245,236989,5116,110497,5076,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,510647,-555555555,255325,891,85151,799,80647,1296,4504,964,170174,456,105494,3763,64680,3733,255322,891,81079,798,76620,1293,4459,1076,174243,453,114164,3544,60079,3534,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,78813,-555555555,41232,659,14960,636,13208,1123,1752,809,26272,260,14039,1722,12233,1686,37581,659,13949,635,13411,711,538,399,23632,259,12382,1467,11250,1508,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62726,-555555555,32291,-555555555,7599,-555555555,6856,482,743,481,24692,-555555555,8824,1383,15868,1383,30435,-555555555,7465,-555555555,6598,494,867,494,22970,-555555555,7899,1251,15071,1252,District of Columbia,*****,null,null,*****,*****,null,null,null,null,null,*****,null,null,null,null,null,null,*****,*****,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,4484201,-555555555,2217588,3202,581902,2261,522360,4601,59542,4007,1635686,2450,662351,11821,973335,11748,2266613,3202,560059,2905,503858,5299,56201,4574,1706554,1689,669740,12066,1036814,12042,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,904343,3608,484322,4242,175009,3656,160839,4202,14170,2121,309313,2678,94537,6688,214776,6618,420021,3938,162845,2885,150110,3559,12735,2189,257176,2494,95415,5074,161761,5068,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131743,-555555555,68430,654,25161,653,25099,659,62,100,43269,-555555555,37771,1497,5498,1497,63313,654,22546,655,22437,657,109,100,40767,-555555555,33583,1763,7184,1763,Hawaii,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,15
0400000US16,185159,-555555555,96128,1948,37753,1739,34888,2106,2865,1016,58375,869,28787,2412,29588,2369,89031,1948,36379,1741,34586,1766,1793,659,52652,831,29226,2188,23426,2211,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2100008,1920,1083676,2340,374111,1751,352149,2795,21962,2676,709565,1870,300421,7843,409144,7629,1016332,2442,358517,1784,335882,3195,22635,2696,657815,1511,301322,5923,356493,5707,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,408900,1327,211265,2618,81048,2392,73775,3188,7273,1915,130217,2378,62102,3553,68115,3569,197635,2481,77503,2036,71464,2361,6039,1353,120132,1698,67437,3116,52695,2991,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,160644,1481,83780,2196,33966,1921,31327,1952,2639,727,49814,1211,23568,2013,26246,1671,76864,2165,32525,1832,30574,1794,1951,562,44339,1362,22497,2018,21842,1673,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,315776,269,163324,1620,63623,1371,60040,1592,3583,968,99701,1063,49706,2543,49995,2508,152452,1577,61731,1470,58211,1743,3520,824,90721,931,47394,2203,43327,2084,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,134035,1860,72166,2377,25529,1735,23079,1678,2450,996,46637,1870,19487,2138,27150,2020,61869,2086,23397,1535,20843,1711,2554,696,38472,1488,19933,1970,18539,1691,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,207636,928,113685,2519,31763,1929,29410,1940,2353,763,81922,1841,35841,3314,46081,3092,93951,2287,28702,1666,26279,1667,2423,820,65249,1338,32604,2224,32645,2231,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18451,699,8730,1161,3227,668,3052,649,175,180,5503,909,4711,987,792,448,9721,977,3628,742,3319,643,309,321,6093,683,5066,799,1027,487,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,510448,665,264826,1552,81651,1501,71936,1868,9715,1894,183175,953,50774,3239,132401,3172,245622,1699,80473,1538,72101,2725,8372,1912,165149,874,50666,3640,114483,3641,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,673885,1080,332458,1104,112456,763,104356,1811,8100,1687,220002,855,120044,4567,99958,4527,341427,1273,106274,977,97466,1852,8808,1740,235153,782,137110,3700,98043,3649,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,454918,615,230788,1862,87975,1438,83406,1699,4569,1063,142813,974,90915,3471,51898,3427,224130,1777,85219,1393,80002,1693,5217,1085,138911,904,94453,2717,44458,2677,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,264025,630,136281,1766,52554,1564,47758,1825,4796,1063,83727,1330,36558,2832,47169,2572,127744,1804,54393,1559,49302,1844,5091,1094,73351,1242,33745,2101,39606,2046,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,80121,2453,43967,2622,12305,1355,10745,1199,1560,573,31662,2173,15051,2069,16611,2048,36154,1905,15454,1512,14634,1503,820,420,20700,1373,12231,1419,8469,1251,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,221519,1600,116086,2277,42972,1609,40985,1504,1987,696,73114,1883,43273,2482,29841,2907,105433,2170,38907,1654,35964,1898,2943,1051,66526,1689,40157,2616,26369,2594,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31465,373,14757,1098,4809,603,4685,628,124,157,9948,1023,8629,1169,1319,576,16708,1152,6136,819,6103,823,33,49,10572,972,9346,1115,1226,434,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,178884,494,94252,1315,38145,1157,35162,1457,2983,946,56107,841,23622,1817,32485,1930,84632,1300,34491,1109,31773,1402,2718,917,50141,838,22892,1962,27249,1710,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,752051,-555555555,385264,1231,136572,901,125835,1946,10737,1818,248692,731,99163,4855,149529,4929,366787,1230,129921,901,121996,1656,7925,1458,236866,730,102878,4270,133988,4114,Nevada,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
