GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001MA,C17001D_001EA,C17001D_002EA,C17001D_002MA,C17001D_003EA,C17001D_003MA,C17001D_004EA,C17001D_004MA,C17001D_005EA,C17001D_005MA,C17001D_006EA,C17001D_006MA,C17001D_007MA,C17001D_007EA,C17001D_008EA,C17001D_008MA,C17001D_009MA,C17001D_009EA,C17001D_010EA,C17001D_010MA,C17001D_011EA,C17001D_011MA,C17001D_012MA,C17001D_012EA,C17001D_013MA,C17001D_013EA,C17001D_014EA,C17001D_014MA,C17001D_015EA,C17001D_015MA,C17001D_016EA,C17001D_016MA,C17001D_017EA,C17001D_017MA,C17001D_018MA,C17001D_018EA,C17001D_019EA,C17001D_019MA,state
0400000US06,5043907,18224,622673,20877,282192,11536,68923,5105,182096,8918,31173,2710,340481,11441,61758,4212,226061,8353,52662,2495,4421234,26760,2101320,15177,446439,6919,1415822,10076,239059,3529,2319914,14670,429743,6383,1582259,10049,307912,2937,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,143812,4363,16690,3795,7535,2099,2119,1304,5082,1249,334,174,9155,2157,2629,1223,6086,1204,440,333,127122,4616,58024,2739,13587,1357,40221,1882,4216,496,69098,2749,15333,1623,46757,1802,7008,671,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,143823,2378,8024,2133,3559,1026,674,361,2791,877,94,95,4465,1473,1012,658,3191,1018,262,208,135799,3031,65472,1733,17314,1137,44166,1360,3992,184,70327,1849,17450,1079,48030,1310,4847,512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30260,1663,2005,1087,860,536,241,282,526,351,93,97,1145,749,0,182,1056,740,89,114,28255,2067,13290,1147,3160,650,9020,764,1110,199,14965,1259,3494,571,9969,859,1502,293,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19257,1733,2311,790,937,383,27,45,862,373,48,81,1374,588,36,63,1163,549,175,156,16946,1475,6869,870,720,355,5609,726,540,81,10077,977,1213,503,8320,673,544,259,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,482890,7949,61662,8959,29213,5088,6623,1682,19326,3540,3264,1067,32449,4928,6998,1944,22036,3250,3415,848,421228,12148,192514,6590,43995,2905,131189,4552,17330,1601,228714,7266,44780,3624,157641,4687,26293,1776,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,327699,5813,51121,6303,24216,3289,7403,1587,15314,2017,1499,630,26905,3697,7810,1594,17409,2515,1686,501,276578,7721,132263,4649,32675,2341,90529,3292,9059,812,144315,4089,32912,2303,101613,3113,9790,1078,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,524077,10326,38041,5082,14738,2843,4095,1591,7664,1592,2979,956,23303,2922,3361,1282,14492,1826,5450,1117,486036,10722,228398,5755,37423,2482,143772,4419,47203,1189,257638,6519,33114,2804,160362,3977,64162,1756,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20037,2702,3097,1384,1293,621,122,128,1171,589,0,187,1804,907,453,373,1351,607,0,187,16940,2565,7559,1591,1594,654,5718,1213,247,149,9381,1476,1453,605,7282,1183,646,358,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,604176,6542,74334,6748,34100,3723,8088,1905,23501,2680,2511,879,40234,3922,6872,1601,28806,2948,4556,890,529842,9188,257184,5100,59734,2808,173099,3336,24351,1198,272658,5800,57715,2865,187380,3811,27563,1209,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
