GEO_ID,C19001H_001E,C19001H_001M,C19001H_002E,C19001H_002M,C19001H_003E,C19001H_003M,C19001H_004E,C19001H_004M,C19001H_005E,C19001H_005M,C19001H_006E,C19001H_006M,C19001H_007E,C19001H_007M,C19001H_008E,C19001H_008M,C19001H_009E,C19001H_009M,C19001H_010E,C19001H_010M,C19001H_011E,C19001H_011M,NAME,C19001H_001MA,C19001H_001EA,C19001H_002EA,C19001H_002MA,C19001H_003EA,C19001H_003MA,C19001H_004EA,C19001H_004MA,C19001H_005EA,C19001H_005MA,C19001H_006MA,C19001H_006EA,C19001H_007MA,C19001H_007EA,C19001H_008EA,C19001H_008MA,C19001H_009EA,C19001H_009MA,C19001H_010EA,C19001H_010MA,C19001H_011MA,C19001H_011EA,state
0400000US06,6325940,21110,322545,8921,290340,8406,530920,10919,509522,11382,706793,11864,1048754,14000,799543,12631,1028805,16301,494679,8882,594039,8862,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1532181,7677,81859,3836,61261,2904,130230,5738,134123,5809,201768,6801,293206,7493,210695,6031,233557,5453,94429,4903,91053,4066,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1018149,6486,39703,3001,37331,3009,73441,4025,72484,3954,105662,4355,173417,5994,140590,4541,188949,6180,83958,4715,102614,4453,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239952,3154,10236,1337,8294,1233,23176,2160,21432,1942,31273,2424,45343,2813,35388,2841,39278,2812,13906,1835,11626,1277,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108213,2429,4237,1077,1307,491,3128,772,4716,1223,7212,1302,12985,1782,12944,1505,24031,1718,13129,1693,24524,1810,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4668029,19568,296507,9197,252554,7928,539240,9834,527305,9672,698455,11406,877429,15808,541724,10449,542902,11766,184127,6868,207786,6326,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2118331,11928,140299,5586,106574,5333,208469,6569,207303,7022,288819,9128,400530,9935,261295,7355,282855,7564,108463,5216,113724,4842,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,140124,2892,9656,1506,3824,935,11991,1831,9289,1412,16879,1955,25470,2125,20533,2328,23439,1806,9416,1149,9627,1441,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,515695,4816,33610,2894,30275,2926,62366,3596,63625,3474,82092,3982,105722,4480,59575,3543,51515,3196,14869,2043,12046,1799,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3330225,12229,178734,5771,141494,4628,315132,7238,292522,8458,422245,9012,612728,10525,459791,9949,503838,10407,199221,5935,204520,5676,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
