GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001MA,B09002_001EA,B09002_002MA,B09002_002EA,B09002_003EA,B09002_003MA,B09002_004EA,B09002_004MA,B09002_005EA,B09002_005MA,B09002_006EA,B09002_006MA,B09002_007MA,B09002_007EA,B09002_008EA,B09002_008MA,B09002_009EA,B09002_009MA,B09002_010EA,B09002_010MA,B09002_011EA,B09002_011MA,B09002_012MA,B09002_012EA,B09002_013EA,B09002_013MA,B09002_014EA,B09002_014MA,B09002_015EA,B09002_015MA,B09002_016EA,B09002_016MA,B09002_017EA,B09002_017MA,B09002_018EA,B09002_018MA,B09002_019EA,B09002_019MA,B09002_020EA,B09002_020MA,state
0400000US06,7977205,21629,5592175,41013,853843,12891,636784,11938,309917,8866,1881489,22189,1910142,21791,2385030,37393,629605,20070,116337,6396,73916,4998,36260,3251,195097,9856,207995,9011,1755425,34977,216405,9141,183304,8415,94621,5552,594628,14368,666467,16478,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1114650,7742,807098,11992,134463,5101,92726,3858,46581,3071,281113,8208,252215,6591,307552,11659,71737,5649,10747,1810,8413,1471,2875,793,25295,3533,24407,2990,235815,11033,27903,3099,21888,2735,15364,2489,86962,5760,83698,5795,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,724029,4524,504177,9672,70341,3252,49348,2949,27067,2229,176222,5350,181199,5162,219852,8950,42773,4194,6321,1107,5007,1328,2223,774,12290,1923,16932,2675,177079,8001,19015,2220,18455,2170,10433,1568,56182,4442,72994,4398,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,173460,3416,115020,4662,18675,1933,11920,1551,6167,1072,39528,3151,38730,2835,58440,4933,14356,2592,2780,958,2116,846,460,382,4357,1432,4643,1028,44084,4469,7005,1362,4002,1116,2119,742,14165,2278,16793,2329,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,90972,2669,44600,3085,12561,1358,6883,1223,3144,974,12801,1553,9211,1815,46372,3628,5969,1703,1038,610,851,633,211,201,1475,659,2394,934,40403,3681,5837,1312,5157,1215,2611,789,13359,1566,13439,1822,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3487392,15622,2231884,30544,331318,9413,239376,7777,119053,6612,768060,15288,774077,17748,1255508,29441,258953,12833,46349,4804,27993,3562,16083,2533,81712,5740,86816,6600,996555,25656,144307,7389,108031,6411,57230,4842,328906,14499,358081,12550,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2156247,15628,1413154,20242,207403,6505,161823,5820,85740,4950,480850,10242,477338,10748,743093,18784,130274,10013,23203,3369,14952,2116,6681,1580,42139,4831,43299,4525,612819,18955,76382,4994,65392,4726,36231,3667,218284,9762,216530,9105,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,235971,4737,173755,5795,29737,2286,19487,2114,10687,1687,54536,2838,59308,3573,62216,5236,14105,2382,3236,1020,1899,761,765,316,4860,1141,3345,929,48111,4807,7079,1282,5862,1177,3426,884,16967,2373,14777,2313,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,391261,4290,294705,7212,45968,2876,32735,2253,16672,2363,103531,4347,95799,4145,96556,7372,26902,4557,4374,1633,2786,1291,1353,852,7786,1687,10603,2330,69654,6623,10220,1902,7764,1545,4069,1021,23238,3105,24363,3530,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2725137,12027,1913380,20127,284390,7897,208677,5408,103438,5137,651986,9634,664889,11892,811757,19247,174942,9149,35201,3393,19384,2662,9405,1489,53202,4346,57750,4157,636815,18312,76916,4583,68600,4526,34794,3078,216932,8443,239573,8169,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1421751,7921,976936,13980,144070,5531,102743,3842,56375,4079,334029,8013,339719,7346,444815,14640,104155,7871,18595,2333,13203,2262,4518,926,31622,4297,36217,3161,340660,13325,49495,3630,37468,3507,21197,2777,117258,6424,115242,5246,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,666729,5246,482679,7693,77106,2904,53914,2735,26329,2002,165106,4996,160224,4525,184050,7565,49620,3861,8886,1314,4687,775,2867,664,17238,2367,15942,1908,134430,6789,18191,1924,15962,1961,7900,1343,47463,3914,44914,3033,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
