GEO_ID,C05003A_001E,C05003A_001M,C05003A_002E,C05003A_002M,C05003A_003E,C05003A_003M,C05003A_004E,C05003A_004M,C05003A_005E,C05003A_005M,C05003A_006E,C05003A_006M,C05003A_007E,C05003A_007M,C05003A_008E,C05003A_008M,C05003A_009E,C05003A_009M,C05003A_010E,C05003A_010M,C05003A_011E,C05003A_011M,C05003A_012E,C05003A_012M,C05003A_013E,C05003A_013M,C05003A_014E,C05003A_014M,C05003A_015E,C05003A_015M,NAME,C05003A_001EA,C05003A_001MA,C05003A_002EA,C05003A_002MA,C05003A_003MA,C05003A_003EA,C05003A_004MA,C05003A_004EA,C05003A_005MA,C05003A_005EA,C05003A_006MA,C05003A_006EA,C05003A_007EA,C05003A_007MA,C05003A_008MA,C05003A_008EA,C05003A_009MA,C05003A_009EA,C05003A_010MA,C05003A_010EA,C05003A_011MA,C05003A_011EA,C05003A_012EA,C05003A_012MA,C05003A_013MA,C05003A_013EA,C05003A_014MA,C05003A_014EA,C05003A_015EA,C05003A_015MA,state
0400000US06,23628545,58000,11812634,34476,2717382,16781,2603479,18439,113903,6915,9095252,22737,6973026,22351,2122226,23799,11815911,30485,2596783,16346,2493470,16526,103313,5881,9219128,20113,7032216,22412,2186912,22300,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4376673,16745,2190986,8721,501946,4715,491623,4806,10323,1886,1689040,5734,1552793,7036,136247,6947,2185687,10077,474026,5633,464672,5311,9354,1789,1711661,5578,1574039,6633,137622,6498,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2804972,10799,1364400,6880,287862,3341,280404,3644,7458,1622,1076538,5212,961834,6317,114704,6038,1440572,5830,274552,2878,268538,2949,6014,1307,1166020,3985,1042897,6205,123123,5534,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639294,3995,311246,2310,63361,1118,61514,1349,1847,780,247885,1738,234032,1792,13853,2096,328048,2520,61022,1502,60168,1496,854,544,267026,1613,253336,1771,13690,1833,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250657,4014,123557,2363,13749,918,13133,971,616,442,109808,1871,93570,1973,16238,2474,127100,2132,14051,772,13379,797,672,385,113049,1747,96550,2047,16499,2186,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14742516,22798,7229755,13852,1390077,7445,1323314,8020,66763,4595,5839678,10285,4723294,17399,1116384,16755,7512761,13815,1323750,7444,1262189,8806,61561,4590,6189011,9642,4952405,14819,1236606,14364,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5992846,16084,2966879,10646,688874,6696,676013,6118,12861,2305,2278005,6900,2095552,6931,182453,9418,3025967,8835,656646,5630,644496,5627,12150,2291,2369321,5354,2200480,6300,168841,6453,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,347252,2786,190751,1661,23840,1092,23426,1119,414,328,166911,1355,154859,2138,12052,1773,156501,1844,22968,1007,22484,1057,484,349,133533,1421,122877,1814,10656,1309,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1458371,6843,727771,3940,192748,2650,190283,2702,2465,1186,535023,2486,506615,3261,28408,3376,730600,4339,184497,2393,182751,2366,1746,702,546103,2948,516982,3558,29121,3176,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9358637,24157,4611261,12927,1043744,7006,1021436,7221,22308,2682,3567517,8127,3115375,10603,452142,9969,4747376,13567,996655,7210,974652,7090,22003,3143,3750721,8311,3301686,8869,449035,10127,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5513003,9610,2715818,5555,643300,3949,638767,4175,4533,978,2072518,4256,2011418,4669,61100,4681,2797185,5854,607352,3483,602567,3521,4785,1350,2189833,3543,2130999,4456,58834,4373,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2817947,5797,1388761,3878,321450,2580,318827,2520,2623,724,1067311,2563,1039719,3131,27592,2533,1429186,3496,307993,2343,305944,2235,2049,568,1121193,1969,1092924,2395,28269,2753,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2468884,7141,1223001,3837,300371,2505,296686,2479,3685,1109,922630,2616,877197,2928,45433,3312,1245883,4580,284748,2804,281039,2779,3709,887,961135,2413,917160,2550,43975,2591,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3844617,5968,1889866,3922,436961,2648,433769,2846,3192,1184,1452905,2450,1425317,2815,27588,2563,1954751,4180,410638,2529,407238,2738,3400,1036,1544113,2459,1515356,2940,28757,2569,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2891506,6690,1431105,4961,319946,2792,317863,2774,2083,699,1111159,3884,1068582,3690,42577,3853,1460401,3761,302656,2241,300621,2199,2035,770,1157745,2820,1122293,3198,35452,2720,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1264328,1246,618054,925,124948,625,124266,791,682,492,493106,706,482079,1718,11027,1510,646274,1041,117710,672,117134,733,576,403,528564,723,512999,1705,15565,1564,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
