GEO_ID,C24010B_001E,C24010B_001M,C24010B_002E,C24010B_002M,C24010B_003E,C24010B_003M,C24010B_004E,C24010B_004M,C24010B_005E,C24010B_005M,C24010B_006E,C24010B_006M,C24010B_007E,C24010B_007M,C24010B_008E,C24010B_008M,C24010B_009E,C24010B_009M,C24010B_010E,C24010B_010M,C24010B_011E,C24010B_011M,C24010B_012E,C24010B_012M,C24010B_013E,C24010B_013M,NAME,C24010B_001MA,C24010B_001EA,C24010B_002MA,C24010B_002EA,C24010B_003MA,C24010B_003EA,C24010B_004MA,C24010B_004EA,C24010B_005EA,C24010B_005MA,C24010B_006EA,C24010B_006MA,C24010B_007EA,C24010B_007MA,C24010B_008MA,C24010B_008EA,C24010B_009MA,C24010B_009EA,C24010B_010EA,C24010B_010MA,C24010B_011EA,C24010B_011MA,C24010B_012EA,C24010B_012MA,C24010B_013EA,C24010B_013MA,state
0400000US06,845887,12355,406310,7792,125338,5822,84776,4641,89740,5262,38672,3186,67784,4352,439577,8023,169833,6097,98534,4539,149700,5287,2159,781,19351,2534,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88519,3830,46619,2749,12463,1757,11134,1554,10773,1717,4268,1171,7981,1533,41900,2333,11596,1644,11703,1759,16020,1881,0,189,2581,718,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,154933,4608,68564,2791,15286,1977,17621,2648,13721,2117,7018,1590,14918,2193,86369,2981,29552,2608,28257,2780,23543,2419,351,330,4666,1166,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88009,2889,39635,2034,9404,2091,10140,1657,7206,1596,3737,1094,9148,1475,48374,2003,17037,1944,13047,1687,14687,1665,238,258,3365,941,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117651,4437,51980,2816,18509,2282,11963,1592,9506,1450,3674,1061,8328,1397,65671,2768,26940,2099,14717,2071,21597,2331,429,412,1988,784,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1208229,16591,554235,10194,112084,5515,147413,6418,111318,6631,74095,5373,109325,5662,653994,10837,194130,6260,199232,7138,226778,8723,4266,1070,29588,3196,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1208178,16072,548899,9589,119023,6553,108018,5665,110668,6599,65150,5184,146040,6660,659279,9826,218085,7430,153675,6838,227125,7949,5237,1350,55157,3596,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9518,1558,6576,1227,2165,693,1247,743,1762,900,787,491,615,486,2942,803,1534,566,248,194,1109,627,51,87,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4089,1027,2701,871,1188,735,289,254,92,124,777,816,355,285,1388,664,458,405,288,297,642,444,0,187,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,665696,8572,285559,5387,72585,4817,64311,3938,54690,4052,22218,2262,71755,3959,380137,7147,124106,5184,102267,5185,124434,5411,1010,429,28320,2239,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
