GEO_ID,C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,NAME,C17021_001MA,C17021_001EA,C17021_002EA,C17021_002MA,C17021_003EA,C17021_003MA,C17021_004MA,C17021_004EA,C17021_005MA,C17021_005EA,C17021_006MA,C17021_006EA,C17021_007EA,C17021_007MA,C17021_008EA,C17021_008MA,C17021_009EA,C17021_009MA,C17021_010MA,C17021_010EA,C17021_011MA,C17021_011EA,C17021_012MA,C17021_012EA,C17021_013EA,C17021_013MA,C17021_014EA,C17021_014MA,C17021_015MA,C17021_015EA,state
0400000US06,37303266,7131,6325319,64334,4937392,61258,2227327,44872,2710065,47026,652697,24260,2057368,41166,1387927,23530,30977947,64509,26776183,76846,20030212,96585,6745971,76211,2271770,47476,4474201,63676,4201764,37389,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5069071,2557,694842,20406,475262,20875,206067,14752,269195,16898,62448,7599,206747,15870,219580,7975,4374229,20336,3641503,24429,2899189,32607,742314,23738,236459,13652,505855,20390,732726,13156,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3484178,1411,372390,14270,261294,15071,78546,9399,182748,11728,24404,4665,158344,10893,111096,6058,3111788,14576,2645958,18992,2038776,25993,607182,17897,179327,11974,427855,16361,465830,11393,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890738,1221,107307,7877,75090,7733,26293,5852,48797,5865,8866,2220,39931,5827,32217,3511,783431,7770,665580,8983,496231,13480,169349,12319,48900,6797,120449,9512,117851,5564,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,598151,630,108732,7746,65016,6297,10136,3604,54880,5939,6214,2137,48666,5848,43716,4069,489419,7620,313161,8903,183461,8434,129700,8917,25869,4593,103831,8068,176258,5673,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18912479,5600,3238581,49032,2372155,47284,907815,33801,1464340,39083,280793,18073,1183547,36874,866426,18146,15673898,48471,13099012,55055,9697699,67252,3401313,54539,933108,36178,2468205,39607,2574886,28540,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9652596,3256,1848533,37552,1465459,38222,512832,25926,952627,33890,154736,11386,797891,32477,383074,10040,7804063,37411,6754680,38078,5136477,49945,1618203,38168,432581,21864,1185622,34290,1049383,19180,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1356822,1094,157243,9661,115254,8536,51219,5468,64035,7193,12548,3025,51487,7104,41989,3078,1199579,9654,1046158,11139,785891,18023,260267,16095,79911,8347,180356,13307,153421,6792,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1565511,1631,248494,13813,184320,12938,93328,9344,90992,9064,17237,3298,73755,8976,64174,4201,1317017,13659,1147583,16047,959208,17445,188375,11971,63328,8629,125047,10164,169434,7285,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12573676,4182,1850562,32138,1366858,31214,480451,23557,886407,23900,160684,11517,725723,22690,483704,12484,10723114,32834,9137741,37112,7122891,53849,2014850,39942,599804,24069,1415046,31864,1585373,19563,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6342423,3178,990325,21187,725375,20817,257402,13944,467973,18305,96113,8837,371860,17445,264950,7519,5352098,21176,4574133,23020,3648949,34063,925184,25446,284492,13785,640692,23339,777965,15429,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2974225,2122,377484,13405,243674,13346,87197,7289,156477,10117,32866,4445,123611,8730,133810,5499,2596741,13372,2181567,14496,1800827,17429,380740,14100,121937,8664,258803,11761,415174,9268,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2802207,2002,391734,12565,272036,11863,106534,8672,165502,9868,38591,4909,126911,9127,119698,5019,2410473,12906,2043701,15472,1669961,20080,373740,14307,125060,9058,248680,11535,366772,8629,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4247103,3119,823197,22937,602317,20276,228583,13737,373734,16377,65073,7122,308661,15228,220880,8895,3423906,23170,2943812,23148,2348396,24803,595416,19009,182262,10121,413154,15786,480094,10195,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4471142,2830,891981,23215,668374,22296,163468,11972,504906,19447,75857,8215,429049,19065,223607,8648,3579161,23441,3061143,22713,2220667,30379,840476,30164,237893,16984,602583,24958,518018,9806,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293457,1275,189786,9666,123125,8545,51808,6941,71317,7225,16756,3885,54561,6032,66661,4004,1103671,9544,902179,9834,735203,13129,166976,10959,57348,5780,109628,9121,201492,5152,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5744445,2780,590803,19639,422054,18881,121240,12247,300814,13237,56199,7723,244615,13321,168749,7218,5153642,20190,4395545,25280,3241613,33245,1153932,28603,317497,16552,836435,23854,758097,14031,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6414762,2601,762645,18273,484055,17199,137911,11322,346144,15689,49730,7521,296414,15482,278590,7654,5652117,18568,4686366,21341,3652328,30716,1034038,27526,287581,15424,746457,24593,965751,16513,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
