GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001MA,B12002B_001EA,B12002B_002MA,B12002B_002EA,B12002B_003MA,B12002B_003EA,B12002B_004MA,B12002B_004EA,B12002B_005MA,B12002B_005EA,B12002B_006MA,B12002B_006EA,B12002B_007MA,B12002B_007EA,B12002B_008MA,B12002B_008EA,B12002B_009MA,B12002B_009EA,B12002B_010EA,B12002B_010MA,B12002B_011MA,B12002B_011EA,B12002B_012EA,B12002B_012MA,B12002B_013MA,B12002B_013EA,state
0400000US06,1829661,11312,895586,6759,443770,7766,291641,7580,33433,3688,21285,1888,105457,5132,934075,7126,448972,7230,226318,7204,41888,3765,77488,3332,139409,5360,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166443,3631,88494,2688,39432,2858,34794,2615,3022,1160,1345,465,9901,1520,77949,2408,34373,2070,21702,2406,3374,1191,4991,804,13509,1401,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,287701,4573,134660,2670,72166,3081,45101,2994,3766,1029,2246,737,11381,1578,153041,2874,77952,3930,38949,2779,5083,1196,10014,1226,21043,2150,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,153625,1893,70914,1035,33485,1733,25770,1786,2169,946,2081,506,7409,1287,82711,1317,39294,1989,23507,2032,3056,925,5327,907,11527,1480,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,257744,1803,113627,1092,67597,2073,24982,2043,3976,1037,3825,869,13247,1800,144117,1105,80083,2464,25906,1940,4378,1007,15258,1381,18492,1944,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2410007,11784,1135782,8796,569405,10549,386784,8948,42260,3432,25654,2687,111679,5930,1274225,7004,590727,8651,344962,7982,59231,4455,99118,4581,180187,7234,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2356512,8691,1082647,6210,535494,9104,368955,8416,41300,3857,24667,2750,112231,6205,1273865,5518,583792,9649,342498,11196,62923,4990,97704,4471,186948,7499,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,19760,1247,13497,925,4747,974,6410,1189,819,693,183,149,1338,622,6263,725,2406,649,2990,645,37,83,109,129,721,399,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6933,965,4988,858,2230,1015,1604,784,445,342,206,298,503,315,1945,791,1216,586,337,190,0,187,257,403,135,134,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1460035,6557,671483,4349,379297,6378,185264,5617,24338,2702,16918,1604,65666,3921,788552,4311,409633,6114,167721,5638,37472,2917,73871,2929,99855,4474,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
