GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001MA,B16005I_001EA,B16005I_002MA,B16005I_002EA,B16005I_003MA,B16005I_003EA,B16005I_004MA,B16005I_004EA,B16005I_005EA,B16005I_005MA,B16005I_006MA,B16005I_006EA,B16005I_007MA,B16005I_007EA,B16005I_008EA,B16005I_008MA,B16005I_009MA,B16005I_009EA,B16005I_010EA,B16005I_010MA,B16005I_011MA,B16005I_011EA,state
0400000US30,28815,733,26125,1110,21887,1614,4238,998,3519,941,719,461,2690,788,657,464,2033,705,1005,440,1028,475,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,154956,1107,89723,3507,41852,3129,47871,3555,38116,3305,9755,1839,65233,3245,2585,909,62648,3160,17456,2163,45192,2830,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,675838,1206,374391,7386,148614,7822,225777,7404,194432,7426,31345,3542,301447,7491,9918,1865,291529,7667,97156,4631,194373,7397,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,35820,1008,25770,2125,15185,2337,10585,1780,8236,1572,2349,972,10050,1780,1150,599,8900,1711,3234,893,5666,1461,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1498023,689,797327,12996,243559,9901,553768,12104,443734,11521,110034,5706,700696,13020,25957,3017,674739,12873,208129,7339,466610,12800,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,895619,133,749874,7705,379102,11758,370772,9420,321248,8465,49524,4140,145745,7710,6198,1604,139547,7413,48868,4296,90679,5830,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3256337,1415,1849043,15863,583208,17614,1265835,17505,1013473,18187,252362,9182,1407294,15840,68525,5162,1338769,16020,381077,10508,957692,16124,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,744302,2457,354868,7187,127559,8048,227309,7696,172474,7748,54835,4957,389434,7263,17318,2656,372116,7550,107645,5954,264471,8579,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,14331,777,11495,923,8031,965,3464,668,3209,650,255,162,2836,746,577,376,2259,671,780,452,1479,485,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,331469,2047,253310,4874,151664,6158,101646,5203,74170,4202,27476,2817,78159,4686,6662,1520,71497,4725,24339,2862,47158,4281,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,312756,1165,190805,4441,96680,4611,94125,3770,75939,3236,18186,2217,121951,4174,4722,894,117229,4236,31401,2229,85828,3983,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,421210,1159,255342,7344,135068,7234,120274,6323,99733,6486,20541,3041,165868,7164,5834,1422,160034,7167,53328,4481,106706,6751,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,698116,1220,525358,9884,212898,8810,312460,9502,218150,8574,94310,6483,172758,9752,15777,2401,156981,9466,52197,4465,104784,8114,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,124885,480,68619,3465,19801,2704,48818,3379,38678,3031,10140,1946,56266,3446,1951,698,54315,3551,14689,1922,39626,3419,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,219499,2748,110929,4759,53870,4643,57059,3856,46187,3541,10872,2097,108570,5049,6297,1566,102273,5160,35077,3440,67196,4900,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,21911,1013,16492,1289,11509,1657,4983,1167,2966,847,2017,694,5419,1081,538,350,4881,1021,1054,389,3827,931,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,267983,3405,138434,6874,65307,5725,73127,5213,58145,4501,14982,2464,129549,5916,6438,1488,123111,5943,41723,4382,81388,4961,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
