GEO_ID,C19001I_001E,C19001I_001M,C19001I_002E,C19001I_002M,C19001I_003E,C19001I_003M,C19001I_004E,C19001I_004M,C19001I_005E,C19001I_005M,C19001I_006E,C19001I_006M,C19001I_007E,C19001I_007M,C19001I_008E,C19001I_008M,C19001I_009E,C19001I_009M,C19001I_010E,C19001I_010M,C19001I_011E,C19001I_011M,NAME,C19001I_001MA,C19001I_001EA,C19001I_002EA,C19001I_002MA,C19001I_003EA,C19001I_003MA,C19001I_004EA,C19001I_004MA,C19001I_005EA,C19001I_005MA,C19001I_006MA,C19001I_006EA,C19001I_007EA,C19001I_007MA,C19001I_008EA,C19001I_008MA,C19001I_009EA,C19001I_009MA,C19001I_010EA,C19001I_010MA,C19001I_011MA,C19001I_011EA,state
0400000US06,3504293,15006,230183,7584,219216,6756,481140,10212,433275,11335,578608,13878,652814,11588,382522,9869,358582,9123,104646,4584,63307,3691,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,307342,5118,30018,2720,20311,2223,46970,2946,40897,3148,49322,3364,51936,3441,32686,2921,25777,2550,5973,1116,3452,774,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150939,3407,21622,2305,13121,1676,20483,2435,17600,2162,19802,2352,23383,2765,12772,1944,12707,1291,5271,1343,4178,880,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19698,1375,1858,654,947,531,1777,597,2519,782,3311,874,4260,1047,2161,569,1916,775,538,284,411,335,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20748,1813,1603,695,915,530,1687,627,2299,866,3797,1035,2950,890,1398,606,3005,1011,1432,565,1662,684,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1328169,11752,131092,6453,92849,5290,204282,7546,183237,6582,211464,7460,219863,7304,121328,5885,102751,5212,31103,2870,30200,2499,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,221261,5678,19830,2972,14179,2486,42805,4244,31124,3417,34981,3156,36892,3692,19224,2891,13935,2429,5197,1348,3094,962,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32646,2004,1621,585,2590,837,4041,1212,2457,802,5530,1126,6145,1219,4487,1024,3922,771,968,404,885,365,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,44979,2277,4957,1270,1898,737,8807,1566,7820,1529,7660,1573,8136,1355,3017,952,2043,907,392,205,249,227,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,526736,7799,35962,3190,24600,2858,68773,4102,71119,4135,91900,5235,104495,5129,60244,3398,48353,3857,12909,1436,8381,1326,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,104739,3221,11007,1818,6125,1394,14068,1993,12643,1669,19736,2419,18863,2068,11573,1538,7060,1334,2720,908,944,605,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,40398,2070,3765,993,2179,801,5900,1246,7175,1332,7493,1375,7630,1371,2864,789,2427,625,324,232,641,451,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,78362,2784,5066,1107,5406,1066,11427,1607,12674,1829,16260,2002,15013,1783,6482,1244,4038,883,971,467,1025,471,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,35992,2037,4162,952,2957,793,5286,1178,5289,1196,5535,1429,5842,1215,3880,989,2242,697,362,280,437,281,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
