GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001MA,B27001H_001EA,B27001H_002MA,B27001H_002EA,B27001H_003MA,B27001H_003EA,B27001H_004EA,B27001H_004MA,B27001H_005EA,B27001H_005MA,B27001H_006EA,B27001H_006MA,B27001H_007MA,B27001H_007EA,B27001H_008MA,B27001H_008EA,B27001H_009EA,B27001H_009MA,B27001H_010EA,B27001H_010MA,B27001H_011EA,B27001H_011MA,B27001H_012MA,B27001H_012EA,B27001H_013MA,B27001H_013EA,B27001H_014EA,B27001H_014MA,B27001H_015EA,B27001H_015MA,B27001H_016EA,B27001H_016MA,B27001H_017EA,B27001H_017MA,B27001H_018MA,B27001H_018EA,B27001H_019MA,B27001H_019EA,B27001H_020EA,B27001H_020MA,B27001H_021EA,B27001H_021MA,B27001H_022EA,B27001H_022MA,B27001H_023MA,B27001H_023EA,B27001H_024MA,B27001H_024EA,B27001H_025EA,B27001H_025MA,B27001H_026EA,B27001H_026MA,B27001H_027EA,B27001H_027MA,B27001H_028EA,B27001H_028MA,state
0400000US06,14689060,10205,763116,5747,730349,7214,32767,4112,1689700,5696,1597263,8809,92437,7612,1218004,3755,1014197,9596,203807,8798,1836114,4369,1454751,9190,381363,8737,1800219,3151,1552162,9203,248057,8745,2342307,2359,2021614,8637,320693,8266,2294510,2189,2044339,6995,250171,6506,1486057,1842,1477116,2327,8941,1418,1259033,2777,1255226,2945,3807,1051,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3547973,3954,227830,3412,216662,3910,11168,2070,476114,3229,446623,5365,29491,4001,312544,2013,258213,3807,54331,3555,489671,2638,395292,5037,94379,4381,475381,1819,411692,4412,63689,4247,541848,1495,471619,4423,70229,4274,521232,748,463362,3702,57870,3609,295498,1044,294334,1215,1164,545,207855,1127,207743,1134,112,138,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2477338,3098,128681,2311,125955,2350,2726,796,341412,2552,331757,3837,9655,2819,203177,885,185797,2995,17380,2845,257833,1319,223699,2720,34134,2683,297936,892,273184,2404,24752,2367,426782,1022,390613,3049,36169,2992,379695,650,355077,2238,24618,2145,233824,719,232674,800,1150,567,207998,965,206957,1363,1041,846,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,581288,1633,33659,1071,32694,1207,965,497,72567,1097,70883,1269,1684,775,53682,430,47620,1710,6062,1735,65976,790,56072,1745,9904,1613,65832,596,60777,1134,5055,1137,89956,465,81126,1838,8830,1691,87846,389,80662,1467,7184,1416,64134,597,64126,603,8,14,47636,509,47636,509,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,219516,1073,11653,467,11653,467,0,197,10011,458,9965,465,46,77,31649,451,30759,607,890,446,69759,589,66831,1352,2928,1159,32376,626,31312,811,1064,568,21731,246,21077,461,654,385,19881,567,19112,676,769,381,13369,127,13369,127,0,197,9087,86,9046,112,41,69,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10810873,8269,542877,6138,506848,6133,36029,3962,1236618,6179,1125286,9142,111332,7789,828216,2550,613814,8053,214402,8409,1125791,3292,813730,10338,312061,9888,1186515,2255,931911,8866,254604,8959,1599895,2335,1273350,11060,326545,10705,1659288,1663,1412630,8349,246658,8057,1408402,1556,1400690,2082,7712,1429,1223271,2185,1219615,2331,3656,1191,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5370784,4614,357323,4482,338235,4651,19088,3075,790957,4423,737212,5946,53745,4322,474041,3503,367914,6234,106127,5519,649771,4593,478850,7911,170921,7540,719385,2934,583532,6531,135853,6774,817542,2259,674831,7532,142711,7295,738565,869,639420,5325,99145,5216,494566,1265,493087,1334,1479,560,328634,1744,327776,1820,858,538,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,291072,2030,15925,688,15686,683,239,264,24279,815,23341,917,938,447,21749,973,18985,1101,2764,896,43571,1570,38424,1722,5147,1065,36106,754,31508,1279,4598,1160,43634,429,38865,1422,4769,1345,54036,309,48978,1083,5058,1132,32489,202,32326,272,163,159,19283,482,19283,482,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1316290,1359,103948,2141,97310,2722,6638,1985,220806,2225,204075,3372,16731,3017,121595,1100,95623,3135,25972,2979,165507,1324,127874,3406,37633,3484,158169,901,123881,3261,34288,3231,175224,738,142073,3185,33151,3020,174809,419,150008,2298,24801,2270,114481,495,114196,548,285,275,81751,481,81578,508,173,158,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7998711,4498,493021,4048,481390,4552,11631,2120,1111001,4073,1081047,5646,29954,3514,689764,1688,599254,5513,90510,5069,1032420,2270,866522,6689,165898,6960,1001166,1731,885678,5608,115488,5444,1247757,1768,1108402,5561,139355,5224,1136293,1367,1027049,4886,109244,4729,697428,1388,693132,1825,4296,1198,589861,2385,588258,2507,1603,597,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
