GEO_ID,C27006_001E,C27006_001M,C27006_002E,C27006_002M,C27006_003E,C27006_003M,C27006_004E,C27006_004M,C27006_005E,C27006_005M,C27006_006E,C27006_006M,C27006_007E,C27006_007M,C27006_008E,C27006_008M,C27006_009E,C27006_009M,C27006_010E,C27006_010M,C27006_011E,C27006_011M,C27006_012E,C27006_012M,C27006_013E,C27006_013M,C27006_014E,C27006_014M,C27006_015E,C27006_015M,C27006_016E,C27006_016M,C27006_017E,C27006_017M,C27006_018E,C27006_018M,C27006_019E,C27006_019M,C27006_020E,C27006_020M,C27006_021E,C27006_021M,NAME,C27006_001EA,C27006_001MA,C27006_002MA,C27006_002EA,C27006_003EA,C27006_003MA,C27006_004MA,C27006_004EA,C27006_005EA,C27006_005MA,C27006_006EA,C27006_006MA,C27006_007EA,C27006_007MA,C27006_008EA,C27006_008MA,C27006_009EA,C27006_009MA,C27006_010EA,C27006_010MA,C27006_011EA,C27006_011MA,C27006_012EA,C27006_012MA,C27006_013MA,C27006_013EA,C27006_014EA,C27006_014MA,C27006_015EA,C27006_015MA,C27006_016EA,C27006_016MA,C27006_017EA,C27006_017MA,C27006_018MA,C27006_018EA,C27006_019EA,C27006_019MA,C27006_020EA,C27006_020MA,C27006_021EA,C27006_021MA,state
0400000US06,37524274,5678,18510580,6787,4711947,3872,34123,3600,4677824,5161,11816597,6723,313067,7641,11503530,10295,1982036,3012,1867624,5851,114412,5195,19013694,5371,4511541,3767,36357,4102,4475184,5314,11981784,4242,315485,9452,11666299,9564,2520369,2794,2391157,5001,129212,4345,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,2528913,4620,626825,2688,3468,1111,623357,2845,1633437,3669,43453,3051,1589984,4919,268651,1391,255619,1843,13032,1577,2565853,3561,602183,2712,3298,1207,598885,3196,1636726,2764,45015,3544,1591711,4468,326944,1422,313950,1898,12994,1468,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,1715299,2409,405052,1503,1556,638,403496,1682,1091233,2202,32528,2756,1058705,3834,219014,1191,209181,1757,9833,1322,1819320,2365,386773,1500,1602,994,385171,1614,1141926,1728,35250,2722,1106676,2894,290621,1391,277090,2088,13531,1621,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,434398,1313,104302,816,758,739,103544,995,268894,960,11915,1778,256979,2114,61202,569,59470,698,1732,493,468517,1018,100192,812,606,405,99586,976,292323,787,11287,1355,281036,1508,76002,683,74376,905,1626,486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,290874,931,54766,360,753,461,54013,599,207898,794,6024,1272,201874,1398,28210,316,26007,608,2203,527,330506,735,54416,271,695,440,53721,549,234492,636,5570,1041,228922,1066,41598,482,38170,927,3428,771,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,9208249,7257,2032111,5212,15003,2875,2017108,5856,5633240,5919,216936,7906,5416304,10057,1542898,3018,1483720,5294,59178,4425,9802821,7129,1959032,5430,13552,2627,1945480,6369,5945373,4955,233398,8337,5711975,9852,1898416,3412,1830058,5774,68358,4812,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,4691533,8342,1273249,6100,8098,1446,1265151,5906,2939296,6247,115904,6044,2823392,8393,478988,2652,463626,3506,15362,1897,5027878,8176,1218912,6320,6339,1088,1212573,6267,3177981,6012,122958,5302,3055023,7828,630985,2925,608837,3591,22148,2985,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,659117,2704,155075,898,373,385,154702,932,412707,2804,9458,1321,403249,3058,91335,939,85623,1369,5712,952,682591,1728,147490,907,910,557,146580,1102,420903,1332,10031,1260,410872,1804,114198,669,108191,1653,6007,1396,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,784512,3345,216859,2382,1222,624,215637,2390,470784,2062,19744,2400,451040,2728,96869,875,94078,1136,2791,812,791170,3288,207067,2312,602,356,206465,2442,474175,2041,18896,2244,455279,2927,109928,1077,107273,1336,2655,806,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,6204342,5323,1560473,3036,7179,1626,1553294,3636,3940161,4352,114490,4508,3825671,5799,703708,1879,673515,3199,30193,2619,6494029,5389,1498582,3071,7263,1412,1491319,3149,4066344,4048,121460,5865,3944884,6950,929103,2947,889973,3913,39130,2772,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
