GEO_ID,B19001H_001E,B19001H_001M,B19001H_002E,B19001H_002M,B19001H_003E,B19001H_003M,B19001H_004E,B19001H_004M,B19001H_005E,B19001H_005M,B19001H_006E,B19001H_006M,B19001H_007E,B19001H_007M,B19001H_008E,B19001H_008M,B19001H_009E,B19001H_009M,B19001H_010E,B19001H_010M,B19001H_011E,B19001H_011M,B19001H_012E,B19001H_012M,B19001H_013E,B19001H_013M,B19001H_014E,B19001H_014M,B19001H_015E,B19001H_015M,B19001H_016E,B19001H_016M,B19001H_017E,B19001H_017M,NAME,B19001H_001EA,B19001H_001MA,B19001H_002EA,B19001H_002MA,B19001H_003MA,B19001H_003EA,B19001H_004MA,B19001H_004EA,B19001H_005EA,B19001H_005MA,B19001H_006EA,B19001H_006MA,B19001H_007EA,B19001H_007MA,B19001H_008EA,B19001H_008MA,B19001H_009EA,B19001H_009MA,B19001H_010MA,B19001H_010EA,B19001H_011MA,B19001H_011EA,B19001H_012EA,B19001H_012MA,B19001H_013EA,B19001H_013MA,B19001H_014EA,B19001H_014MA,B19001H_015EA,B19001H_015MA,B19001H_016MA,B19001H_016EA,B19001H_017EA,B19001H_017MA,state
0400000US06,6325940,21110,322545,8921,290340,8406,261288,7602,269632,7312,245525,7991,263997,8782,239749,7135,242140,7478,224904,7056,439497,10245,609257,10035,799543,12631,621845,11341,406960,10569,494679,8882,594039,8862,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1532181,7677,81859,3836,61261,2904,61185,4017,69045,3855,61869,3729,72254,4331,66258,3580,70374,3849,65136,3515,127916,4340,165290,5443,210695,6031,144196,5267,89361,3720,94429,4903,91053,4066,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1018149,6486,39703,3001,37331,3009,35555,2968,37886,2776,36581,2997,35903,2694,36074,2371,37315,2908,32273,2537,74193,4062,99224,4130,140590,4541,113140,4736,75809,3946,83958,4715,102614,4453,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239952,3154,10236,1337,8294,1233,10128,1526,13048,1622,10708,1591,10724,1543,10223,1430,12546,1699,8504,1121,19615,1899,25728,2208,35388,2841,25820,2472,13458,1378,13906,1835,11626,1277,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108213,2429,4237,1077,1307,491,1438,501,1690,616,2514,1060,2202,690,1727,548,2756,787,2729,908,5619,1581,7366,1233,12944,1505,15054,1797,8977,1015,13129,1693,24524,1810,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4668029,19568,296507,9197,252554,7928,263335,7400,275905,7559,262500,6208,264805,7071,238607,7595,248043,7649,211805,7176,395071,10795,482358,11834,541724,10449,353275,10429,189627,6731,184127,6868,207786,6326,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2118331,11928,140299,5586,106574,5333,102229,5323,106240,4838,105468,5660,101835,4869,100599,5527,98275,5363,89945,4479,170313,6852,230217,7392,261295,7355,179819,6398,103036,4782,108463,5216,113724,4842,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,140124,2892,9656,1506,3824,935,5788,1443,6203,1288,3986,859,5303,1089,6134,1282,5423,995,5322,1009,9655,1616,15815,1714,20533,2328,14437,1428,9002,1449,9416,1149,9627,1441,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,515695,4816,33610,2894,30275,2926,30564,2548,31802,2704,31354,2248,32271,2875,29715,3138,28174,2311,24203,2576,46268,3072,59454,3783,59575,3543,35077,3037,16438,1925,14869,2043,12046,1799,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3330225,12229,178734,5771,141494,4628,160519,5950,154613,5271,141570,5400,150952,5548,146112,4355,147178,5312,128955,5571,257315,6654,355413,8368,459791,9949,309844,8679,193994,6762,199221,5935,204520,5676,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
