GEO_ID,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,NAME,B02001_001EA,B02001_001MA,B02001_002MA,B02001_002EA,B02001_003MA,B02001_003EA,B02001_004EA,B02001_004MA,B02001_005MA,B02001_005EA,B02001_006MA,B02001_006EA,B02001_007EA,B02001_007MA,B02001_008EA,B02001_008MA,B02001_009EA,B02001_009MA,B02001_010EA,B02001_010MA,state
0400000US01,4822023,-555555555,3333371,7259,1276164,5768,24136,2598,58679,2991,1358,671,52468,6702,75847,5611,6136,1776,69711,5542,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,731449,-555555555,486551,2351,26207,1482,102582,3525,42790,2209,8231,982,6796,1596,58292,4084,2478,928,55814,4094,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6553255,-555555555,5164199,17980,286343,6487,289883,5051,190390,4062,12037,1880,420902,17783,189501,9832,42041,5088,147460,8408,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949131,-555555555,2307951,5816,462182,3398,17485,2017,39448,1924,5221,406,58865,5169,57979,4583,4521,1422,53458,4225,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38041430,-555555555,23628545,58000,2263723,17267,285342,11914,5120354,18065,146712,4467,4912894,55894,1683860,31751,393132,13434,1290728,28801,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5187582,-555555555,4376673,16745,218292,5494,47949,4392,147082,4322,5308,1301,219565,13256,172713,8702,39720,4516,132993,7339,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3590347,-555555555,2804972,10799,366350,6418,11627,2463,147830,2290,2261,1568,163423,10914,93884,5950,21036,3723,72848,5801,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,917092,-555555555,639294,3995,196950,2945,2868,621,30632,1597,144,112,23251,4014,23953,3638,3025,1398,20928,3553,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,632323,-555555555,250657,4014,313224,2333,2258,864,21858,1613,54,90,28401,4268,15871,2753,2654,1205,13217,2357,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19317568,-555555555,14742516,22798,3105799,17159,51471,4495,488052,7850,11609,3423,459361,23271,458760,15562,88853,7792,369907,13672,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
