GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,NAME,C17017_001EA,C17017_001MA,C17017_002MA,C17017_002EA,C17017_003MA,C17017_003EA,C17017_004MA,C17017_004EA,C17017_005EA,C17017_005MA,C17017_006EA,C17017_006MA,C17017_007EA,C17017_007MA,C17017_008MA,C17017_008EA,C17017_009MA,C17017_009EA,C17017_010EA,C17017_010MA,C17017_011EA,C17017_011MA,C17017_012EA,C17017_012MA,C17017_013MA,C17017_013EA,C17017_014MA,C17017_014EA,C17017_015MA,C17017_015EA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018EA,C17017_018MA,C17017_019MA,C17017_019EA,state
0400000US06,12552658,18433,1880172,17560,1111400,15617,471618,9445,639782,12282,136835,5712,502947,10630,768772,13822,325595,9180,443177,10336,10672486,24234,7474387,28093,5632481,27118,1841906,20764,622453,12792,1219453,15928,3198099,24409,1559188,17877,1638911,16548,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,250514,7138,118607,5656,47192,3409,71415,4599,14582,2108,56833,4188,131907,5431,60734,3883,71173,3808,1745574,9319,1159657,11072,927878,11729,231779,6532,77714,4051,154065,5615,585917,9852,288062,7474,297855,6859,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,141628,4998,70924,4265,20201,2445,50723,3321,6295,1400,44428,3185,70704,4678,31035,2960,39669,3297,1216184,6756,831445,8840,640675,8470,190770,6524,56922,3897,133848,5347,384739,7612,174707,5410,210032,5811,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,37540,3031,18399,2121,5984,1260,12415,1677,2028,630,10387,1632,19141,2237,6147,1112,12994,1834,302768,3655,207194,4348,157476,4530,49718,3535,14233,2110,35485,2747,95574,4025,43201,2931,52373,3150,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,40464,3030,15690,1571,2274,745,13416,1415,1422,584,11994,1395,24774,2742,10209,1610,14565,1917,226198,3577,96803,3781,59875,3094,36928,2435,7956,1249,28972,2078,129395,3896,59744,2779,69651,3420,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,1105162,16668,580789,12915,226660,7825,354129,9725,64598,4050,289531,9091,524373,12156,222746,7175,301627,9230,6092781,24212,4017433,24594,3092960,22883,924473,14572,259303,9265,665170,10080,2075348,19937,975082,16678,1100266,13867,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,615249,11013,361820,10541,120443,6072,241377,8503,35701,2570,205676,8198,253429,7103,105073,5360,148356,5666,2917659,19254,2044406,15943,1572943,17075,471463,11691,130717,5897,340746,10111,873253,14719,418522,9939,454731,11645,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,49941,3180,26514,2112,11141,1234,15373,1789,2744,832,12629,1647,23427,2091,9030,1353,14397,1673,397807,5287,282651,5838,217886,6168,64765,3503,20825,1895,43940,2948,115156,4748,60465,3613,54691,3206,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,87167,4727,47558,3550,22630,2412,24928,2647,3868,953,21060,2486,39609,2848,17786,2315,21823,2186,495939,6401,358350,6909,299595,6422,58755,4228,20466,2715,38289,3132,137589,5733,64794,3613,72795,3942,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,656266,11337,339595,8078,111903,5129,227692,6957,36832,3216,190860,6302,316671,8829,132714,5764,183957,6619,4113928,14853,2781425,15435,2177526,18209,603899,11431,183297,6670,420602,9957,1332503,14140,622825,9891,709678,11138,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
