GEO_ID,B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017M,NAME,B17020F_001EA,B17020F_001MA,B17020F_002EA,B17020F_002MA,B17020F_003EA,B17020F_003MA,B17020F_004MA,B17020F_004EA,B17020F_005EA,B17020F_005MA,B17020F_006MA,B17020F_006EA,B17020F_007EA,B17020F_007MA,B17020F_008EA,B17020F_008MA,B17020F_009MA,B17020F_009EA,B17020F_010MA,B17020F_010EA,B17020F_011EA,B17020F_011MA,B17020F_012EA,B17020F_012MA,B17020F_013EA,B17020F_013MA,B17020F_014MA,B17020F_014EA,B17020F_015MA,B17020F_015EA,B17020F_016EA,B17020F_016MA,B17020F_017MA,B17020F_017EA,state
0400000US06,4826226,56078,1280817,36009,160051,7917,35314,3352,182241,8152,165002,7214,695797,20238,25711,2663,16701,1970,3545409,58031,269472,9354,53315,4110,313124,11125,345446,11076,2388670,34818,107174,5356,68208,4034,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,215479,12865,67869,8310,9010,2262,1347,517,9326,1982,7495,1895,38526,4330,1317,586,848,373,147610,11002,9479,2206,1230,587,16292,3126,13142,2071,98838,6920,6208,1247,2421,565,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156008,10796,45943,6165,4151,1216,1194,599,6076,1590,6160,1594,26354,3681,1493,649,515,283,110065,8726,6416,1743,1565,711,9838,2070,11220,2104,76627,6019,3868,950,531,310,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22691,4103,4343,1976,500,453,140,151,670,486,582,547,2371,999,0,182,80,106,18348,3953,1226,611,436,499,1799,793,1841,881,12200,2898,584,569,262,243,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27936,4205,8159,2309,1203,546,410,426,638,476,368,343,5493,1499,0,197,47,83,19777,3763,1410,695,385,376,1049,503,1118,513,15218,2737,597,524,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,451167,22849,124974,12271,12768,2475,3500,1004,17381,3305,15619,3237,70781,6542,2919,993,2006,827,326193,19012,19625,2762,5396,1282,21561,3178,28254,3385,235154,14191,10999,2023,5204,1221,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,289428,14334,109470,12867,17698,3362,3148,1076,19234,3443,13687,3207,54884,6479,507,439,312,258,179958,11880,14461,2600,3248,1012,16987,2782,17305,2719,123946,8389,2917,964,1094,756,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13971,2349,1796,645,223,231,0,177,180,194,92,156,1218,472,83,119,0,177,12175,2477,918,418,379,339,329,242,732,465,9303,1815,344,329,170,149,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45942,6364,14355,4389,2270,1058,346,387,2583,1238,2034,997,6778,2001,172,160,172,250,31587,5431,2636,1033,210,158,3317,1086,3378,1285,21124,3448,614,356,308,228,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,722761,24652,163974,13006,19573,2310,4400,1172,27352,3690,21860,3038,86548,6761,2637,669,1604,776,558787,22826,45642,5003,10195,1647,55951,5285,57162,4878,369558,14157,12685,1699,7594,1400,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
