GEO_ID,C19001_001E,C19001_001M,C19001_002E,C19001_002M,C19001_003E,C19001_003M,C19001_004E,C19001_004M,C19001_005E,C19001_005M,C19001_006E,C19001_006M,C19001_007E,C19001_007M,C19001_008E,C19001_008M,C19001_009E,C19001_009M,C19001_010E,C19001_010M,C19001_011E,C19001_011M,NAME,C19001_001MA,C19001_001EA,C19001_002EA,C19001_002MA,C19001_003MA,C19001_003EA,C19001_004EA,C19001_004MA,C19001_005EA,C19001_005MA,C19001_006MA,C19001_006EA,C19001_007EA,C19001_007MA,C19001_008EA,C19001_008MA,C19001_009EA,C19001_009MA,C19001_010EA,C19001_010MA,C19001_011MA,C19001_011EA,state
0400000US06,12552658,18433,794831,12733,671941,11543,1268861,16613,1150308,18326,1585035,19437,2129072,20026,1500192,16206,1801399,20560,794583,10234,856436,11423,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,128270,5249,89866,3894,194946,6423,192903,7004,272685,7493,371551,8078,260636,6943,277688,6293,108106,5274,99437,4312,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,80094,4395,62250,3961,115676,5565,108707,5100,148449,5546,229142,7086,172780,5219,226370,6902,98161,5196,116183,4992,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,19251,2073,14879,1680,32819,2700,32799,2420,45388,2707,65872,3660,47116,3169,51186,3608,16605,1859,14393,1425,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,27616,2593,11798,1470,20449,2116,19435,2125,29096,2392,36090,2883,27005,2384,41883,2428,20977,2304,32313,2175,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,587116,13435,441349,9523,921665,13707,871068,13525,1094147,15950,1291919,17946,762824,13523,730721,14245,238982,8072,258152,6795,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,329091,8577,215303,7607,416951,9450,385189,10293,496326,12495,635577,14003,390927,9695,384525,8604,139411,6152,139608,5532,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,27696,2596,16689,1823,35231,2791,32786,2651,55279,3195,82941,3543,66615,3883,76281,2974,30700,2219,23530,2223,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,40098,3533,33758,2825,74335,3946,74065,3984,92827,4481,119199,4547,65127,3558,55088,3194,15995,1970,12614,1857,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,355679,8673,234810,7047,495781,8944,461860,9572,629212,12179,852612,12628,610396,11085,644284,12310,243339,6113,242221,6097,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2480077,10833,187372,6140,142424,5691,296560,8581,288315,6646,392618,8673,476180,8179,302640,6512,261837,7673,72932,4025,59199,3461,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1227048,6132,80314,3783,68229,3313,134377,5189,137964,4774,178381,4436,251908,5602,161227,4591,142946,4673,38277,2599,33425,2249,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1113911,5555,71947,3330,60078,3625,127074,4641,125035,4362,169802,4436,219178,6137,133602,4499,132410,3938,37271,2493,37514,2439,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1707004,8109,181165,6650,124521,4731,226016,6675,202448,6440,246507,6464,296881,7089,184330,6147,164724,5370,42542,2755,37870,2265,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1719473,9205,177674,6151,132995,5610,225178,6704,191185,5937,231430,6357,282761,6697,186045,6544,180421,5782,58402,3030,53382,2985,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
