GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,NAME,C17001I_001EA,C17001I_001MA,C17001I_002EA,C17001I_002MA,C17001I_003EA,C17001I_003MA,C17001I_004MA,C17001I_004EA,C17001I_005MA,C17001I_005EA,C17001I_006EA,C17001I_006MA,C17001I_007EA,C17001I_007MA,C17001I_008EA,C17001I_008MA,C17001I_009EA,C17001I_009MA,C17001I_010EA,C17001I_010MA,C17001I_011MA,C17001I_011EA,C17001I_012MA,C17001I_012EA,C17001I_013MA,C17001I_013EA,C17001I_014EA,C17001I_014MA,C17001I_015EA,C17001I_015MA,C17001I_016MA,C17001I_016EA,C17001I_017MA,C17001I_017EA,C17001I_018EA,C17001I_018MA,C17001I_019MA,C17001I_019EA,state
0400000US06,14280241,7863,3420051,47555,1599660,25356,774384,15387,777904,14708,47372,2789,1820391,27095,729476,16182,1004695,14619,86220,3707,10860190,48240,5569126,26035,1623571,15101,3644700,15331,300855,3126,5291064,27271,1578915,16245,3326074,15143,386075,3827,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1060796,2488,262610,13912,121693,7484,60106,5306,57394,4008,4193,844,140917,8269,57685,4819,76064,4800,7168,995,798186,13749,412471,7473,132061,5299,258478,4136,21932,1017,385715,8910,125233,5305,234675,4969,25807,1066,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,496214,1504,136942,8304,60714,4564,26025,2398,31624,3323,3065,695,76228,4988,30725,2864,41325,2975,4178,759,359272,8170,185394,4491,57727,2593,120510,3226,7157,924,173878,5220,49379,2899,114018,3200,10481,968,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77200,536,18153,3555,8049,1786,4498,1311,3422,865,129,137,10104,2330,4495,1363,5392,1409,217,169,59047,3592,32112,1853,10140,1286,20799,948,1173,297,26935,2387,9294,1463,16170,1408,1471,339,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61358,571,13550,2668,7189,1447,2451,698,4612,1036,126,150,6361,1776,2319,823,3872,1114,170,180,47808,2685,24577,1461,5141,699,18290,1035,1146,149,23231,1787,4950,829,16507,1078,1774,179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4418500,4923,988945,29912,450230,15471,177621,7977,234387,10267,38222,2968,538715,18637,172786,8810,301434,11168,64495,4705,3429555,28909,1723301,14704,395857,7494,1168597,9987,158847,3366,1706254,18172,380779,8173,1116124,11568,209351,4669,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,883949,3950,283395,17776,144183,9607,75452,5554,67238,5388,1493,652,139212,10129,68645,6536,68480,5213,2087,803,600554,17458,324929,9946,97888,6080,217513,5987,9528,1385,275625,9832,92435,5741,169987,5733,13203,1514,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,126195,1311,24045,4063,10833,2052,5904,1528,4846,1112,83,119,13212,2766,6080,1833,6863,1418,269,177,102150,4112,53611,2255,18632,1615,32615,1481,2364,417,48539,2745,15882,1780,29388,1447,3269,216,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,180727,772,51598,7311,23143,3748,12203,2562,10231,2116,709,428,28455,4166,14180,2539,13452,2312,823,424,129129,7275,69778,3872,24916,2412,42748,2183,2114,701,59351,4547,21577,2963,35108,2186,2666,675,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2066598,3493,442477,20221,210095,10161,103633,6386,100297,5440,6165,1314,232382,11787,97237,7307,126014,5519,9131,1323,1624121,20723,853063,10619,265702,6427,551220,5857,36141,1578,771058,12168,255588,7741,474373,5707,41097,1562,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
