GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001MA,B05003D_001EA,B05003D_002EA,B05003D_002MA,B05003D_003EA,B05003D_003MA,B05003D_004MA,B05003D_004EA,B05003D_005MA,B05003D_005EA,B05003D_006MA,B05003D_006EA,B05003D_007MA,B05003D_007EA,B05003D_008EA,B05003D_008MA,B05003D_009MA,B05003D_009EA,B05003D_010MA,B05003D_010EA,B05003D_011MA,B05003D_011EA,B05003D_012EA,B05003D_012MA,B05003D_013EA,B05003D_013MA,B05003D_014MA,B05003D_014EA,B05003D_015MA,B05003D_015EA,B05003D_016MA,B05003D_016EA,B05003D_017MA,B05003D_017EA,B05003D_018MA,B05003D_018EA,B05003D_019EA,B05003D_019MA,B05003D_020MA,B05003D_020EA,B05003D_021MA,B05003D_021EA,B05003D_022EA,B05003D_022MA,B05003D_023EA,B05003D_023MA,state
0400000US06,5120354,18065,2421205,10531,518625,5678,444063,6738,74562,4297,21181,2203,53381,4244,1902580,7646,502360,10431,1400220,12438,915116,10370,485104,10593,2699149,10937,495525,6193,423785,7292,71740,4296,24128,2822,47612,3462,2203624,7908,484109,8978,1719515,10854,1140493,10345,579022,10537,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,147082,4322,67432,2391,16053,1354,11645,1370,4408,1200,1489,511,2919,1108,51379,1610,15469,1628,35910,1695,20090,1644,15820,1696,79650,2737,17962,1774,12340,1663,5622,1294,2659,900,2963,921,61688,1706,14048,1934,47640,2316,29710,2050,17930,2116,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147830,2290,70594,1683,18213,1073,13401,1193,4812,1210,1331,459,3481,1069,52381,1487,7302,1180,45079,1730,21259,2096,23820,2370,77236,1522,18696,1154,13035,1246,5661,1052,2999,720,2662,883,58540,972,9465,1487,49075,1427,23574,1730,25501,1789,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30632,1597,14292,1003,3401,594,2957,586,444,291,86,168,358,246,10891,692,1685,565,9206,805,5263,740,3943,850,16340,853,3494,571,2484,544,1010,453,803,442,207,229,12846,488,1674,626,11172,844,6483,711,4689,918,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21858,1613,8926,902,831,376,321,252,510,354,212,204,298,247,8095,720,3109,712,4986,626,2839,705,2147,689,12932,1060,1249,507,736,498,513,362,377,295,136,158,11683,815,4677,809,7006,899,4345,732,2661,854,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,488052,7850,225148,5220,50991,2754,41684,3028,9307,1841,3750,1103,5557,1397,174157,3654,34167,3274,139990,4073,82873,4695,57117,4692,262904,5212,51834,2945,40292,3248,11542,1718,5345,1208,6197,1380,211070,3418,31734,2918,179336,3807,113385,4327,65951,4714,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,337015,6051,162003,3900,40547,2144,33102,2164,7445,1477,1070,530,6375,1228,121456,2723,19248,2068,102208,2593,52463,2811,49745,3855,175012,3414,40920,2127,31259,2577,9661,1761,2719,1164,6942,1384,134092,2601,16766,2279,117326,3329,62094,3563,55232,3585,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,531663,10568,247027,5583,41835,2675,36164,2755,5671,1294,1551,485,4120,1124,205192,4172,136198,4581,68994,3454,43378,2431,25616,2534,284636,6165,36740,2731,30599,2489,6141,1403,2611,823,3530,979,247896,4509,137886,4729,110010,4450,70940,3482,39070,2869,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20613,2789,9340,1801,1896,688,1463,702,433,334,266,288,167,215,7444,1390,2364,879,5080,1222,2277,862,2803,914,11273,1497,1906,672,1235,523,671,416,526,368,145,163,9367,1202,2256,851,7111,988,4707,965,2404,642,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,617924,6059,298498,3803,68149,2581,53659,3033,14490,2105,3640,829,10850,1953,230349,2747,42564,2812,187785,3945,105429,4003,82356,4671,319426,3569,65250,2341,49930,2458,15320,1894,5884,1291,9436,1681,254176,2321,40110,2975,214066,3535,125299,4280,88767,4535,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
