GEO_ID,B13002G_001E,B13002G_001M,B13002G_002E,B13002G_002M,B13002G_003E,B13002G_003M,B13002G_004E,B13002G_004M,B13002G_005E,B13002G_005M,B13002G_006E,B13002G_006M,B13002G_007E,B13002G_007M,NAME,B13002G_001MA,B13002G_001EA,B13002G_002EA,B13002G_002MA,B13002G_003MA,B13002G_003EA,B13002G_004MA,B13002G_004EA,B13002G_005EA,B13002G_005MA,B13002G_006MA,B13002G_006EA,B13002G_007MA,B13002G_007EA,state
0400000US06,410868,12711,20272,2071,12621,1812,7651,1325,390596,12522,118184,4843,272412,10328,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42388,3421,2115,715,1451,603,664,365,40273,3416,14727,1658,25546,2780,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,24065,2613,1169,644,634,483,535,385,22896,2461,4850,902,18046,2339,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4451,1422,261,269,204,254,57,93,4190,1409,1026,564,3164,1289,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4904,1191,185,177,76,126,109,125,4719,1181,806,470,3913,1058,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,101546,5942,4876,1064,2587,683,2289,822,96670,5889,30611,2676,66059,5257,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,46778,4439,2971,1114,2065,946,906,499,43807,4255,13511,2426,30296,3460,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,78725,4410,6032,1275,3189,891,2843,836,72693,4154,24604,2078,48089,3488,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10313,2020,493,357,299,262,194,223,9820,1956,4342,1458,5478,1280,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,64502,4284,3388,811,1825,538,1563,519,61114,4165,17998,2087,43116,3255,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,29659,2273,1727,670,640,364,1087,559,27932,2202,6979,1174,20953,2052,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11389,1857,741,456,161,225,580,388,10648,1759,3473,846,7175,1410,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20402,2561,611,286,317,230,294,196,19791,2571,5995,1367,13796,2069,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,18858,2026,1397,547,691,466,706,449,17461,1921,4723,960,12738,1620,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,15397,2121,1133,511,856,419,277,269,14264,2104,4741,958,9523,1812,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5742,1006,134,101,75,81,59,63,5608,1003,1384,460,4224,917,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,44261,3348,2189,722,1387,625,802,446,42072,3502,12174,1684,29898,2970,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,45849,3614,2946,1052,1348,588,1598,668,42903,3647,12808,1816,30095,2862,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,53068,3224,2921,802,1907,638,1014,513,50147,3137,14166,1603,35981,2795,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,27543,2017,1210,417,606,326,604,394,26333,1966,8373,1238,17960,1755,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6253,1355,274,260,159,210,115,164,5979,1368,1848,607,4131,1087,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,29475,2599,2331,756,1108,460,1223,630,27144,2724,7879,1136,19265,2331,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5565,1215,176,133,46,59,130,119,5389,1210,2046,576,3343,1015,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,8137,1562,415,230,223,183,192,159,7722,1549,2035,646,5687,1268,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,26179,2640,795,334,617,276,178,193,25384,2675,7808,1407,17576,2292,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5233,1215,72,98,58,94,14,24,5161,1201,1720,603,3441,923,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,50581,3890,3579,976,1788,614,1791,700,47002,3702,16892,2057,30110,2845,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,13101,1944,777,403,275,225,502,346,12324,1880,3477,931,8847,1503,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,131301,5797,6888,1107,3060,773,3828,965,124413,5586,39346,2924,85067,4948,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,46946,3310,3726,1312,949,390,2777,1239,43220,3098,14405,1632,28815,2552,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3491,928,326,215,162,132,164,172,3165,949,1085,427,2080,811,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,56217,4036,3523,891,1324,462,2199,788,52694,4006,15272,1861,37422,3481,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,70136,3052,4694,830,2481,639,2213,605,65442,3037,22891,1907,42551,2312,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,38325,2955,1852,825,1237,681,615,409,36473,2689,12247,1656,24226,2286,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,61354,3772,2951,811,1501,564,1450,635,58403,3756,15088,1895,43315,3460,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,6873,1259,166,169,4,8,162,169,6707,1252,1474,632,5233,995,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,20851,2880,837,379,288,193,549,343,20014,2805,7018,1381,12996,2425,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3871,918,85,80,0,147,85,80,3786,912,1008,509,2778,745,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,26120,2563,1425,704,554,361,871,646,24695,2389,8872,1332,15823,2319,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,144223,6995,7547,1569,5120,1278,2427,795,136676,7138,49989,4471,86687,5813,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,14464,2178,488,323,427,294,61,112,13976,2127,4587,914,9389,1721,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2667,599,76,110,0,143,76,110,2591,601,598,280,1993,517,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,60764,3940,3382,983,2380,809,1002,540,57382,3630,18491,1694,38891,3290,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,84570,4857,3342,839,2175,783,1167,433,81228,4870,24883,2194,56345,4284,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,8152,1657,406,247,240,203,166,144,7746,1641,1465,466,6281,1470,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,25099,2339,655,362,269,161,386,299,24444,2322,5836,873,18608,2048,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3705,903,632,374,421,278,211,208,3073,813,1078,480,1995,668,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,121270,5771,3276,1003,1737,734,1539,640,117994,5745,39041,2891,78953,4927,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,14389,1894,342,240,275,223,67,93,14047,1901,4720,988,9327,1627,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13629,1545,941,455,392,336,549,357,12688,1589,4767,1044,7921,1341,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
