GEO_ID,B18101F_001E,B18101F_001M,B18101F_002E,B18101F_002M,B18101F_003E,B18101F_003M,B18101F_004E,B18101F_004M,B18101F_005E,B18101F_005M,B18101F_006E,B18101F_006M,B18101F_007E,B18101F_007M,B18101F_008E,B18101F_008M,B18101F_009E,B18101F_009M,B18101F_010E,B18101F_010M,NAME,B18101F_001EA,B18101F_001MA,B18101F_002EA,B18101F_002MA,B18101F_003EA,B18101F_003MA,B18101F_004EA,B18101F_004MA,B18101F_005MA,B18101F_005EA,B18101F_006EA,B18101F_006MA,B18101F_007MA,B18101F_007EA,B18101F_008EA,B18101F_008MA,B18101F_009EA,B18101F_009MA,B18101F_010MA,B18101F_010EA,state
0400000US06,4859487,55756,1546616,27937,41527,3819,1505089,26813,3095077,33083,197426,8114,2897651,31698,217794,7492,89395,4822,128399,5675,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,216596,13074,68333,6612,1470,628,66863,6478,137469,7927,13631,2173,123838,7458,10794,1495,4954,1112,5840,950,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,157628,10858,47090,5148,2853,953,44237,5062,104131,7179,12391,2076,91740,6654,6407,1186,2178,748,4229,1092,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22976,4012,7265,1602,83,110,7182,1607,14785,2899,836,474,13949,2838,926,600,350,347,576,369,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28232,4279,6767,1408,219,241,6548,1403,20821,3158,1256,672,19565,2983,644,533,554,523,90,119,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,453707,22955,126395,10261,4798,1350,121597,9959,306184,15568,25973,4105,280211,14364,21128,2765,7457,1288,13671,2238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,291028,14394,107874,7575,3246,2299,104628,7184,178324,9292,7774,1598,170550,9238,4830,1213,2026,733,2804,901,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13958,2531,3405,1151,0,177,3405,1151,9956,1765,1086,501,8870,1623,597,357,368,262,229,168,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45905,6392,16774,3289,677,485,16097,3274,27865,3610,1765,742,26100,3615,1266,528,385,266,881,421,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,727359,24729,245709,11567,6692,1376,239017,11342,457130,15079,28820,3319,428310,14455,24520,2592,8951,1757,15569,1697,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,155937,9533,58825,4670,2492,995,56333,4633,93924,6027,5188,1531,88736,5969,3188,810,1348,497,1840,679,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37512,4861,13053,2542,397,316,12656,2499,23775,3223,1759,820,22016,3314,684,315,432,292,252,171,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,56762,7118,18345,3749,324,292,18021,3697,35339,3835,2856,897,32483,3596,3078,710,1327,427,1751,601,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,37679,5050,13839,2468,1274,635,12565,2299,23214,3368,1591,760,21623,3153,626,395,208,194,418,349,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
