GEO_ID,B14007G_001E,B14007G_001M,B14007G_002E,B14007G_002M,B14007G_003E,B14007G_003M,B14007G_004E,B14007G_004M,B14007G_005E,B14007G_005M,B14007G_006E,B14007G_006M,B14007G_007E,B14007G_007M,B14007G_008E,B14007G_008M,B14007G_009E,B14007G_009M,B14007G_010E,B14007G_010M,B14007G_011E,B14007G_011M,B14007G_012E,B14007G_012M,B14007G_013E,B14007G_013M,B14007G_014E,B14007G_014M,B14007G_015E,B14007G_015M,B14007G_016E,B14007G_016M,B14007G_017E,B14007G_017M,B14007G_018E,B14007G_018M,B14007G_019E,B14007G_019M,NAME,B14007G_001EA,B14007G_001MA,B14007G_002EA,B14007G_002MA,B14007G_003EA,B14007G_003MA,B14007G_004MA,B14007G_004EA,B14007G_005MA,B14007G_005EA,B14007G_006EA,B14007G_006MA,B14007G_007EA,B14007G_007MA,B14007G_008EA,B14007G_008MA,B14007G_009MA,B14007G_009EA,B14007G_010MA,B14007G_010EA,B14007G_011MA,B14007G_011EA,B14007G_012EA,B14007G_012MA,B14007G_013EA,B14007G_013MA,B14007G_014MA,B14007G_014EA,B14007G_015MA,B14007G_015EA,B14007G_016MA,B14007G_016EA,B14007G_017EA,B14007G_017MA,B14007G_018EA,B14007G_018MA,B14007G_019MA,B14007G_019EA,state
0400000US06,1536490,28646,726207,18724,54229,4422,38425,3265,37618,3281,37726,2970,37525,3317,37314,3467,37306,3325,38205,3498,35292,3323,38790,3166,35234,2977,38039,2824,34960,3898,39932,3037,159918,6563,25694,2729,810283,16487,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,158808,8178,76486,5790,5602,1087,5041,1438,3541,978,4866,949,5340,1217,3303,867,4137,969,3522,711,3970,1005,3171,851,3970,909,3574,863,3640,791,3998,950,16329,2356,2482,944,82322,4386,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87062,5475,45867,4307,4820,1067,3254,898,1614,518,2853,859,3017,846,2493,896,2959,804,2211,853,2179,778,1931,637,3051,1065,1347,557,2329,661,2301,827,8490,1488,1018,467,41195,3548,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20487,3278,10455,2314,742,373,937,495,493,299,647,376,641,420,1119,549,381,279,516,359,365,305,405,261,839,775,331,254,591,505,984,534,1188,582,276,269,10032,1912,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14161,2487,5305,1383,698,364,559,341,323,236,48,78,165,214,136,134,167,204,58,93,176,187,110,129,96,113,173,142,253,191,125,151,1640,737,578,325,8856,1786,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,417278,14862,191811,9429,16406,2213,14399,2119,12402,1767,12052,1841,11144,1614,11037,2103,9600,1733,10487,1795,9266,1708,7752,1149,8914,1734,8902,1635,7406,1349,7573,1579,37623,3832,6848,1363,225467,9488,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,182430,11548,95473,7820,8391,1573,6154,1259,5702,1545,6400,1581,6658,1654,4738,1133,4329,1630,5682,1464,5257,1317,4429,1285,4702,1333,5899,1458,4546,1175,3196,1046,17092,3247,2298,696,86957,6444,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301234,11582,119754,5964,9074,1350,7690,1385,7064,1130,6806,1187,5728,891,5918,1103,6247,1233,8822,1492,7301,1177,6065,980,5422,1172,5954,1034,5135,957,6832,1388,22001,2173,3695,1073,181480,7903,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36719,3847,18268,2803,815,420,449,289,902,429,1562,717,1200,754,757,360,838,481,1426,727,703,376,1317,531,1126,421,1369,610,978,549,1299,583,3264,1223,263,207,18451,2173,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,253912,11208,137519,8053,15389,2142,10215,1805,8820,1555,8193,1428,7306,1291,8395,1330,7597,1513,7305,1352,5982,1160,7308,1291,7349,1058,6636,1088,5119,1083,7554,1503,19929,2175,4422,1028,116393,5815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
