GEO_ID,B16002_001E,B16002_001M,B16002_002E,B16002_002M,B16002_003E,B16002_003M,B16002_004E,B16002_004M,B16002_005E,B16002_005M,B16002_006E,B16002_006M,B16002_007E,B16002_007M,B16002_008E,B16002_008M,B16002_009E,B16002_009M,B16002_010E,B16002_010M,B16002_011E,B16002_011M,B16002_012E,B16002_012M,B16002_013E,B16002_013M,B16002_014E,B16002_014M,NAME,B16002_001EA,B16002_001MA,B16002_002MA,B16002_002EA,B16002_003MA,B16002_003EA,B16002_004MA,B16002_004EA,B16002_005EA,B16002_005MA,B16002_006EA,B16002_006MA,B16002_007EA,B16002_007MA,B16002_008MA,B16002_008EA,B16002_009MA,B16002_009EA,B16002_010EA,B16002_010MA,B16002_011EA,B16002_011MA,B16002_012EA,B16002_012MA,B16002_013MA,B16002_013EA,B16002_014MA,B16002_014EA,state
0400000US06,12552658,18433,7187235,25263,3162156,17617,692095,9979,2470061,17807,753743,13641,127511,5119,626232,13812,1311261,10365,364466,7965,946795,9609,138263,5584,26778,2456,111485,5353,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1639242,9312,230902,5431,41022,3534,189880,5545,66516,3859,5228,814,61288,3875,41333,2214,9148,1380,32185,2201,18095,2237,3402,891,14693,2028,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,1024235,7657,157633,3884,41153,3207,116480,3966,128610,4586,20265,2116,108345,4481,31894,2223,8089,1192,23805,2082,15440,2194,2615,990,12825,1836,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,292092,3767,23939,2014,5337,1281,18602,1895,14429,1764,1480,610,12949,1678,7108,925,1175,509,5933,908,2740,656,44,74,2696,666,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,217018,3916,20929,1934,4647,1111,16282,1700,16592,1900,1909,666,14683,1839,5405,1038,999,361,4406,988,6718,1322,1053,524,5665,1212,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,5221284,21882,1380762,12848,374654,8970,1006108,12558,422765,9928,81537,4910,341228,8740,120409,4784,27041,2769,93368,4320,52723,3710,7871,1628,44852,3232,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,3052179,14206,260788,6728,67897,4937,192891,5566,112234,4659,14049,2161,98185,4729,76265,3970,19803,2305,56462,3599,31442,3007,5398,1255,26044,2608,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,309658,4914,13041,1671,1260,593,11781,1559,12299,1764,911,478,11388,1620,111716,3781,28381,2613,83335,3759,1034,525,316,297,718,456,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,515168,5990,44287,2666,10236,1770,34051,2783,13475,1980,792,386,12683,1937,7190,1074,768,471,6422,1146,2986,833,222,195,2764,795,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3725756,14641,528868,7359,118989,5673,409879,7502,329776,7412,68967,3996,260809,7309,140463,4727,38644,3055,101819,3942,45331,3498,8566,1901,36765,2918,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
