GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001MA,C27001D_001EA,C27001D_002EA,C27001D_002MA,C27001D_003EA,C27001D_003MA,C27001D_004EA,C27001D_004MA,C27001D_005MA,C27001D_005EA,C27001D_006MA,C27001D_006EA,C27001D_007MA,C27001D_007EA,C27001D_008EA,C27001D_008MA,C27001D_009EA,C27001D_009MA,C27001D_010EA,C27001D_010MA,state
0400000US06,5091561,18201,1013928,9567,957175,9984,56753,5290,3446827,11978,2798277,16555,648550,14484,630806,3384,614160,3659,16646,2161,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,145498,4300,34015,2416,31518,2524,2497,1048,99485,2585,82585,3022,16900,2492,11998,841,11789,813,209,179,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147574,2314,36909,1727,34409,1770,2500,1063,101470,1930,85351,3020,16119,2622,9195,491,8134,760,1061,664,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30542,1588,6895,912,6299,983,596,367,20853,1015,17574,1510,3279,1010,2794,244,2185,467,609,405,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21593,1599,2080,615,1904,605,176,219,18206,1214,16574,1251,1632,743,1307,254,1307,254,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,485863,7833,102825,3751,90545,4457,12280,2952,332736,5193,240257,7206,92479,6288,50302,2285,46979,2371,3323,1054,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,334757,6132,81467,3340,71407,3744,10060,1746,231256,3904,164931,4870,66325,5286,22034,1251,20215,1423,1819,929,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,525892,10408,78575,4410,74359,4096,4216,1320,327523,6599,301523,6181,26000,2758,119794,1526,118441,1682,1353,712,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20329,2763,3798,1091,3462,1052,336,355,15638,2130,12025,1846,3613,980,893,387,893,387,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,615074,6330,133399,4046,127650,4342,5749,1533,422694,4005,345398,5487,77296,4624,58981,1278,53795,1464,5186,1103,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
