GEO_ID,B01001D_001E,B01001D_001M,B01001D_002E,B01001D_002M,B01001D_003E,B01001D_003M,B01001D_004E,B01001D_004M,B01001D_005E,B01001D_005M,B01001D_006E,B01001D_006M,B01001D_007E,B01001D_007M,B01001D_008E,B01001D_008M,B01001D_009E,B01001D_009M,B01001D_010E,B01001D_010M,B01001D_011E,B01001D_011M,B01001D_012E,B01001D_012M,B01001D_013E,B01001D_013M,B01001D_014E,B01001D_014M,B01001D_015E,B01001D_015M,B01001D_016E,B01001D_016M,B01001D_017E,B01001D_017M,B01001D_018E,B01001D_018M,B01001D_019E,B01001D_019M,B01001D_020E,B01001D_020M,B01001D_021E,B01001D_021M,B01001D_022E,B01001D_022M,B01001D_023E,B01001D_023M,B01001D_024E,B01001D_024M,B01001D_025E,B01001D_025M,B01001D_026E,B01001D_026M,B01001D_027E,B01001D_027M,B01001D_028E,B01001D_028M,B01001D_029E,B01001D_029M,B01001D_030E,B01001D_030M,B01001D_031E,B01001D_031M,NAME,B01001D_001EA,B01001D_001MA,B01001D_002MA,B01001D_002EA,B01001D_003MA,B01001D_003EA,B01001D_004EA,B01001D_004MA,B01001D_005EA,B01001D_005MA,B01001D_006EA,B01001D_006MA,B01001D_007MA,B01001D_007EA,B01001D_008MA,B01001D_008EA,B01001D_009EA,B01001D_009MA,B01001D_010EA,B01001D_010MA,B01001D_011EA,B01001D_011MA,B01001D_012EA,B01001D_012MA,B01001D_013MA,B01001D_013EA,B01001D_014MA,B01001D_014EA,B01001D_015EA,B01001D_015MA,B01001D_016EA,B01001D_016MA,B01001D_017EA,B01001D_017MA,B01001D_018MA,B01001D_018EA,B01001D_019MA,B01001D_019EA,B01001D_020EA,B01001D_020MA,B01001D_021EA,B01001D_021MA,B01001D_022MA,B01001D_022EA,B01001D_023EA,B01001D_023MA,B01001D_024EA,B01001D_024MA,B01001D_025MA,B01001D_025EA,B01001D_026MA,B01001D_026EA,B01001D_027EA,B01001D_027MA,B01001D_028MA,B01001D_028EA,B01001D_029EA,B01001D_029MA,B01001D_030MA,B01001D_030EA,B01001D_031MA,B01001D_031EA,state
0400000US06,5120354,18065,2421205,10531,137804,2840,146658,4608,141512,4108,92651,2420,65481,1685,183598,3137,191598,3025,184732,2852,378893,2907,344179,2431,280471,2577,159940,1940,87141,2219,26547,1974,2699149,10937,130364,3234,135413,4650,141564,4847,88184,2293,61327,1928,181091,3050,196017,2979,209580,2433,442640,2785,400876,3035,345163,1983,198807,1663,118339,3009,49784,2923,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,147082,4322,67432,2391,5521,808,4888,736,3974,869,1670,495,1280,470,6577,899,5474,833,7229,849,11760,1134,8531,912,5755,533,2863,454,1336,417,574,275,79650,2737,4688,920,4729,955,5863,1128,2682,897,2062,636,4262,799,7376,703,5882,593,13634,1170,11692,670,9070,626,4968,633,1965,616,777,314,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147830,2290,70594,1683,5879,489,5648,757,4676,904,2010,599,1439,478,6202,1007,5838,450,6291,741,12644,591,9554,611,6316,407,2825,250,1224,222,48,86,77236,1522,5134,708,4969,870,5351,845,3242,569,1868,595,5045,709,6925,481,8002,710,14955,732,9582,512,7039,436,3145,528,1684,477,295,277,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30632,1597,14292,1003,1086,214,969,410,769,311,577,241,199,220,1233,396,1047,175,1543,303,2552,349,1860,323,1254,165,773,251,310,218,120,142,16340,853,1109,226,1036,395,778,297,571,292,318,329,1334,344,1616,181,1603,353,2603,385,2127,363,1654,232,766,290,769,425,56,99,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21858,1613,8926,902,596,308,76,92,48,82,111,138,903,542,801,439,958,418,1551,282,2235,397,494,318,565,227,362,131,195,134,31,51,12932,1060,496,350,407,287,346,184,0,197,1080,550,865,511,2363,341,2318,264,2188,324,1015,191,999,48,438,250,161,148,256,254,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,488052,7850,225148,5220,13766,1576,14579,1715,14249,1698,8397,1312,7309,1413,16481,1842,17780,1497,18417,1118,41011,1851,28427,1771,24099,1462,14319,1230,5133,908,1181,461,262904,5212,13293,1384,15808,2184,14413,1537,8320,1211,4851,960,18118,1761,21711,1704,20719,1539,44403,2206,39028,1970,32368,1521,20208,1628,7031,1077,2633,811,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,337015,6051,162003,3900,11003,1234,14269,1884,10516,1497,4759,616,4961,1169,14718,1440,12380,1015,12995,829,29223,1420,22218,1136,14403,1042,6905,974,3176,879,477,497,175012,3414,10545,1204,13501,1500,10465,1565,6409,992,5123,1074,12300,1475,13785,1024,14954,1107,35358,1770,23644,1428,17452,1031,7742,800,3203,816,531,321,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,531663,10568,247027,5583,10367,1299,10490,1403,12625,1418,8353,771,5090,609,14532,1490,14390,1076,12823,1148,30893,1704,37299,1548,38742,1201,26288,631,15819,994,9316,1025,284636,6165,8020,1199,10585,1466,10355,1450,7780,903,4257,724,14286,1227,14738,1256,15959,1360,38281,1354,44299,1294,44655,1312,30462,1109,24558,1412,16401,1326,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20613,2789,9340,1801,117,110,686,397,849,470,244,326,211,247,1357,742,1373,469,726,423,1307,461,1510,681,713,373,247,149,0,187,0,187,11273,1497,406,246,374,249,612,313,514,411,171,158,869,551,1379,497,628,328,2299,661,2009,543,1355,518,403,248,243,233,11,25,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,617924,6059,298498,3803,19147,1472,19517,1884,17921,1631,11564,815,8149,878,22676,1602,27427,1215,27303,1218,50701,1781,36634,1216,30035,779,19181,929,6199,710,2044,642,319426,3569,17843,1258,19701,1940,17708,1800,9998,805,6401,676,21302,1215,28644,1234,30147,1050,56276,1632,40484,985,37577,1088,21362,746,8493,966,3490,823,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,107736,3733,50824,2232,2776,819,2862,1040,3336,775,1772,554,1834,603,7489,981,5644,972,5127,1142,7752,1284,6131,1018,3245,631,1937,512,890,467,29,54,56912,2425,2839,865,3129,875,3394,830,1989,632,1771,534,7005,1092,4896,833,5496,1086,9346,1209,7869,1224,6064,1105,1718,666,1151,565,245,238,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56519,2205,27662,1946,1820,623,2424,556,1847,548,769,296,1102,487,4085,888,2568,739,2859,616,3997,536,3412,737,1375,484,1097,416,307,231,0,151,28857,1439,1401,476,2601,693,1376,406,1306,483,1375,607,2965,700,3387,720,3254,503,5133,734,2713,608,1701,424,1098,411,196,167,351,275,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,71821,2664,34976,1756,2919,676,2341,633,2278,573,658,383,1129,555,4444,1011,3558,886,3216,412,5985,582,3884,494,2078,405,1901,514,492,304,93,112,36845,1601,3250,530,2286,589,2424,646,1035,402,610,358,3432,683,3210,483,4098,737,6711,712,3437,423,4045,865,1481,515,723,364,103,120,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
