GEO_ID,C15002_001E,C15002_001M,C15002_002E,C15002_002M,C15002_003E,C15002_003M,C15002_004E,C15002_004M,C15002_005E,C15002_005M,C15002_006E,C15002_006M,C15002_007E,C15002_007M,C15002_008E,C15002_008M,C15002_009E,C15002_009M,C15002_010E,C15002_010M,C15002_011E,C15002_011M,C15002_012E,C15002_012M,C15002_013E,C15002_013M,C15002_014E,C15002_014M,C15002_015E,C15002_015M,C15002_016E,C15002_016M,C15002_017E,C15002_017M,NAME,C15002_001EA,C15002_001MA,C15002_002EA,C15002_002MA,C15002_003MA,C15002_003EA,C15002_004MA,C15002_004EA,C15002_005MA,C15002_005EA,C15002_006EA,C15002_006MA,C15002_007EA,C15002_007MA,C15002_008MA,C15002_008EA,C15002_009MA,C15002_009EA,C15002_010EA,C15002_010MA,C15002_011MA,C15002_011EA,C15002_012EA,C15002_012MA,C15002_013EA,C15002_013MA,C15002_014MA,C15002_014EA,C15002_015EA,C15002_015MA,C15002_016MA,C15002_016EA,C15002_017EA,C15002_017MA,state
0400000US06,24779784,3987,12109629,4284,1190532,14642,1084345,16542,2547935,22694,2641878,19312,866912,13927,2342615,23639,1435412,17894,12670155,3498,1318951,14506,992905,15124,2560032,20966,2823580,24161,1092185,14367,2522588,17393,1359914,17459,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3444654,3718,1707505,3214,74233,4104,97466,5145,383347,8614,380463,8596,127852,5276,404453,8765,239691,6690,1737149,2351,63077,3366,89159,4150,368853,8235,408797,8424,160401,5199,414016,8908,232846,6302,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2457978,1904,1168880,1898,47914,3639,76160,3491,334519,6998,202832,5604,69231,4030,244051,6562,194173,5136,1289098,1407,54231,3390,70881,4063,347688,7198,230187,5908,113198,3513,259389,6067,213524,5940,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,618612,1103,293017,1069,15056,1869,22250,1964,95699,3440,55485,3449,19345,1875,51580,3295,33602,2459,325595,780,10435,1310,23560,2602,99205,3536,69902,3257,24986,2212,60341,3315,37166,2902,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,439531,534,205675,571,9487,1502,14831,1770,36037,3058,26341,2049,6944,1662,47768,2981,64267,2996,233856,226,9724,1314,16097,1951,45044,2838,35096,2426,7139,951,53136,3014,67620,2875,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13503747,6413,6474383,5097,359214,12510,572928,14451,1910175,20225,1306350,20244,532172,16123,1132304,15123,661240,12769,7029364,4453,360073,10311,529243,13469,2110020,22845,1495875,19297,704628,13444,1197632,17761,631893,10500,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6403838,8246,3051122,5678,180386,7344,311785,9588,886395,12270,631946,13752,189655,7901,545094,12649,305861,8550,3352716,5266,176966,6586,290888,8924,924471,13554,740687,14118,263384,8227,595663,11748,360657,8944,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,952281,1173,470390,1174,16181,1857,25478,2548,140730,5263,107778,4658,47546,2938,85537,3787,47140,2358,481891,580,24811,2304,25016,2523,128574,4534,101811,3816,48140,3475,101049,3611,52490,3108,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1012786,2996,501187,2396,22814,1903,32900,3222,137378,4837,131336,5464,43151,3312,86116,4578,47492,3762,511599,2139,18624,2275,29019,2526,143084,5470,148443,5303,48144,3620,88904,5278,35381,3094,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8558895,4172,4112674,3429,238486,7202,296930,7654,1131128,13404,871527,14385,281598,8131,800653,11784,492352,8729,4446221,3212,241845,7340,283870,7158,1182074,17217,958643,11406,365441,8855,883695,12202,530653,10006,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
