GEO_ID,B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,NAME,B14007A_001MA,B14007A_001EA,B14007A_002EA,B14007A_002MA,B14007A_003EA,B14007A_003MA,B14007A_004EA,B14007A_004MA,B14007A_005MA,B14007A_005EA,B14007A_006MA,B14007A_006EA,B14007A_007EA,B14007A_007MA,B14007A_008EA,B14007A_008MA,B14007A_009EA,B14007A_009MA,B14007A_010MA,B14007A_010EA,B14007A_011MA,B14007A_011EA,B14007A_012MA,B14007A_012EA,B14007A_013EA,B14007A_013MA,B14007A_014EA,B14007A_014MA,B14007A_015MA,B14007A_015EA,B14007A_016MA,B14007A_016EA,B14007A_017MA,B14007A_017EA,B14007A_018EA,B14007A_018MA,B14007A_019EA,B14007A_019MA,state
0400000US06,22808461,55630,6130825,31174,339530,8498,299552,7820,295264,8115,291209,8631,290170,7528,286185,8916,291326,7538,301308,8688,294627,7938,297619,10030,302641,7915,315982,8115,317805,8690,367830,9294,1535576,18000,304201,9141,16677636,39136,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4223527,16228,1123244,11413,74297,4121,57903,4400,56118,3421,55750,3320,55972,3464,53796,3489,51849,3228,56273,3726,53058,3738,55420,3907,53998,2769,55038,2651,46877,3156,60453,3859,266703,7895,69739,3635,3100283,12994,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2727880,10563,682849,7405,42698,2558,29619,2626,28327,2192,33085,2213,29879,2291,30487,2169,34242,2622,34299,2706,34408,2701,32687,2600,36258,2795,38951,2249,34729,2101,39042,2648,160475,5079,43663,2392,2045031,9369,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,620093,4211,147220,3545,10172,1463,6885,1117,6137,1114,7627,1475,7906,1132,5014,832,6534,1312,7400,1190,6787,1177,5997,952,9222,1489,6009,1230,7412,1125,8482,1335,37588,2332,8048,1442,472873,4256,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,241860,3845,55307,2783,3918,837,1914,679,1600,567,1407,718,1130,520,1090,454,1472,479,576,269,1311,491,559,302,1034,459,860,370,1299,518,865,558,18298,1793,17974,2157,186553,3828,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14326273,22342,3196605,21756,185684,7704,154619,5419,143572,6661,152910,6088,150140,6188,147815,6742,163686,7698,144090,5081,158128,7026,165186,8650,157726,6656,162065,6732,157788,6073,162662,6555,840912,15916,149622,7909,11129668,24233,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5789793,15358,1467843,12058,102081,4959,82123,4538,69438,4556,71808,5011,74812,3962,79737,4655,74185,4174,80468,4329,80880,4006,76438,4531,76189,4962,76841,4214,70056,4332,67260,3844,323746,8012,61781,4719,4321950,14510,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,337161,2725,61855,3001,3749,807,3160,729,3261,826,2456,611,1996,642,2115,572,2252,591,2017,583,1750,444,2323,612,2442,715,1562,489,2374,670,2579,781,21391,2330,6428,1265,275306,3284,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1399966,6749,405609,7114,19318,2091,20877,2330,20890,2414,20117,1960,20727,2394,23151,2819,22332,2398,19559,2197,24029,2534,20941,2302,18910,1977,19704,2031,21662,2100,20930,1988,97582,5319,14880,2279,994357,7071,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9045462,24277,2333088,17874,158025,5617,107420,5043,110347,4634,110406,4593,117971,4955,110843,5153,113493,4425,119515,4877,116883,4793,117592,5323,118814,5122,119377,3999,117571,4452,123000,4909,536404,9597,135427,5760,6712374,18289,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
