GEO_ID,C17020B_001E,C17020B_001M,C17020B_002E,C17020B_002M,C17020B_003E,C17020B_003M,C17020B_004E,C17020B_004M,C17020B_005E,C17020B_005M,C17020B_006E,C17020B_006M,C17020B_007E,C17020B_007M,C17020B_008E,C17020B_008M,C17020B_009E,C17020B_009M,NAME,C17020B_001MA,C17020B_001EA,C17020B_002EA,C17020B_002MA,C17020B_003EA,C17020B_003MA,C17020B_004EA,C17020B_004MA,C17020B_005EA,C17020B_005MA,C17020B_006MA,C17020B_006EA,C17020B_007MA,C17020B_007EA,C17020B_008EA,C17020B_008MA,C17020B_009EA,C17020B_009MA,state
0400000US36,2939467,15643,684639,20819,239376,11435,386805,11961,58458,3662,2254828,22535,490133,10839,1501122,13925,263573,4420,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2029126,11108,576256,18094,217736,10075,315499,10611,43021,2660,1452870,18497,314716,9386,977331,11714,160823,3337,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,9358,1637,4212,1338,1486,794,2691,783,35,68,5146,1547,1055,802,4091,968,0,141,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1350299,9120,481252,13737,189153,7835,266143,8183,25956,2494,869047,13932,188589,8021,569050,8008,111408,3173,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,257142,4313,76701,5411,29895,3252,42171,2939,4635,735,180441,5766,41590,3324,120225,3717,18626,1256,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,67304,3871,27458,4126,9815,2484,16577,2287,1066,561,39846,3552,9172,2245,26647,2268,4027,528,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1316791,12862,387800,16201,142544,8896,220544,8847,24712,1943,928991,17170,221320,8679,600586,10684,107085,2530,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,64610,4971,16847,2903,7236,2012,8274,1632,1337,653,47763,4514,11389,1958,33552,3364,2822,671,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1253255,6813,363188,13293,140579,6861,192853,7793,29756,2354,890067,13936,196401,7625,591312,8596,102354,2770,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,12413,1380,5184,1505,2214,775,2970,1084,0,147,7229,1487,2422,888,4672,1045,135,198,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1045176,6903,305121,13997,125391,7665,161910,8417,17820,2071,740055,13179,170473,7061,498069,8381,71513,2411,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2957685,17089,735605,20413,290367,11367,398200,12590,47038,2783,2222080,22969,552497,14367,1484940,13630,184643,3653,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,30555,2885,5679,1626,1865,909,3605,1009,209,233,24876,3004,9208,1854,14563,1659,1105,398,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,5468,776,1268,781,378,420,861,451,29,59,4200,964,1131,575,2896,613,173,216,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1502167,10196,304889,12139,112506,6393,169156,7526,23227,2090,1197278,13325,267631,7367,799567,8389,130080,2706,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,237849,6508,60990,5934,20747,3853,38119,3312,2124,631,176859,7119,39831,4508,122111,4435,14917,1189,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,53685,3086,20102,3029,7150,1934,12039,1797,913,469,33583,3229,7310,1815,21858,2054,4415,863,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,336636,4922,128604,8469,56228,5121,68181,4285,4195,756,208032,8707,55684,5031,134968,4601,17380,935,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,5396,1408,1815,1017,601,582,1214,892,0,185,3581,1316,1372,728,2077,836,132,188,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,302388,11894,127222,7330,31471,3594,77504,5022,18247,1551,175166,10308,28421,3362,117923,7493,28822,2497,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,1228352,6108,388385,15074,152775,8356,208813,8816,26797,2120,839967,14247,181349,8302,564760,8677,93858,2810,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24494,1595,3905,1772,1694,1102,2034,872,177,218,20589,1906,4861,1173,14767,1071,961,535,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,269555,6547,70515,6926,24984,4247,42318,4132,3213,817,199040,8388,53744,4729,129092,5465,16204,1148,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,440604,3488,154730,8181,61838,4681,83724,4482,9168,1184,285874,7359,70460,4061,187606,4628,27808,1608,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
