GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001MA,B15002G_001EA,B15002G_002MA,B15002G_002EA,B15002G_003MA,B15002G_003EA,B15002G_004MA,B15002G_004EA,B15002G_005EA,B15002G_005MA,B15002G_006EA,B15002G_006MA,B15002G_007EA,B15002G_007MA,B15002G_008MA,B15002G_008EA,B15002G_009MA,B15002G_009EA,B15002G_010MA,B15002G_010EA,B15002G_011EA,B15002G_011MA,B15002G_012EA,B15002G_012MA,B15002G_013MA,B15002G_013EA,B15002G_014MA,B15002G_014EA,B15002G_015MA,B15002G_015EA,B15002G_016EA,B15002G_016MA,B15002G_017EA,B15002G_017MA,B15002G_018MA,B15002G_018EA,B15002G_019MA,B15002G_019EA,state
0400000US06,740260,15572,362016,9282,24027,2317,31574,2648,64123,4198,14004,1620,99167,5489,31026,2484,65473,4700,32622,2847,378244,10584,27822,2695,26922,2287,59400,4415,9468,1549,99995,4549,37365,3326,77544,4833,39728,3112,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,70530,4307,36176,3057,1687,600,2539,768,5666,1319,1585,560,9797,1496,3437,1011,7855,1415,3610,895,34354,2762,983,451,1760,542,4688,962,1807,655,10218,1737,3043,851,7642,1439,4213,922,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35503,3101,16675,2046,1451,574,1618,795,4309,1190,967,458,2801,831,860,427,2457,772,2212,698,18828,2121,1177,492,882,396,3483,883,646,336,5484,1475,1785,634,3000,846,2371,539,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7374,1335,3150,960,428,290,447,424,427,313,112,140,925,556,84,106,416,252,311,282,4224,993,349,259,132,198,717,508,217,205,1401,625,297,177,478,273,633,431,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8435,1676,4218,1144,167,221,186,225,474,264,127,207,760,423,443,538,691,327,1370,582,4217,1025,54,91,110,124,577,408,0,197,469,292,123,132,1150,487,1734,610,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,199982,8259,97064,5643,7177,1866,8383,1645,20220,2959,3948,955,23123,2801,9173,1763,15691,2175,9349,1832,102918,5150,7293,1476,7969,1597,18381,2238,3687,1198,26400,2795,11418,1755,18222,2361,9548,1716,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,74975,5460,34827,3121,2297,878,3457,1071,5772,1312,2600,1043,9034,1637,2457,810,6038,1395,3172,793,40148,3796,2031,727,3146,931,6493,1797,1170,504,10926,2154,3017,1007,8361,1612,5004,1061,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,160398,7092,81791,4205,2384,810,6593,1375,26793,2481,3106,985,21519,2452,7537,1344,10392,1615,3467,723,78607,4535,1228,519,4858,1292,22968,2620,3101,714,19252,2358,8014,1414,12966,1573,6220,1212,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,16176,2238,7100,1186,727,402,423,247,1728,688,604,297,2287,682,475,412,671,421,185,141,9076,1893,1023,519,406,242,1788,669,208,146,3605,1422,808,489,952,380,286,219,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,100032,5521,47704,3429,3457,855,3399,853,7347,1174,3794,977,11208,1723,4016,1054,9825,1821,4658,1079,52328,3587,2662,636,3506,853,7111,1242,2353,719,13146,1715,4426,1075,12949,1917,6175,1034,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
