GEO_ID,B08011_001E,B08011_001M,B08011_002E,B08011_002M,B08011_003E,B08011_003M,B08011_004E,B08011_004M,B08011_005E,B08011_005M,B08011_006E,B08011_006M,B08011_007E,B08011_007M,B08011_008E,B08011_008M,B08011_009E,B08011_009M,B08011_010E,B08011_010M,B08011_011E,B08011_011M,B08011_012E,B08011_012M,B08011_013E,B08011_013M,B08011_014E,B08011_014M,B08011_015E,B08011_015M,B08011_016E,B08011_016M,B08011_017E,B08011_017M,B08011_018E,B08011_018M,B08011_019E,B08011_019M,B08011_020E,B08011_020M,B08011_021E,B08011_021M,B08011_022E,B08011_022M,B08011_023E,B08011_023M,B08011_024E,B08011_024M,B08011_025E,B08011_025M,B08011_026E,B08011_026M,B08011_027E,B08011_027M,B08011_028E,B08011_028M,B08011_029E,B08011_029M,B08011_030E,B08011_030M,B08011_031E,B08011_031M,B08011_032E,B08011_032M,B08011_033E,B08011_033M,B08011_034E,B08011_034M,B08011_035E,B08011_035M,B08011_036E,B08011_036M,B08011_037E,B08011_037M,B08011_038E,B08011_038M,B08011_039E,B08011_039M,B08011_040E,B08011_040M,B08011_041E,B08011_041M,B08011_042E,B08011_042M,B08011_043E,B08011_043M,B08011_044E,B08011_044M,B08011_045E,B08011_045M,NAME,B08011_001EA,B08011_001MA,B08011_002EA,B08011_002MA,B08011_003MA,B08011_003EA,B08011_004EA,B08011_004MA,B08011_005EA,B08011_005MA,B08011_006EA,B08011_006MA,B08011_007EA,B08011_007MA,B08011_008MA,B08011_008EA,B08011_009MA,B08011_009EA,B08011_010EA,B08011_010MA,B08011_011EA,B08011_011MA,B08011_012EA,B08011_012MA,B08011_013EA,B08011_013MA,B08011_014EA,B08011_014MA,B08011_015EA,B08011_015MA,B08011_016EA,B08011_016MA,B08011_017EA,B08011_017MA,B08011_018EA,B08011_018MA,B08011_019MA,B08011_019EA,B08011_020MA,B08011_020EA,B08011_021EA,B08011_021MA,B08011_022EA,B08011_022MA,B08011_023EA,B08011_023MA,B08011_024EA,B08011_024MA,B08011_025EA,B08011_025MA,B08011_026EA,B08011_026MA,B08011_027EA,B08011_027MA,B08011_028EA,B08011_028MA,B08011_029EA,B08011_029MA,B08011_030MA,B08011_030EA,B08011_031MA,B08011_031EA,B08011_032MA,B08011_032EA,B08011_033EA,B08011_033MA,B08011_034EA,B08011_034MA,B08011_035EA,B08011_035MA,B08011_036MA,B08011_036EA,B08011_037MA,B08011_037EA,B08011_038MA,B08011_038EA,B08011_039EA,B08011_039MA,B08011_040MA,B08011_040EA,B08011_041MA,B08011_041EA,B08011_042MA,B08011_042EA,B08011_043MA,B08011_043EA,B08011_044EA,B08011_044MA,B08011_045EA,B08011_045MA,state
0400000US06,15567196,43055,846642,14688,684923,14695,728876,15192,1326139,21196,1295785,18028,2140594,24313,1723911,24258,1812540,23838,925924,15423,1267905,17310,576059,14207,260187,10541,1058699,17633,919012,16749,8564742,30820,612405,12801,501564,12476,497052,11540,865184,15947,714961,11236,1125419,17349,797491,14999,900383,16306,427234,10069,632295,12577,275549,9276,124276,5857,575351,12484,515578,11641,7002454,31042,234237,7947,183359,7556,231824,7921,460955,11162,580824,12835,1015175,15998,926420,16195,912157,15087,498690,10733,635610,12839,300510,8653,135911,7729,483348,11009,403434,10211,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2370579,16220,90838,5469,78662,4593,123276,5017,211660,6575,250616,8186,367316,9775,315054,8506,249024,7794,132689,6031,150609,6198,74965,4854,30961,3151,157320,6590,137589,6347,1294507,9532,64657,4360,56997,4138,82306,3859,137215,5623,141435,6283,196531,7062,152733,5681,124530,5349,60675,3693,70317,4916,32883,3148,15034,2255,85947,4497,73247,5132,1076072,11813,26181,2709,21665,2046,40970,3118,74445,4012,109181,4440,170785,6174,162321,6079,124494,5319,72014,4722,80292,3736,42082,3497,15927,2170,71373,4885,64342,3822,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1656785,12692,43505,3316,38697,2907,66972,4387,137391,6268,172779,6207,241403,7530,217364,7074,228063,8309,121567,5732,113751,5221,45026,3977,21273,2177,115121,5394,93873,5010,854407,8592,30435,2671,27891,2459,45917,3818,87938,4698,97859,4373,128286,5653,97216,3971,102009,5114,50103,3309,50200,3485,20302,2545,9694,1418,56430,3831,50127,3541,802378,7600,13070,1910,10806,1423,21055,2471,49453,3408,74920,4365,113117,4923,120148,4923,126054,5704,71464,4325,63551,3546,24724,2450,11579,1698,58691,3769,43746,3318,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,403316,5869,16785,2153,9951,1586,20592,2468,33553,3080,41844,2800,62740,3456,51377,3416,45670,3127,18648,2002,22723,2581,11741,2017,4828,1223,34365,2644,28499,2805,203320,4320,11717,1784,7592,1196,11592,1747,20516,2461,23053,2363,29107,2259,23018,2082,21810,2411,7476,1339,10065,1693,5556,1258,2362,814,15753,2043,13703,1712,199996,4202,5068,1211,2359,775,9000,1752,13037,1866,18791,1870,33633,2820,28359,2613,23860,2405,11172,1495,12658,1753,6185,1314,2466,912,18612,2255,14796,2100,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,311014,6284,4892,1207,6881,1602,8609,1683,17855,2161,17487,2168,35394,3270,39418,3221,56036,3974,45087,3308,34912,2624,10933,1890,3936,1084,17048,2088,12526,1912,151288,4197,3061,787,4801,1268,4941,1279,9151,1626,7069,1519,17670,2116,19070,2401,26479,2413,19942,1978,17538,2149,5227,1116,1934,635,8294,1497,6111,1356,159726,4271,1831,740,2080,790,3668,1034,8704,1733,10418,1315,17724,2299,20348,1831,29557,3045,25145,2603,17374,1804,5706,1334,2002,787,8754,1313,6415,1338,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7757026,33094,262427,10236,217550,7732,286735,11227,636734,17543,714916,15551,1210674,19682,966624,17311,1011648,17277,479679,11062,563483,13530,246874,10344,116299,7058,524382,12196,519001,12902,4040364,22612,179836,8658,157991,6422,184005,8769,397055,14659,391716,10395,610575,14276,445801,11749,485680,11660,212775,7068,264873,8781,110226,6027,56209,4959,273230,8540,270392,8531,3716662,23636,82591,5029,59559,4113,102730,5626,239679,8715,323200,10280,600099,13033,520823,12739,525968,11414,266904,7365,298610,9724,136648,7125,60090,4607,251152,8761,248609,9669,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4011658,24001,153485,7901,142646,7926,172668,5388,368013,11649,402691,8889,629326,12980,486876,12803,458739,11755,202096,9180,271729,10405,118220,7547,51347,4229,260326,9542,293496,8746,2129166,15977,104605,6245,101596,5925,112804,4593,223481,8839,215620,7463,316599,10229,223746,8604,233381,9192,96259,5741,129388,7354,55026,5324,25332,2970,136222,6725,155107,6642,1882492,16253,48880,3946,41050,4275,59864,4236,144532,7782,187071,6162,312727,8867,263130,8532,225358,8647,105837,6270,142341,7304,63194,4735,26015,3233,124104,6074,138389,6738,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,640879,7415,45084,3261,39113,2573,49775,3774,73452,4648,72620,4060,93116,4702,53434,3306,48416,3567,21177,2406,32628,2860,15396,1972,8607,1559,45737,3036,42324,3255,351568,5229,30174,2767,26933,2156,33343,3054,46613,3497,38096,3045,42426,3411,22559,1938,24786,2239,10887,1745,16676,2021,7129,1239,4220,947,24272,2470,23454,2381,289311,5082,14910,1611,12180,1362,16432,1984,26839,2540,34524,2361,50690,3209,30875,2683,23630,2472,10290,1617,15952,1783,8267,1335,4387,1100,21465,2039,18870,2191,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,656748,8247,30834,3232,23872,2871,31521,2787,43361,3401,67361,4616,92662,5666,97672,4399,66934,4188,34014,3192,40579,3301,20731,2373,9080,1476,46880,4063,51247,3752,359183,4998,23626,2909,15993,2424,19136,2238,26495,2674,40189,3200,51287,3997,49694,3319,35165,3258,15764,1970,18577,2571,8629,1329,3684,908,22706,2419,28238,2908,297565,6696,7208,1435,7879,1521,12385,1889,16866,1903,27172,2926,41375,3556,47978,3281,31769,2763,18250,2310,22002,2344,12102,1888,5396,1196,24174,3100,23009,2261,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5683562,23005,254957,8674,232596,7874,288505,8289,559272,13018,561955,9079,820904,14431,671979,12938,623132,12020,265356,7191,316406,9391,157171,6507,75783,4459,452695,11910,402851,11170,2967412,13811,182793,6365,161501,5935,189349,6625,342676,8650,306244,7046,400339,10063,288071,9468,286299,8309,113613,4641,141088,6387,74656,5199,36788,3055,239087,8044,204908,6959,2716150,16588,72164,4381,71095,4441,99156,4377,216596,7145,255711,6735,420565,9508,383908,8421,336833,9176,151743,5581,175318,6980,82515,4235,38995,3196,213608,7976,197943,7235,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
