GEO_ID,B25013_001E,B25013_001M,B25013_002E,B25013_002M,B25013_003E,B25013_003M,B25013_004E,B25013_004M,B25013_005E,B25013_005M,B25013_006E,B25013_006M,B25013_007E,B25013_007M,B25013_008E,B25013_008M,B25013_009E,B25013_009M,B25013_010E,B25013_010M,B25013_011E,B25013_011M,NAME,B25013_001MA,B25013_001EA,B25013_002EA,B25013_002MA,B25013_003EA,B25013_003MA,B25013_004EA,B25013_004MA,B25013_005MA,B25013_005EA,B25013_006MA,B25013_006EA,B25013_007EA,B25013_007MA,B25013_008EA,B25013_008MA,B25013_009EA,B25013_009MA,B25013_010MA,B25013_010EA,B25013_011MA,B25013_011EA,state
0400000US06,12552658,18433,6781817,25470,719644,10365,1085124,11799,2177838,16514,2799211,22098,5770841,24980,1156144,13993,1152991,16405,1893093,21750,1568613,20223,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1278158,11129,68960,3724,230386,6767,395864,7323,582948,8475,717930,9538,84900,5388,153659,5604,267422,7977,211949,6220,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,908452,7756,51090,3293,208857,5572,238902,6754,409603,7318,449360,8680,71413,3898,137764,6026,124001,5399,116182,4394,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,241050,3609,17711,1700,64159,2977,71932,3841,87248,3917,99258,4117,16726,2126,28180,3047,31045,2691,23307,2289,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,110681,3549,5467,901,12214,1404,17256,1634,75744,3321,155981,4855,19539,1616,33122,2849,30977,2761,72343,3370,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,4724428,21345,431671,9131,1207808,15028,1500796,15258,1584153,16940,2473515,22250,372780,11867,712670,16053,829978,17230,558087,11990,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,2248702,19411,233854,8016,551362,10764,649204,13287,814282,12893,1284206,16668,228380,7629,344546,9330,448001,11427,263279,7619,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,254770,4107,15415,1698,59713,3349,81329,3365,98313,3123,192978,4122,17995,1799,49126,3497,72397,3403,53460,3141,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,398671,5979,31222,2436,97085,4292,147275,5785,123089,5009,184435,6150,22724,2150,50885,3761,77122,4968,33704,3449,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3177104,16645,267654,6666,767684,11824,963068,13230,1178698,13185,1593090,15616,239807,7128,415230,10593,506750,11256,431303,9735,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2480077,10833,1720780,14241,154108,5583,576978,9402,510894,9035,478800,8649,759297,12471,127044,5471,246058,6633,255806,8635,130389,5285,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1227048,6132,882584,7833,55136,2665,276293,5269,291931,5725,259224,4641,344464,7798,39062,2623,99069,4417,134055,4888,72278,3813,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1113911,5555,739191,7686,52580,3401,183729,5839,243313,5834,259569,5036,374720,6600,42556,2749,99072,4619,145097,5541,87995,4247,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1707004,8109,1144309,10967,159950,5013,368080,7599,314348,7531,301931,7180,562695,7784,105285,4932,179517,6198,189667,6505,88226,4392,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1719473,9205,1130134,10390,151266,4989,372190,8106,309218,7310,297460,6857,589339,11722,115728,5662,183527,6931,185495,7001,104589,4977,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,554543,4451,396014,5199,25810,1846,125092,3891,117941,4204,127171,4497,158529,4335,16783,1635,55009,3676,52052,3353,34685,3136,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2157717,7667,1433937,10091,95610,3649,315484,7306,374970,7042,647873,9189,723780,9709,99198,4711,187810,6840,222065,7216,214707,6102,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
