GEO_ID,B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,NAME,B19101H_001MA,B19101H_001EA,B19101H_002EA,B19101H_002MA,B19101H_003EA,B19101H_003MA,B19101H_004EA,B19101H_004MA,B19101H_005EA,B19101H_005MA,B19101H_006EA,B19101H_006MA,B19101H_007MA,B19101H_007EA,B19101H_008MA,B19101H_008EA,B19101H_009EA,B19101H_009MA,B19101H_010EA,B19101H_010MA,B19101H_011EA,B19101H_011MA,B19101H_012MA,B19101H_012EA,B19101H_013MA,B19101H_013EA,B19101H_014EA,B19101H_014MA,B19101H_015EA,B19101H_015MA,B19101H_016EA,B19101H_016MA,B19101H_017EA,B19101H_017MA,state
0400000US06,3844181,18496,113241,5636,76231,4253,97889,4770,109848,5260,108150,4959,131638,5455,123782,4887,130779,5562,128285,5383,259310,7448,380498,9545,543086,11653,454607,8201,314785,8540,391531,7278,480521,6945,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,950986,7936,25228,2221,14133,1916,20691,2157,28454,2636,26595,2276,34793,3032,33928,3044,37457,2565,36342,2419,76001,3732,112918,4220,156933,5360,116041,4549,73205,3433,81033,4487,77234,3541,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,664276,8061,11507,1863,9103,1688,9408,1750,13058,1959,15133,1896,17381,1713,18243,1832,18179,1863,18930,2004,43038,2896,65645,3638,103301,4334,92239,4130,64975,3720,72180,4014,91956,4499,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,154384,3314,3363,731,1906,498,2649,693,6591,1257,5101,975,5732,1103,5807,1051,6607,1102,5297,811,12177,1412,16680,1714,27544,2531,21617,2154,11365,1353,11524,1392,10424,1202,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36807,1975,321,229,0,197,297,232,225,223,264,216,326,238,382,270,411,295,163,126,611,303,1275,473,2901,721,3967,915,3368,743,5883,1046,16413,1445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2829660,17760,102526,5669,69806,4304,90932,5634,119669,5241,129126,6248,142257,5878,137054,5448,145644,6340,129271,5226,253261,8640,334226,10103,410121,9199,273056,8163,159264,6002,155203,6695,178244,5822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1446778,11895,57305,3968,37808,3774,48499,3817,55244,3522,61495,4472,61061,3965,63709,3733,64018,4460,61912,3978,119485,5640,169246,6160,209984,7010,151812,5728,90140,4300,94808,4712,100252,4981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87463,3082,2455,843,1859,876,2576,813,2952,937,2250,589,2460,663,3905,867,2769,697,3441,957,5541,1182,10109,1604,13955,1859,11256,1295,6570,1253,7296,1002,8069,1420,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,355002,5712,14896,1948,10213,1720,14444,1780,17713,2067,18421,1802,19500,2584,20013,2528,19174,2015,17531,2142,34347,2758,47692,3316,50838,3203,31224,3009,14273,1721,13977,2044,10746,1740,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2119337,12093,55376,3379,41857,2667,52584,3034,61011,3541,66484,3133,78572,3521,79620,3724,84493,3583,76842,4270,161407,4932,241866,7236,351459,9088,250306,7827,168142,6319,171650,5466,177668,5428,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1397442,11555,56101,3616,35208,3031,44774,3063,58568,3660,60324,3623,73148,3657,71989,3515,74866,3475,70597,3885,124771,4426,186924,5213,224119,6308,137070,4678,73948,4636,57653,3511,47382,2668,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,725682,6341,22843,1921,16975,1795,18811,1767,27927,2336,30286,1971,31808,2440,32110,2266,35832,2456,31218,1927,70710,3218,99197,3967,126979,3717,76841,3359,41881,2654,33981,2439,28283,2127,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,596926,5369,15711,1598,13516,1491,17389,1852,25658,2030,24041,1965,26585,2059,27721,1977,25960,2055,26820,1980,56781,2707,76430,3801,94123,3374,66203,3190,38556,2512,30971,2255,30461,2103,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1009929,9786,58241,3266,42984,2755,50527,2883,51211,2978,50242,3459,53900,3188,48490,3320,53576,2652,47802,2982,87124,3624,121369,4460,142250,5338,87878,3639,46066,2995,37108,2609,31161,2134,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,721134,6502,25254,2552,22652,2349,24928,2012,29884,2537,28946,2375,34693,2779,29407,2305,33758,2798,29751,2220,55954,3493,81372,4363,113368,4886,79060,4236,46348,3405,43350,2632,42409,2710,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,332812,5129,13118,1635,9792,1308,12264,1510,16247,1663,15917,1873,17646,2082,17180,1766,18060,1918,13272,1328,34501,2606,41564,2760,50684,2383,31866,2094,16103,1613,12276,1435,12322,1432,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
